icao_24bit_address,registration,manufacturer,model,aircraft_type,serial_number,description,operator,registered_at,registered_until,manufactured_at
300411,I-RVEG,Aermacchi,MB-326E,M326,6172,L1J,,,,
33ff84,MM7149,AMX International,A-11B,AMX,IX061,L1J,AMX,,,
33ff87,MM7126,AMX International,A-11B,AMX,IX038,L1J,AMX,,,
33ff88,MM7114,AMX International,A-11B,AMX,IX026,L1J,AMX,,,
33ff8b,MM7197,AMX International,A-11B,AMX,IX109,L1J,AMX,,,
33ff8c,MM7196,AMX International,A-11B,AMX,IX108,L1J,AMX,,,
33ff8e,MM7194,AMX International,A-11B,AMX,IX106,L1J,AMX,,,
33ff8f,MM7193,AMX International,A-11B,AMX,IX105,L1J,AMX,,,
33ff91,MM7191,AMX International,A-11B,AMX,IX103,L1J,AMX,,,
33ff92,MM7190,AMX International,A-11B,AMX,IX102,L1J,AMX,,,
33ff94,MM7186,AMX International,A-11B,AMX,IX098,L1J,AMX,,,
33ff95,MM7185,AMX International,A-11B,AMX,IX097,L1J,AMX,,,
33ff96,MM7184,AMX International,A-11B,AMX,IX096,L1J,AMX,,,
33ff97,MM7183,AMX International,A-11B,AMX,IX095,L1J,AMX,,,
33ff98,MM7182,AMX International,A-11B,AMX,IX094,L1J,AMX,,,
33ff99,MM7180,AMX International,A-11B,AMX,IX092,L1J,AMX,,,
33ff9a,MM7179,AMX International,A-11B,AMX,IX091,L1J,AMX,,,
33ff9b,MM7178,AMX International,A-11B,AMX,IX090,L1J,AMX,,,
33ff9c,MM7177,AMX International,A-11B,AMX,IX089,L1J,AMX,,,
33ff9d,MM7176,AMX International,A-11B,AMX,IX088,L1J,AMX,,,
33ff9f,MM7174,AMX International,A-11B,AMX,IX086,L1J,AMX,,,
33ffa0,MM7173,AMX International,A-11B,AMX,IX085,L1J,AMX,,,
33ffa1,MM7172,AMX International,A-11B,AMX,IX084,L1J,AMX,,,
33ffa2,MM7171,AMX International,A-11B,AMX,IX083,L1J,AMX,,,
33ffa3,MM7170,AMX International,A-11B,AMX,IX082,L1J,AMX,,,
33ffa4,MM7169,AMX International,A-11B,AMX,IX081,L1J,AMX,,,
33ffa5,MM7168,AMX International,A-11B,AMX,IX080,L1J,AMX,,,
33ffa6,MM7167,AMX International,A-11B,AMX,IX079,L1J,AMX,,,
33ffa9,MM7164,AMX International,A-11B,AMX,IX076,L1J,AMX,,,
38104e,F-BECO,Stinson,108-3,S108,108-5105,L1P,,,,
3812e3,F-BEXD,Stinson,108-3,S108,108-4419,L1P,,,,
3815ec,F-BFPM,Stinson,108-3,S108,108-5080,L1P,,,,
394e66,F-GTTG,Stinson,108-1,S108,108-1719,L1P,,,,
3d0530,D-EAFG,Aermacchi,AL-60B-2 Santa Maria,LA60,6255,L1P,,,,
3d28bd,D-ENRH,Aermacchi,AL-60B-2 Santa Maria,LA60,6243,L1P,,,,
401e64,G-STSN,Stinson,108-3 Flying Station Wagon,S108,108-4352,L1P,,2009-06-11,,1948-01-01
402e05,G-BPTA,Stinson,108-2,S108,108-3429,L1P,,1997-10-27,,1947-01-01
403141,G-BRZK,Stinson,108-2,S108,108-2846,L1P,,2015-07-09,,1947-01-01
404db6,G-WAGN,Stinson,108-3 Flying Station Wagon,S108,108-4216,L1P,,2005-06-22,,1948-01-01
405ce6,G-CFGE,Stinson,108-1,S108,108-1127,L1P,,2014-08-29,,1946-01-01
406c08,G-SKBD,Nextant Aerospace,Nextant 400XT,BE4W,RK-376,L2J,,2014-11-07,,2004-01-01
407261,G-FXCR,Nextant Aerospace,Nextant 400XT,BE4W,RK-423,L2J,,2017-02-07,,2005-01-01
407290,G-FXAR,Nextant Aerospace,Nextant 400XT,BE4W,RK-252,L2J,,2017-05-19,,1999-01-01
407291,G-FXKR,Nextant Aerospace,Nextant 400XT,BE4W,RK-279,L2J,,2017-03-06,,2000-01-01
4594d0,OY-EFP,Stinson,108,S108,108-7149,L1P,,,,
4594d6,OY-EFV,Stinson,108,S108,108-353,L1P,,,,
4602e2,OH-BCK,Stinson,108-1,S108,108-863,L1P,,,,
4a8c86,SE-CDF,Stinson,108-1,S108,108-1846,L1P,,,,
a0d354,N152TP,Aermacchi,MB-326M,M326,481,L1J,,,2024-02-29,1967-01-01
a0de79,N155TP,Aermacchi,MB-326M,M326,498,L1J,,,2021-10-31,1967-01-01
a0e230,N156TP,Aermacchi,MB-326M,M326,468,L1J,,,2021-05-31,1967-01-01
a0e99e,N158TP,Aermacchi,MB-326M,M326,471,L1J,,,2021-05-31,1967-01-01
a0fe8a,N163TP,Aermacchi,MB-326M,M326,6358/129,L1J,,,,
a1bf78,N211Z,Stinson,108-2,S108,108-2838,L1P,,,2023-01-31,1947-01-01
a2c2e0,N2770L,Aces High,Cuby II,CUB2,1364,L1P,,,2021-04-30,1982-01-01
a64161,N502AC,Aces High,Cuby II,CUB2,502,L1P,,,2021-08-31,
ac9db9,N9117K,Stinson,108-1,S108,1082117,L1P,,,2023-09-30,1947-01-01
ad120c,N941NA,Aero Spacelines,B-377-SGT,SGUP,004,L4T,,,2021-07-31,
ad5f08,N96038,Aermacchi,AL-60F-5 Trojan,LA60,53-6233,L1P,,,2022-09-30,1963-01-01
c08a0e,C-IAHH,Aces High,Cuby II,CUB2,03087,L1P,,2005-01-05,,
c08cf3,C-IBJU,Aces High,Cuby II,CUB2,LC2088001,L1P,,2001-01-03,2003-08-29,
c090d1,C-ICVW,Aces High,Cuby II,CUB2,LC2090001,L1P,,1998-09-08,2005-05-17,
c09209,C-IDHW,Aces High,Cuby II,CUB2,1-000-1-001,L1P,,2004-08-26,,
c094a0,C-IEHJ,Aces High,Cuby II,CUB2,88647,L1P,,2016-03-18,,
c09545,C-IENS,Aces High,Cuby II,CUB2,860531,L1P,,1987-01-02,,
c0954b,C-IENY,Aces High,Cuby II,CUB2,860607,L1P,,1990-11-13,2001-08-23,
c09551,C-IEOE,Aces High,Cuby II,CUB2,040987,L1P,,2000-10-02,,
c096a4,C-IFBF,Aces High,Cuby II,CUB2,041087,L1P,,1996-03-19,,
c09755,C-IFIA,Aces High,Cuby II,CUB2,72087,L1P,,2000-12-22,,
c0a5f7,C-IKWC,Aces High,Cuby II,CUB2,LC2W931072511,L1P,,2016-01-12,,
c0c23e,C-IVON,Aces High,Cuby II,CUB2,LC2FW089002,L1P,,1999-07-22,,
