icao_24bit_address,registration,manufacturer,model,aircraft_type,serial_number,description,operator,registered_at,registered_until,manufactured_at
140857,RA-02135,Aeroprakt,A-21 M Solo,A21,01,L1P,,,,
1418f5,RA-06389,Aeroprakt,A-20 Sky Cruiser,AP20,009,L1P,,,,
344482,EC-LRV,Aeroprakt,A-22L Vision,AP22,A22L-08-0025,L1P,,,,
3feb4e,D-MIAK,Aeroprakt,A-22L Foxbat,AP22,313,L1P,,,,
3feb7f,D-MONY,Aeroprakt,A-22 Vision,AP22,032-010,L1P,,,,
3fee18,D-MIAW,Aeroprakt,A-22L Foxbat,AP22,303,L1P,,,,
3fee3e,D-MZAZ,Aeroprakt,A-22 Foxbat,AP22,020,L1P,,,,
3feed8,D-MIAH,Aeroprakt,A-22L Foxbat,AP22,323,L1P,,,,
3feefb,D-MBCG,Aeroprakt,A-22L Foxbat,AP22,332,L1P,,,,
3fef40,D-MAEN,Aeroprakt,A-22L Foxbat,AP22,331,L1P,,,,
3fefee,D-MIAX,Aeroprakt,A-22L Vision,AP22,350,L1P,,,,
3ff26f,D-MIAP,Aeroprakt,A-22L2 Foxbat,AP22,432,L1P,,,,
3ff473,D-MYLF,Aeroprakt,A-22L Foxbat,AP22,486,L1P,,,,
4012e0,G-CEOP,Aeroprakt,A-22L Foxbat,AP22,PFA 317A-14671,L1P,,2013-07-29,,2007-01-01
4012e1,G-CESI,Aeroprakt,A-22L Foxbat,AP22,PFA 317A-14643,L1P,,2012-12-17,,2007-01-01
40438c,G-FBAT,Aeroprakt,A-22 Foxbat,AP22,PFA 317-13591,L1P,,2005-07-05,,2000-01-01
404660,G-CBGJ,Aeroprakt,A-22 Foxbat,AP22,PFA 317-13803,L1P,,2013-01-08,,2002-01-01
4046bb,G-CBJH,Aeroprakt,A-22 Foxbat,AP22,PFA 317-13847,L1P,,2002-01-30,,2002-01-01
4046c6,G-FXBT,Aeroprakt,A-22 Foxbat,AP22,PFA 317-13787,L1P,,2002-02-07,,2002-01-01
4046f0,G-FOXB,Aeroprakt,A-22 Foxbat,AP22,PFA 317-13878,L1P,,2005-09-01,,2002-01-01
404745,G-CHAD,Aeroprakt,A-22 Foxbat,AP22,PFA 317-13909,L1P,,2007-08-23,,2002-01-01
40488f,G-CBYH,Aeroprakt,A-22 Foxbat,AP22,PFA 317-13902,L1P,,2002-12-02,,2003-01-01
4048ba,G-CCCE,Aeroprakt,A-22 Foxbat,AP22,PFA 317-14002,L1P,,2010-02-01,,2003-01-01
4049a5,G-SDOI,Aeroprakt,A-22 Foxbat,AP22,PFA 317-14064,L1P,,2004-10-08,,2003-01-01
4049c6,G-FJTH,Aeroprakt,A-22 Foxbat,AP22,PFA 317-13928,L1P,,2011-09-20,,2003-01-01
404a0b,G-CCJV,Aeroprakt,A-22 Foxbat,AP22,PFA 317-14082,L1P,,2016-10-27,,2004-01-01
404a50,G-CWTD,Aeroprakt,A-22 Foxbat,AP22,PFA 317-14131,L1P,,2015-07-13,,2004-01-01
404b3b,G-COXS,Aeroprakt,A-22 Foxbat,AP22,PFA 317-14168,L1P,,2004-03-09,,2004-01-01
404c87,G-CDDW,Aeroprakt,A-22 Foxbat,AP22,PFA 317-14261,L1P,,2017-03-06,,2004-01-01
404d99,G-CDHX,Aeroprakt,A-22 Foxbat,AP22,PFA 317-14297,L1P,,2009-10-14,,2005-01-01
404f1d,G-CDTZ,Aeroprakt,A-22 Foxbat,AP22,PFA 317-14433,L1P,,2014-02-12,,2006-01-01
40502e,G-MOWG,Aeroprakt,A-22L Foxbat,AP22,PFA 317A-14545,L1P,,2006-06-21,,2006-01-01
405091,G-NJTC,Aeroprakt,A-22L Foxbat,AP22,PFA 317A-14565,L1P,,2014-07-28,,2006-01-01
4051e5,G-PHOX,Aeroprakt,A-22L Foxbat,AP22,PFA 317A-14635,L1P,,2007-05-08,,2008-01-01
405541,G-CEWR,Aeroprakt,A-22L Foxbat,AP22,PFA 317A-14736,L1P,,2007-11-22,,2008-01-01
405774,G-FBTT,Aeroprakt,A-22L Foxbat,AP22,PFA 317A-14743,L1P,,2015-08-11,,2008-01-01
405d16,G-CFHK,Aeroprakt,A-22L Foxbat,AP22,LAA 317A-14834,L1P,,,,
405f20,G-EOID,Aeroprakt,A-22L Foxbat,AP22,LAA 317A-14836,L1P,,2014-09-29,,2009-01-01
406007,G-CFYD,Aeroprakt,A-22L Foxbat,AP22,PFA 317A-14750,L1P,,2009-02-25,,2010-01-01
406392,G-NSKB,Aeroprakt,A-22L Foxbat,AP22,LAA 317A-14982,L1P,,2010-07-05,,2011-01-01
4063f5,G-OUDA,Aeroprakt,A-22L Foxbat,AP22,LAA 317A-14967,L1P,,2010-07-26,,2011-01-01
406414,G-MAKK,Aeroprakt,A-22L Foxbat,AP22,LAA 317A-14929,L1P,,2010-08-18,,2010-01-01
4064e2,G-CGSX,Aeroprakt,A-22L Foxbat,AP22,LAA 317A-15001,L1P,,2010-12-23,,2011-01-01
4064ef,G-CGVA,Aeroprakt,A-22L Foxbat,AP22,PFA 317A-14734,L1P,,2016-03-18,,2011-01-01
406509,G-OFGC,Aeroprakt,A-22L Foxbat,AP22,LAA 317A-14992,L1P,,2011-01-25,,2011-01-01
40651c,G-CGUE,Aeroprakt,A-22L Foxbat,AP22,LAA 317A-15039,L1P,,2011-02-03,,2011-01-01
40657a,G-CGWP,Aeroprakt,A-22L Foxbat,AP22,LAA 317A-15070,L1P,,2011-03-24,,2011-01-01
406612,G-CGZT,Aeroprakt,A-22L Foxbat,AP22,LAA 317A-15084,L1P,,2017-06-14,,2012-01-01
40674d,G-FBSS,Aeroprakt,A-22LS Foxbat,AP22,LAA 317B-15101,L1P,,2017-07-04,,2012-01-01
4067b7,G-CHHB,Aeroprakt,A-22LS Foxbat,AP22,LAA 317B-15141,L1P,,2013-09-13,,2012-01-01
406950,G-CHSY,Aeroprakt,A-22LS Foxbat,AP22,LAA 317B-15186,L1P,,2017-02-03,,2013-01-01
406a38,G-VINA,Aeroprakt,A-22L Foxbat,AP22,LAA 317A-14977,L1P,,2013-08-14,,2013-01-01
406a71,G-REGZ,Aeroprakt,A-22LS Foxbat,AP22,LAA 317B-15230,L1P,,2017-04-22,,2013-01-01
406cde,G-CIKE,Aeroprakt,A-22LS Foxbat,AP22,LAA 317B-15298,L1P,,2016-10-25,,2014-01-01
406df8,G-CINV,Aeroprakt,A-22LS Foxbat,AP22,LAA 317B-15316,L1P,,2015-03-09,,2015-01-01
406e83,G-TIPP,Aeroprakt,A-22LS Foxbat,AP22,LAA 317B-15334,L1P,,2015-05-20,,2015-01-01
40728e,G-MILR,Aeroprakt,A-22LS Foxbat,AP22,LAA 317B-15402,L1P,,2017-01-06,,2017-01-01
40732f,G-KELP,Aeroprakt,A-22LS Foxbat,AP22,LAA 317B-15459,L1P,,2017-03-29,,2017-01-01
449410,OO-E84,Aeroprakt,A-22 Vision,AP22,092,L1P,,,,
44a3bd,OO-H01,Aeroprakt,A-22L Foxbat,AP22,287,L1P,,,,
45f00c,OY-9325,Aeroprakt,A-22 Vision,AP22,177,L1P,,,,
48fe01,SP-SKRB,Aeroprakt,A-22L2 Foxbat,AP22,393,L1P,,,,
4ad982,SE-VLB,Aeroprakt,A-22 Vision,AP22,188,L1P,,,,
4bd522,TC-UIB,Aeroprakt,A-22L2 Foxbat,AP22,507,L1P,,,,
7c1744,23-8796,Aeroprakt,A32 Vixxen,AP32,026,L1P,,,,
7cc387,24-8094,Aeroprakt,A-22LS Foxbat,AP22,A22LS-118,L1P,,,,
