icao_24bit_address,registration,manufacturer,model,aircraft_type,serial_number,description,operator,registered_at,registered_until,manufactured_at
0082cc,ZS-BAX,AgustaWestland,A.109S Grand,A109,22042,H2T,,,,
008c1f,ZS-EOS,AgustaWestland,AW139,A139,31502,H2T,,2013-09-10,,2013-01-01
0092c7,ZS-HCG,AgustaWestland,AW119 Mk II,A119,14739,H1T,,,,
0092e7,ZS-HDM,AgustaWestland,AW119,A119,14025,H1T,,,,
0092ea,ZS-HDP,AgustaWestland,A.109S Grand,A109,22153,H2T,,,,
009311,ZS-HFC,AgustaWestland,A.109E Power,A109,11117,H2T,,,,
009391,ZS-HKA,AgustaWestland,AW119 Mk II,A119,14834,H1T,,,,
00939c,ZS-HKL,AgustaWestland,A.109S Grand,A109,22112,H2T,,,,
0093ac,ZS-HLB,AgustaWestland,AW119,A119,14046,H1T,,,,
0093ca,ZS-HMF,AgustaWestland,AW119 Mk II,A119,14762,H1T,,,,
0093d2,ZS-HMN,AgustaWestland,A.109E Power,A109,11148,H2T,,,,
0093da,ZS-HMV,AgustaWestland,A.109S Grand,A109,22070,H2T,,,,
00945c,ZS-HRV,AgustaWestland,AW119 Mk II,A119,14709,H1T,,,,
00ade2,ZS-RJD,AgustaWestland,A.109E Power,A109,11010,H2T,,,,
00ae87,ZS-RPM,AgustaWestland,AW139,A139,31363,H2T,,,,
00ae88,ZS-RPN,AgustaWestland,A.109K2,A109,10036,H2T,,,,
00aeaf,ZS-RRA,AgustaWestland,AW119 Mk II,A119,14721,H1T,,,,
00aeb0,ZS-RRB,AgustaWestland,A.109E Power,A109,11707,H2T,,,,
00aed4,ZS-RSL,AgustaWestland,AW119,A119,14013,H1T,,,,
00c221,ZS-ZAM,AgustaWestland,AW119,A119,14531,H1T,,,,
010123,SU-CBV,AgustaWestland,AW139,A139,41209,H2T,,,,
010124,SU-CBW,AgustaWestland,AW139,A139,41217,H2T,,,,
0101c1,SU-CCE,AgustaWestland,AW139,A139,41502,H2T,,,,
020116,CN-HAK,AgustaWestland,AW139,A139,31565,H2T,,,,
020117,CN-HAW,AgustaWestland,AW139,A139,31566,H2T,,,,
042f21,3C-MAD,AgustaWestland,AW169,A169,69028,H2T,,,,
05329c,PR-HMK,AgustaWestland,A.109E Power,A109,11732,H2T,,2009-01-08,2016-01-01,2008-01-01
06407e,5N-RSN,AgustaWestland,AW139,A139,31060,H2T,,,,
064119,5N-BOI,AgustaWestland,AW139,A139,31380,H2T,CJR,,,
06411a,5N-BOJ,AgustaWestland,AW139,A139,31385,H2T,CJR,,,
06411b,5N-BOX,AgustaWestland,AW139,A139,31386,H2T,CJR,,,
064167,5N-BQB,AgustaWestland,AW139,A139,31540,H2T,,,,
0641cf,5N-BSK,AgustaWestland,AW139,A139,41393,H2T,,,,
0641d0,5N-BTR,AgustaWestland,AW139,A139,31578,H2T,CJR,,,
06a06a,A7-GHA,AgustaWestland,AW139,A139,31132,H2T,,,,
06a06b,A7-GHB,AgustaWestland,AW139,A139,31140,H2T,,2008-07-22,,2008-01-01
06a082,A7-GHC,AgustaWestland,AW139,A139,31225,H2T,,,,
06a0a0,A7-GHD,AgustaWestland,AW139,A139,31233,H2T,,,,
