icao_24bit_address,registration,manufacturer,model,aircraft_type,serial_number,description,operator,registered_at,registered_until,manufactured_at
004000,2324,Airbus Helicopters,H215,AS32,2324,H2T,FMY,,,
0083b4,ZS-BJV,Airbus Helicopters,H125,AS50,2428,H1T,,,,
00874b,ZS-CTE,Airbus Helicopters,H130,EC30,4299,H1T,,,,
008ff4,ZS-GAL,Airbus,A320-231,A320,64,L2J,DAO,,,
008ff8,ZS-GAP,Airbus,A320-231,A320,77,L2J,,,,
008ffa,ZS-GAR,Airbus,A320-231,A320,53,L2J,KSZ,,,
008ffb,ZS-GAS,Airbus,A320-231,A320,76,L2J,JUB,,,
008fff,ZS-GAW,Airbus,A320-231,A320,54,L2J,CAI,,,
009002,ZS-GAZ,Airbus,A320-231,A320,81,L2J,,,,
0092b5,ZS-HBO,Airbus Helicopters,H130,EC30,3893,H1T,,,,
0092ce,ZS-HCN,Airbus Helicopters,H130,EC30,4580,H1T,,,,
0092e6,ZS-HDL,Airbus Helicopters,H125,AS50,1846,H1T,,,,
0092ef,ZS-HDU,Airbus Helicopters,H125,AS50,4533,H1T,,,,
0092f7,ZS-HEC,Airbus Helicopters,H125,AS50,4664,H1T,,,,
00934b,ZS-HHI,Airbus Helicopters,H125,AS50,4442,H1T,,,,
009371,ZS-HIU,Airbus Helicopters,H125,AS50,7178,H1T,,,,
00938d,ZS-HJW,Airbus Helicopters,AS365 Dauphin,AS65,6469,H2T,,,,
00939a,ZS-HKJ,Airbus Helicopters,H125,AS50,1461,H1T,,,,
00939e,ZS-HKN,Airbus Helicopters,H125,AS50,1483,H1T,,,,
0093a6,ZS-HKV,Airbus Helicopters,H125,AS50,1528,H1T,,,,
0093e0,ZS-HNB,Airbus Helicopters,AS355 Écureuil 2,AS55,5562,H2T,,,,
0093e5,ZS-HNG,Airbus Helicopters,H125,AS50,1791,H1T,,,,
00940b,ZS-HOS,Airbus Helicopters,AS365 Dauphin,AS65,6472,H2T,,,,
009411,ZS-HOY,Airbus Helicopters,H130,EC30,4980,H1T,,,,
009485,ZS-HTK,Airbus Helicopters,H125,AS50,4316,H1T,,,,
009486,ZS-HTL,Airbus Helicopters,H125,AS50,4434,H1T,,,,
009487,ZS-HTM,Airbus Helicopters,H125,AS50,7019,H1T,,,,
0094a9,ZS-HUU,Airbus Helicopters,H125,AS50,4223,H1T,,,,
0094b1,ZS-HVC,Airbus Helicopters,H125,AS50,1129,H1T,,,,
009517,ZS-HZA,Airbus Helicopters,AS355 Écureuil 2,AS55,5464,H2T,,,,
00a53d,ZS-OCA,Airbus Helicopters,H125,AS50,4397,H1T,,,,
00a53e,ZS-OCB,Airbus Helicopters,H125,AS50,9083,H1T,,,,
00a624,ZS-OKX,Airbus Helicopters,H125,AS50,4071,H1T,,,,
00a699,ZS-OPK,Airbus Helicopters,H125,AS50,4091,H1T,,,,
00a769,ZS-OXK,Airbus Helicopters,H125,AS50,4139,H1T,,,,
00a7fa,ZS-PCZ,Airbus Helicopters,H125,AS50,4102,H1T,,,,
00ad0d,ZS-RAY,Airbus Helicopters,H130,EC30,4032,H1T,LPC,,,
00ad37,ZS-RCO,Airbus Helicopters,H125,AS50,7944,H1T,,,,
00ad3b,ZS-RCS,Airbus Helicopters,H125,AS50,3157,H1T,,,,
00ad4a,ZS-RDH,Airbus Helicopters,H125,AS50,4144,H1T,,,,
00ad4c,ZS-RDJ,Airbus Helicopters,H125,AS50,2648,H1T,,,,
00ad4e,ZS-RDL,Airbus Helicopters,H125,AS50,4170,H1T,,,,
00ad72,ZS-REV,Airbus Helicopters,H125,AS50,9081,H1T,,,,
00ad74,ZS-REX,Airbus Helicopters,H125,AS50,4292,H1T,,,,
00ad8d,ZS-RFW,Airbus Helicopters,H125,AS50,4562,H1T,,,,
00ad96,ZS-RGF,Airbus Helicopters,H125,AS50,7265,H1T,,,,
00ada4,ZS-RGT,Airbus Helicopters,H125,AS50,4605,H1T,,,,
00adab,ZS-RHA,Airbus Helicopters,H125,AS50,2913,H1T,,,,
00adc1,ZS-RHW,Airbus Helicopters,H125,AS50,1327,H1T,,,,
00adf4,ZS-RJV,Airbus Helicopters,H125,AS50,9001,H1T,,,,
00adfa,ZS-RKB,Airbus Helicopters,H125,AS50,4227,H1T,,,,
00adff,ZS-RKG,Airbus Helicopters,H125,AS50,3416,H1T,,,,
00ae17,ZS-RLE,Airbus Helicopters,H125,AS50,9089,H1T,,,,
00ae20,ZS-RLN,Airbus Helicopters,H120,EC20,1065,H1T,,,,
00ae22,ZS-RLP,Airbus Helicopters,H120,EC20,1081,H1T,,,,
00ae29,ZS-RLW,Airbus Helicopters,H125,AS50,4866,H1T,,,,
00ae3b,ZS-RMO,Airbus Helicopters,H120,EC20,1117,H1T,,,,
00ae47,ZS-RNA,Airbus Helicopters,H120,EC20,1228,H1T,,,,
00ae58,ZS-RNR,Airbus Helicopters,H125,AS50,4836,H1T,,,,
00ae70,ZS-ROP,Airbus Helicopters,H120,EC20,1332,H1T,,,,
00ae7b,ZS-RPA,Airbus Helicopters,H125,AS50,3364,H1T,,,,
00ae7c,ZS-RPB,Airbus Helicopters,H125,AS50,3713,H1T,,,,
00ae7e,ZS-RPD,Airbus Helicopters,H125,AS50,3365,H1T,,,,
00ae85,ZS-RPK,Airbus Helicopters,H125,AS50,3456,H1T,,,,
00ae86,ZS-RPL,Airbus Helicopters,H125,AS50,3468,H1T,,,,
00ae8c,ZS-RPR,Airbus Helicopters,H125,AS50,3714,H1T,,,,
00ae8f,ZS-RPU,Airbus Helicopters,H125,AS50,1392,H1T,,,,
00aebe,ZS-RRP,Airbus Helicopters,H130,EC30,3740,H1T,,,,
00aec2,ZS-RRT,Airbus Helicopters,H120,EC20,1272,H1T,,,,
00aeca,ZS-RSB,Airbus Helicopters,H125,AS50,3613,H1T,,,,
00aedb,ZS-RSS,Airbus Helicopters,H125,AS50,2373,H1T,,,,
00aedf,ZS-RSW,Airbus Helicopters,H125,AS50,2227,H1T,,,,
00aee9,ZS-RTG,Airbus Helicopters,H120,EC20,1042,H1T,,,,
00aeee,ZS-RTL,Airbus Helicopters,H120,EC20,1322,H1T,,,,
00af03,ZS-RUG,Airbus Helicopters,H125,AS50,4128,H1T,,,,
00af32,ZS-RWB,Airbus Helicopters,H125,AS50,3219,H1T,,,,
00af33,ZS-RWC,Airbus Helicopters,H125,AS50,3897,H1T,,,,
00af37,ZS-RWG,Airbus Helicopters,H125,AS50,3773,H1T,,,,
00af3e,ZS-RWN,Airbus Helicopters,H125,AS50,1866,H1T,,,,
00af44,ZS-RWT,Airbus Helicopters,H125,AS50,4035,H1T,,,,
00af48,ZS-RWX,Airbus Helicopters,H125,AS50,3870,H1T,,,,
