"icao_24bit_address","registration","manufacturer","model","aircraft_type","serial_number","description","airline","registered_at","registered_until","manufactured_at"
"00a75c","ZS-OWX","Antonov","An-32B","AN32","2806","L2T","VLA",NULL,NULL,NULL
"00a820","ZS-PEL","Antonov","An-32B","AN32","3004","L2T",NULL,NULL,NULL,NULL
"00a98f","ZS-PSO","Antonov","An-32B","AN32","2808","L2T",NULL,NULL,NULL,NULL
"018006","5A-DKN","Antonov","An-124-100","A124","19530502792","L4J",NULL,NULL,NULL,NULL
"07c00c","ST-AZM","Antonov","An-12BK","AN12","00346907","L4T","KTV",NULL,NULL,NULL
"07c01c","ST-ARP","Antonov","An-24RV","AN24","37308809","L2T","AFA",NULL,NULL,NULL
"07c03a","ST-TKO","Antonov","An-32B","AN32","3110","L2T","HAT",NULL,NULL,NULL
"07c04c","ST-PRK","Antonov","An-72-100","AN72","36572060642","L2J",NULL,NULL,NULL,NULL
"090031","T-702","Antonov","An-72","AN72","36572093876","L2J",NULL,NULL,NULL,NULL
"09003a","D2-MBO","Antonov","An-30A-100","AN30","1401","L2T",NULL,NULL,NULL,NULL
"090082","D2-FFV","Antonov","An-32A","AN32","2510","L2T",NULL,NULL,NULL,NULL
"0900d0","T-706","Antonov","An-72","AN72","36572070695","L2J",NULL,NULL,NULL,NULL
"0900de","D2-FGL","Antonov","An-32A","AN32","2601","L2T",NULL,NULL,NULL,NULL
"0b0439","CU-T1081","Antonov","An-2R","AN2","1G116-41","L1P","ITE",NULL,NULL,NULL
"0b043f","CU-T1087","Antonov","An-2R","AN2","1G115-58","L1P","CUB",NULL,NULL,NULL
"0b0442","CU-T1090","Antonov","An-2R","AN2","1G116-08","L1P","ITE",NULL,NULL,NULL
"0b0443","CU-T1091","Antonov","An-2R","AN2","1G116-04","L1P",NULL,NULL,NULL,NULL
"0b044b","CU-T1099","Antonov","An-2","AN2","1G120-33","L1P","ITE",NULL,NULL,NULL
"0b0451","CU-T1105","Antonov","An-2P","AN2","1G120-05","L1P","ITE",NULL,NULL,NULL
"0b045e","CU-T1118","Antonov","An-2R","AN2","1G120-12","L1P","ITE",NULL,NULL,NULL
"0b045f","CU-T1119","Antonov","An-2R","AN2","1G120-20","L1P","ITE",NULL,NULL,NULL
"0b0490","CU-T1168","Antonov","An-2R","AN2","1G232-08","L1P","ITE",NULL,NULL,NULL
"0b0491","CU-T1169","Antonov","An-2R","AN2","1G232-13","L1P","ITE",NULL,NULL,NULL
"0b0492","CU-T1170","Antonov","An-2R","AN2","1G232-11","L1P","CUB",NULL,NULL,NULL
"0b049b","CU-T1179","Antonov","An-2R","AN2","1G232-05","L1P","ITE",NULL,NULL,NULL
"0b049d","CU-A1181","Antonov","An-2R","AN2","1G232-15","L1P","ITE",NULL,NULL,NULL
"0b04a3","CU-T1187","Antonov","An-2R","AN2","1G231-59","L1P",NULL,NULL,NULL,NULL
"0b04a4","CU-T1188","Antonov","An-2R","AN2","1G232-10","L1P",NULL,NULL,NULL,NULL
"0b04c7","CU-T1463","Antonov","An-24RV","AN24","47309405","L2T",NULL,NULL,NULL,NULL
"0b04d7","CU-T1417","Antonov","An-26","AN26","7907","L2T",NULL,NULL,NULL,NULL
"0b0578","CU-T1400","Antonov","An-2R","AN2","1G115-57","L1P","ITE",NULL,NULL,NULL
"0b0579","CU-T1401","Antonov","An-26","AN26","12604","L2T",NULL,NULL,NULL,NULL
"0b0580","CU-T1408","Antonov","An-26","AN26","6903","L2T",NULL,NULL,NULL,NULL
"0b0582","CU-T1410","Antonov","An-2R","AN2","1G120-14","L1P","ITE",NULL,NULL,NULL
"0b0583","CU-T1411","Antonov","An-2R","AN2","1G120-25","L1P","ITE",NULL,NULL,NULL
"0b0584","CU-T1412","Antonov","An-2R","AN2","1G115-55","L1P","ITE",NULL,NULL,NULL
"0b058a","CU-T1418","Antonov","An-2P","AN2","1G120-06","L1P","ITE",NULL,NULL,NULL
"0b058c","CU-T1420","Antonov","An-26","AN26","6607","L2T",NULL,NULL,NULL,NULL
"0b058d","CU-T1421","Antonov","An-26","AN26","6610","L2T",NULL,NULL,NULL,NULL
"0b058f","CU-T1423","Antonov","An-26","AN26","3806","L2T",NULL,NULL,NULL,NULL
"0b0592","CU-T1426","Antonov","An-26","AN26","5603","L2T",NULL,NULL,NULL,NULL
"0b0595","CU-T1429","Antonov","An-26","AN26","7006","L2T",NULL,NULL,NULL,NULL
"0b0598","CU-T1432","Antonov","An-26","AN26","7306","L2T",NULL,NULL,NULL,NULL
"0b0599","CU-T1433","Antonov","An-26","AN26","7309","L2T",NULL,NULL,NULL,NULL
"0b059a","CU-T1434","Antonov","An-26","AN26","7701","L2T",NULL,NULL,NULL,NULL
"0b059b","CU-T1435","Antonov","An-26","AN26","7702","L2T",NULL,NULL,NULL,NULL
"0b05ea","CU-T1514","Antonov","An-2R","AN2","1G234-13","L1P","ITE",NULL,NULL,NULL
"0b05ec","CU-C1056","Antonov","An-2P","AN2","1G234-15","L1P",NULL,NULL,NULL,NULL
"0b05ee","CU-T1518","Antonov","An-2P","AN2","1G234-12","L1P","ITE",NULL,NULL,NULL
"0b05fa","CU-T1530","Antonov","An-2R","AN2","1G120-10","L1P","ITE",NULL,NULL,NULL
"0b05fb","CU-T1531","Antonov","An-2R","AN2","1G116-39","L1P","ITE",NULL,NULL,NULL
"0b06b2","CU-T1714","Antonov","An-158","A158","201-04","L2J","CUB",NULL,NULL,NULL
"100308","RF-00308","Antonov","An-28","AN28","1AJ001-04","L2T",NULL,NULL,NULL,NULL
"134524","RA-3451K","Antonov","An-2R","AN2","1G212-34","L1P",NULL,NULL,NULL,NULL
"136784","RA-28809","Antonov","An-28","AN28","1AJ002-07","L2T",NULL,NULL,NULL,NULL
"14014b","RF-00331","Antonov","An-2T","AN2","1G98-43","L1P",NULL,NULL,NULL,NULL
"14019a","RA-00410","Antonov","An-2T","AN2","1G237-11","L1P",NULL,NULL,NULL,NULL
"14019e","RA-00414","Antonov","An-2T","AN2","1G237-42","L1P",NULL,NULL,NULL,NULL
"1401a2","RA-00418","Antonov","An-2T","AN2","1G196-22","L1P",NULL,NULL,NULL,NULL
"1401a3","RA-00419","Antonov","An-2","AN2","117547307","L1P",NULL,NULL,NULL,NULL
"1401e4","RA-00484","Antonov","An-2T","AN2","1G160-32","L1P",NULL,NULL,NULL,NULL
"1401eb","RA-00491","Antonov","An-2T","AN2","1G237-53","L1P",NULL,NULL,NULL,NULL
"14044d","RA-01101","Antonov","An-2R","AN2","1G239-46","L1P",NULL,NULL,NULL,NULL
"14044e","RA-01102","Antonov","An-2R","AN2","1G239-47","L1P",NULL,NULL,NULL,NULL
"14044f","RA-01103","Antonov","An-2R","AN2","1G239-48","L1P",NULL,NULL,NULL,NULL
"140452","RA-01106","Antonov","An-2","AN2","1G239-58","L1P",NULL,NULL,NULL,NULL
"140453","RA-01107","Antonov","An-2","AN2","1G239-59","L1P",NULL,NULL,NULL,NULL
"140454","RA-01108","Antonov","An-2","AN2","1G239-60","L1P",NULL,NULL,NULL,NULL
