icao_24bit_address,registration,manufacturer,model,aircraft_type,serial_number,description,operator,registered_at,registered_until,manufactured_at
0080a4,ZS-AFR,ATR,42-500F,AT45,643,L2T,,,,
008210,ZS-ATR,ATR,42-320F,AT43,060,L2T,,,,
00a73a,ZS-OVP,ATR,42-300,AT43,088,L2T,,,,
00a73d,ZS-OVS,ATR,42-320,AT43,075,L2T,,,,
00bd02,ZS-XCB,ATR,72-212,AT73,460,L2T,,,,
00bd04,ZS-XCD,ATR,42-300F,AT43,228,L2T,,,,
00bd07,ZS-XCG,ATR,42-500,AT45,443,L2T,,,,
00bd08,ZS-XCH,ATR,72-201F,AT72,108,L2T,,,,
00bd09,ZS-XCI,ATR,42-500F,AT45,528,L2T,,,,
00bd0a,ZS-XCJ,ATR,72-201F,AT72,381,L2T,,,,
00bd0b,ZS-XCK,ATR,72-201F,AT72,195,L2T,,,,
00bd0d,ZS-XCM,ATR,72-202F,AT72,313,L2T,,,,
00bf57,ZS-XZA,ATR,72-500,AT75,719,L2T,CUB,,,
00bf58,ZS-XZB,ATR,72-500,AT75,731,L2T,CUB,,,
018059,5A-LAF,ATR,42-500,AT45,691,L2T,LAA,,,
01805a,5A-LAG,ATR,42-500,AT45,802,L2T,LAA,,,
0200f5,CN-COF,ATR,72-600,AT76,958,L2T,,,,
020100,CN-COH,ATR,72-600,AT76,1034,L2T,RAM,2012-07-12,,2012-01-01
020101,CN-COG,ATR,72-600,AT76,1035,L2T,,,,
02010e,CN-COI,ATR,72-600,AT76,1143,L2T,,,,
02c0e2,TS-LBC,ATR,72-202,AT72,281,L2T,,,,
02c4e2,TS-LBA,ATR,42-300,AT43,245,L2T,,,,
02c4e4,TS-LBD,ATR,72-500,AT75,756,L2T,,,,
02c4e5,TS-LBE,ATR,72-500,AT75,794,L2T,,,,
030001,A2-ABN,ATR,42-500,AT45,507,L2T,BOT,,,
030002,A2-ABO,ATR,42-500,AT45,511,L2T,BOT,,,
030003,A2-ABP,ATR,42-500,AT45,512,L2T,BOT,2000-09-27,,1996-01-01
03000f,A2-ABR,ATR,72-500,AT75,786,L2T,BOT,2009-03-19,,2008-01-01
0428d3,3C-LLM,ATR,72-500,AT75,810,L2T,CEL,,,
0429d1,3C-LLG,ATR,42-320,AT43,335,L2T,CEL,,,
054025,5R-EJA,ATR,72-600,AT76,1239,L2T,MDG,,,
054026,5R-EJB,ATR,72-600,AT76,1248,L2T,MDG,,,
05a062,8Q-VAV,ATR,72-500,AT75,701,L2T,VQI,,,
05a067,8Q-VAW,ATR,72-500,AT75,702,L2T,VQI,,,
05a077,8Q-VAX,ATR,42-500,AT45,647,L2T,VQI,,,
06001d,3B-NBG,ATR,72-500,AT75,690,L2T,MAU,,,
06002b,3B-NBN,ATR,72-500,AT75,921,L2T,MAU,,,
06002e,3B-NBO,ATR,72-500,AT75,926,L2T,MAU,,,
06404e,5N-BCR,ATR,42-300,AT43,031,L2T,OLA,,,
0640b8,5N-BCS,ATR,42-300,AT43,025,L2T,OLA,,,
0640ee,5N-BND,ATR,42-320,AT43,363,L2T,OLA,,,
