icao_24bit_address,registration,manufacturer,model,aircraft_type,serial_number,description,operator,registered_at,registered_until,manufactured_at
00802b,ZS-ABA,Beechcraft,B100 King Air,BE10,BE-109,L2T,COO,,,
008057,ZS-ACS,Beechcraft,B200 King Air,BE20,BB-961,L2T,,,,
0080d2,ZS-AHL,Beechcraft,E90 King Air,BE9L,LW-205,L2T,COO,,,
008132,ZS-ALD,Beechcraft,F90 King Air,BE9T,LA-160,L2T,,2004-11-08,,
0081d8,ZS-ARN,Beechcraft,C90 King Air,BE9L,LJ-919,L2T,,,,
0081e6,ZS-ASB,Beechcraft,B200 King Air,BE20,BB-903,L2T,,,,
008334,ZS-BEX,Beechcraft,C90GT King Air,BE9L,LJ-2051,L2T,,,,
008375,ZS-BHK,Beechcraft,B200 King Air,BE20,BB-387,L2T,,,,
0085dd,ZS-CFC,Beechcraft,E18S Twin Beech,BE18,BA-216,L2P,,,,
008617,ZS-CHI,Beechcraft,B200 King Air,BE20,BB-197,L2T,,,,
00872f,ZS-CSC,Beechcraft,C90-1 King Air,BE9L,LJ-1034,L2T,,,,
008840,ZS-DCP,Beechcraft,B200 King Air,BE20,BB-1291,L2T,,,,
0088e4,ZS-DIX,Beechcraft,C90 King Air,BE9L,LJ-669,L2T,LFI,,,
008b25,ZS-EFC,Beechcraft,65-A90 King Air,BE9L,LJ-161,L2T,,,,
008d51,ZS-FAM,Beechcraft,B200 King Air,BE20,BB-1044,L2T,COO,,,
008da4,ZS-FDR,Beechcraft,B200 King Air,BE20,BB-1234,L2T,,,,
008ebe,ZS-FON,Beechcraft,C90A King Air,BE9L,LJ-1735,L2T,,,,
009039,ZS-GDC,Beechcraft,C90GT King Air,BE9L,LJ-1875,L2T,,,,
00953e,ZS-IAN,Beechcraft,E90 King Air,BE9L,LW-169,L2T,,,,
00996d,ZS-JPS,Beechcraft,Hawker 400XP,BE40,RK-453,L2J,,,,
0099ab,ZS-JSC,Beechcraft,B200 King Air,BE20,BB-1985,L2T,,,,
009b2b,ZS-KGW,Beechcraft,B200 King Air,BE20,BB-381,L2T,,,,
009b88,ZS-KKL,Beechcraft,F90-1 King Air,BE9T,LA-210,L2T,,,,
009bb0,ZS-KLZ,Beechcraft,F90 King Air,BE9T,LA-69,L2T,,,,
009d17,ZS-KZU,Beechcraft,B200 King Air,BE20,BB-416,L2T,,,,
009d33,ZS-LAW,Beechcraft,B200 King Air,BE20,BB-889,L2T,,,,
009d39,ZS-LBC,Beechcraft,F90 King Air,BE9T,LA-122,L2T,,,,
009daa,ZS-LFL,Beechcraft,C90-1 King Air,BE9L,LJ-1033,L2T,,,,
009db3,ZS-LFU,Beechcraft,B200 King Air,BE20,BB-1018,L2T,,,,
009db5,ZS-LFW,Beechcraft,B200 King Air,BE20,BB-999,L2T,,,,
009e5a,ZS-LMF,Beechcraft,Hawker 400XP,BE40,RK-146,L2J,,,,
009ee9,ZS-LRS,Beechcraft,B200C King Air,BE20,BL-20,L2T,,,,
009f0e,ZS-LTD,Beechcraft,F90 King Air,BE9T,LA-63,L2T,,,,
009f10,ZS-LTF,Beechcraft,C90 King Air,BE9L,LJ-613,L2T,,,,
009f5c,ZS-LWD,Beechcraft,B200 King Air,BE20,BB-756,L2T,,,,
009f65,ZS-LWM,Beechcraft,B200 King Air,BE20,BB-341,L2T,,,,
009fb8,ZS-LZR,Beechcraft,C90A King Air,BE9L,LJ-1118,L2T,,,,
009ff4,ZS-MBZ,Beechcraft,C90 King Air,BE9L,LJ-795,L2T,LFI,,,
009ff9,ZS-MCE,Beechcraft,B200 King Air,BE20,BB-884,L2T,,,,
00a083,ZS-MHM,Beechcraft,F90 King Air,BE9T,LA-47,L2T,,,,
00a09d,ZS-MIM,Beechcraft,B200 King Air,BE20,BB-846,L2T,,,,
00a09e,ZS-MIN,Beechcraft,B200 King Air,BE20,BB-941,L2T,,,,
00a0ae,ZS-MJD,Beechcraft,Hawker 400XP,BE40,RK-18,L2J,,,,
00a0cd,ZS-MKI,Beechcraft,C90A King Air,BE9L,LJ-1099,L2T,,,,
00a1c5,ZS-MTW,Beechcraft,B200 King Air,BE20,BB-1076,L2T,,,,
00a1d5,ZS-MUM,Beechcraft,B90 King Air,BE9L,LJ-408,L2T,,,,
00a288,ZS-NBJ,Beechcraft,B200 King Air,BE20,BB-1070,L2T,,,,
00a28d,ZS-NBO,Beechcraft,B200 King Air,BE20,BB-706,L2T,,,,
00a2f5,ZS-NFO,Beechcraft,F90 King Air,BE9T,LA-51,L2T,,,,
00a332,ZS-NHX,Beechcraft,B200 King Air,BE20,BB-386,L2T,,,,
00a36b,ZS-NKC,Beechcraft,B200 King Air,BE20,BB-1474,L2T,,,,
00a3e7,ZS-NOW,Beechcraft,B200 King Air,BE20,BB-1427,L2T,,,,
00a430,ZS-NRR,Beechcraft,B200 King Air,BE20,BB-288,L2T,,,,
00a466,ZS-NTT,Beechcraft,B200 King Air,BE20,BB-350,L2T,,,,
00a4ab,ZS-NWK,Beechcraft,B200 King Air,BE20,BB-52,L2T,,,,
00a4c2,ZS-NXH,Beechcraft,B200 King Air,BE20,BB-37,L2T,,,,
00a4c3,ZS-NXI,Beechcraft,E90 King Air,BE9L,LW-224,L2T,,,,
00a4ce,ZS-NXT,Beechcraft,B200 King Air,BE20,BB-1502,L2T,,,,
00a4d9,ZS-NYE,Beechcraft,E90 King Air,BE9L,LW-222,L2T,,,,
00a4f8,ZS-NZJ,Beechcraft,B200 King Air,BE20,BB-630,L2T,,,,
00a545,ZS-OCI,Beechcraft,B200 King Air,BE20,BB-121,L2T,,,,
00a55f,ZS-ODI,Beechcraft,B200 King Air,BE20,BB-1542,L2T,,,,
00a56b,ZS-ODU,Beechcraft,B200 King Air,BE20,BB-1476,L2T,,,,
00a574,ZS-OED,Beechcraft,B200 King Air,BE20,BB-1149,L2T,,,,
00a5c0,ZS-OHB,Beechcraft,B90 King Air,BE9L,LJ-431,L2T,,,,
00a5e2,ZS-OIJ,Beechcraft,E18S Twin Beech,BE18,BA-428,L2P,SPB,,,
00a701,ZS-OTK,Beechcraft,C90A King Air,BE9L,LJ-1193,L2T,,,,
00a706,ZS-OTP,Beechcraft,B200 King Air,BE20,BB-683,L2T,,,,
00a709,ZS-OTS,Beechcraft,B200 King Air,BE20,BB-1113,L2T,LFI,,,
00a719,ZS-OUI,Beechcraft,B200 King Air,BE20,BB-688,L2T,,,,
00a724,ZS-OUT,Beechcraft,B200 King Air,BE20,BB-764,L2T,,,,
00a735,ZS-OVK,Beechcraft,F90 King Air,BE9T,LA-4,L2T,,,,
00a788,ZS-OYP,Beechcraft,B200 King Air,BE20,BB-594,L2T,,,,
00a7c6,ZS-PAZ,Beechcraft,300 King Air,BE30,FA-25,L2T,,,,
00a7ce,ZS-PBH,Beechcraft,100 King Air,BE10,B-9,L2T,,,,
00a7e8,ZS-PCH,Beechcraft,B200 King Air,BE20,BB-1856,L2T,,,,
00a815,ZS-PEA,Beechcraft,B200C King Air,BE20,BL-29,L2T,,,,
00a857,ZS-PGO,Beechcraft,B200 King Air,BE20,BB-1407,L2T,,,,
00a85f,ZS-PGW,Beechcraft,F90 King Air,BE9T,LA-120,L2T,,,,
00a8d4,ZS-PLJ,Beechcraft,B200 King Air,BE20,BB-1401,L2T,LFI,,,
00a8d6,ZS-PLL,Beechcraft,B200 King Air,BE20,BB-1189,L2T,,,,
00a8d8,ZS-PLN,Beechcraft,C90GT King Air,BE9L,LJ-2100,L2T,,,,
00a8e3,ZS-PLY,Beechcraft,B200 King Air,BE20,BB-687,L2T,,,,
00a910,ZS-PNR,Beechcraft,B200 King Air,BE20,BB-1344,L2T,,,,
00a939,ZS-PPG,Beechcraft,B200 King Air,BE20,BB-1562,L2T,,,,
00a94c,ZS-PPZ,Beechcraft,B200 King Air,BE20,BB-419,L2T,,,,
00a97a,ZS-PRT,Beechcraft,B90 King Air,BE9L,LJ-485,L2T,,,,
00a99f,ZS-PTE,Beechcraft,B200 King Air,BE20,BB-1184,L2T,,,,
00aa4b,ZS-PZU,Beechcraft,B200 King Air,BE20,BB-315,L2T,,,,
00acfa,ZS-RAF,Beechcraft,B200 King Air,BE20,BB-1673,L2T,,,,
00afbb,ZS-SBI,Beechcraft,B200C King Air,BE20,BL-21,L2T,,,,
