"icao_24bit_address","registration","manufacturer","model","aircraft_type","serial_number","description","airline","registered_at","registered_until","manufactured_at"
"0000c4","N474EA","Boeing","737-448","B734","24474","L2J",NULL,NULL,NULL,"1989-01-01"
"004002","Z-WPA","Boeing","737-2N0","B732","23677","L2J","AZW",NULL,NULL,NULL
"004003","Z-WPB","Boeing","737-2N0","B732","23678","L2J","AZW",NULL,NULL,NULL
"00412d","Z-WPF","Boeing","767-2N0ER","B762","24867","L2J","AZW",NULL,NULL,NULL
"00415c","Z-WPE","Boeing","767-2N0ER","B762","24713","L2J","AZW",NULL,NULL,NULL
"006009","C9-BAO","Boeing","737-205","B732","23467","L2J","LAM",NULL,NULL,NULL
"006011","C9-BAP","Boeing","737-53S","B735","29074","L2J","LAM",NULL,NULL,NULL
"008390","ZS-BIL","Boeing","737-277","B732","22650","L2J",NULL,NULL,NULL,NULL
"008cc7","ZS-EVE","Boeing","737-230","B732","22123","L2J",NULL,NULL,NULL,NULL
"009624","ZS-IJJ","Boeing","737-2H7C","B732","20591","L2J","ILN",NULL,NULL,NULL
"009991","ZS-JRC","Boeing","737-42JC","B734","27143","L2J","SFR",NULL,NULL,NULL
"009992","ZS-JRD","Boeing","737-4Y0","B734","24917","L2J","SFR","2014-09-12","2016-01-01","1991-01-01"
"009993","ZS-JRE","Boeing","737-4Y0","B734","26065","L2J",NULL,NULL,NULL,NULL
"009994","ZS-JRF","Boeing","737-4L7C","B734","26961","L2J","SFR",NULL,NULL,NULL
"00999a","ZS-JRL","Boeing","737-46M","B734","28550","L2J",NULL,NULL,NULL,NULL
"00999b","ZS-JRM","Boeing","737-490","B734","28890","L2J",NULL,NULL,NULL,NULL
"00a160","ZS-MPZ","Boeing","737-301","B733","23741","L2J",NULL,NULL,NULL,NULL
"00a2e4","ZS-NEX","Boeing","767-35DER","B763","24865","L2J","ARN","2016-02-01",NULL,"1990-01-01"
"00a50e","ZS-OAF","Boeing","737-4S3","B734","25116","L2J","CAW",NULL,NULL,NULL
"00a50f","ZS-OAG","Boeing","737-4H6","B734","27168","L2J","CAW",NULL,NULL,NULL
"00a515","ZS-OAM","Boeing","737-4S3","B734","24164","L2J","CAW",NULL,NULL,NULL
"00a517","ZS-OAO","Boeing","737-4S3","B734","24163","L2J","CAW",NULL,NULL,NULL
"00a518","ZS-OAP","Boeing","737-4S3","B734","24167","L2J","CAW","2008-08-16",NULL,"1989-01-01"
"00a51a","ZS-OAR","Boeing","737-476","B734","28152","L2J","CAW",NULL,NULL,NULL
"00a51c","ZS-OAT","Boeing","737-476","B734","28150","L2J","CAW",NULL,NULL,NULL
"00a51e","ZS-OAV","Boeing","737-4H6","B734","27086","L2J","CAW","2008-06-13",NULL,"1993-01-01"
"00a613","ZS-OKG","Boeing","737-376","B733","23483","L2J","CAW",NULL,NULL,NULL
"00a617","ZS-OKK","Boeing","737-376","B733","23485","L2J","CAW",NULL,NULL,NULL
"00a6fc","ZS-OTF","Boeing","737-436","B734","25305","L2J","CAW",NULL,NULL,NULL
"00a6fd","ZS-OTG","Boeing","737-436","B734","25840","L2J","CAW",NULL,NULL,NULL
"00a6fe","ZS-OTH","Boeing","737-436","B734","25841","L2J","CAW","2002-12-14",NULL,"1992-01-01"
"00a8c6","ZS-PKV","Boeing","737-529","B735","25418","L2J",NULL,NULL,NULL,NULL
"00a9bd","ZS-PUI","Boeing","737-2B7","B732","22890","L2J",NULL,NULL,NULL,NULL
"00aec9","ZS-RSA","Boeing","737-7ED","B737","32627","L2J","LMG",NULL,NULL,NULL
"00afb3","ZS-SBA","Boeing","737-3Y0","B733","26070","L2J","SAA",NULL,NULL,NULL
"00afb4","ZS-SBB","Boeing","737-3Y0","B733","26072","L2J","SAA",NULL,NULL,NULL
"00b06c","ZS-SID","Boeing","737-244F","B732","22583","L2J","SAA",NULL,NULL,NULL
"00b06e","ZS-SIF","Boeing","737-244F","B732","22585","L2J","SAA",NULL,NULL,NULL
"00b070","ZS-SIH","Boeing","737-244","B732","22587","L2J","ILN",NULL,NULL,NULL
"00b074","ZS-SIL","Boeing","737-244","B732","22591","L2J","LAM",NULL,NULL,NULL
"00b07c","ZS-SIT","Boeing","737-236","B732","21790","L2J",NULL,NULL,NULL,NULL
"00b083","ZS-SJA","Boeing","737-8S3","B738","29248","L2J","MNO",NULL,NULL,NULL
"00b084","ZS-SJB","Boeing","737-8S3","B738","29249","L2J","SAA","2000-09-08",NULL,"2000-01-01"
"00b085","ZS-SJC","Boeing","737-85F","B738","28828","L2J","MNO",NULL,NULL,NULL
"00b086","ZS-SJD","Boeing","737-85F","B738","28829","L2J","MNO",NULL,NULL,NULL
"00b087","ZS-SJE","Boeing","737-85F","B738","28830","L2J","MNO",NULL,NULL,NULL
"00b088","ZS-SJF","Boeing","737-85F","B738","30006","L2J","SAA",NULL,NULL,NULL
"00b089","ZS-SJG","Boeing","737-8BG","B738","32353","L2J","MNO",NULL,NULL,NULL
"00b08a","ZS-SJH","Boeing","737-8BG","B738","32354","L2J","MNO",NULL,NULL,NULL
"00b08d","ZS-SJK","Boeing","737-8BG","B738","32355","L2J","MNO",NULL,NULL,NULL
"00b08e","ZS-SJL","Boeing","737-8BG","B738","32356","L2J","MNO",NULL,NULL,NULL
"00b08f","ZS-SJM","Boeing","737-85F","B738","30476","L2J","SAA",NULL,NULL,NULL
"00b090","ZS-SJN","Boeing","737-85F","B738","30569","L2J","SAA",NULL,NULL,NULL
"00b091","ZS-SJO","Boeing","737-8BG","B738","32357","L2J","MNO",NULL,NULL,NULL
"00b092","ZS-SJP","Boeing","737-8BG","B738","32358","L2J","MNO",NULL,NULL,NULL
"00b094","ZS-SJR","Boeing","737-844","B738","32631","L2J",NULL,NULL,NULL,NULL
"00b095","ZS-SJS","Boeing","737-844","B738","32632","L2J",NULL,NULL,NULL,NULL
"00b096","ZS-SJT","Boeing","737-844","B738","32633","L2J",NULL,NULL,NULL,NULL
"00b097","ZS-SJU","Boeing","737-844","B738","32634","L2J","SAA",NULL,NULL,NULL
"00b098","ZS-SJV","Boeing","737-844","B738","32635","L2J","SAA",NULL,NULL,NULL
"00b133","ZS-SPU","Boeing","737-3S3","B733","24059","L2J",NULL,NULL,NULL,NULL
"00b1ce","ZS-SVT","Boeing","737-2K9","B732","23405","L2J",NULL,NULL,NULL,NULL
"00b1d0","ZS-SVV","Boeing","737-236","B732","22030","L2J","ATC",NULL,NULL,NULL
"00b243","ZS-TAG","Boeing","737-3B7","B733","23706","L2J",NULL,NULL,NULL,NULL
"00b2da","ZS-TGB","Boeing","737-36Q","B733","29327","L2J","RJA",NULL,NULL,NULL
"00b2df","ZS-TGG","Boeing","737-341","B733","24278","L2J",NULL,NULL,NULL,NULL
"00b2e6","ZS-TGN","Boeing","737-3B7","B733","23862","L2J",NULL,NULL,NULL,NULL
"00b2f0","ZS-TGX","Boeing","737-341","B733","24276","L2J",NULL,NULL,NULL,NULL
"00b2f1","ZS-TGY","Boeing","737-5Y0","B735","25183","L2J",NULL,NULL,NULL,NULL
"00b7d4","ZS-VDB","Boeing","737-31L","B733","27345","L2J",NULL,NULL,NULL,NULL
"00b7e2","ZS-VDP","Boeing","737-31L","B733","27346","L2J",NULL,NULL,NULL,NULL
"00bb70","ZS-WMP","Boeing","737-490","B734","28891","L2J",NULL,NULL,NULL,NULL
"00c451","ZS-ZWA","Boeing","737-8LD","B738","40851","L2J","CAW",NULL,NULL,NULL
"00c452","ZS-ZWB","Boeing","737-8LD","B738","40852","L2J","CAW",NULL,NULL,NULL
"00c453","ZS-ZWC","Boeing","737-8LD","B738","40853","L2J","CAW",NULL,NULL,NULL
"00c454","ZS-ZWD","Boeing","737-8LD","B738","40855","L2J","CAW","2012-12-14",NULL,"2012-01-01"
"00c455","ZS-ZWE","Boeing","737-8LD","B738","40854","L2J","CAW",NULL,NULL,NULL
"00c456","ZS-ZWF","Boeing","737-8LD","B738","40856","L2J","CAW",NULL,NULL,NULL
"00c457","ZS-ZWG","Boeing","737-8LD","B738","40972","L2J","CAW",NULL,NULL,NULL
"00c458","ZS-ZWH","Boeing","737-800","B738","40971","L2J","BAW",NULL,NULL,"2016-12-03"
"00c459","ZS-ZWI","Boeing","737-85R","B738","30403","L2J","CAW",NULL,NULL,NULL
"00c45f","ZS-ZWO","Boeing","737-8K2","B738","28373","L2J","CAW",NULL,NULL,NULL
"00c460","ZS-ZWP","Boeing","737-86N","B738","28612","L2J","CAW",NULL,NULL,NULL
"00c461","ZS-ZWQ","Boeing","737-8K2","B738","28374","L2J","CAW",NULL,NULL,NULL
"00c462","ZS-ZWR","Boeing","737-85P","B738","28382","L2J","CAW","2011-05-19",NULL,"1999-01-01"
