icao_24bit_address,registration,manufacturer,model,aircraft_type,serial_number,description,operator,registered_at,registered_until,manufactured_at
008058,ZS-ACT,Bombardier,Challenger 300,CL30,20034,L2J,,,,
008351,ZS-BGA,Bombardier,Challenger 600S,CL60,1072,L2J,,,,
00865d,ZS-CKA,Bombardier,Challenger 350,CL35,20626,L2J,,,,
008692,ZS-CMB,Bombardier,CRJ-100ER,CRJ1,7215,L2J,,,,
008695,ZS-CME,Bombardier,CRJ-100ER,CRJ1,7293,L2J,,,,
008696,ZS-CMF,Bombardier,CRJ-200ER,CRJ2,8037,L2J,,,,
008697,ZS-CMG,Bombardier,CRJ-200ER,CRJ2,8028,L2J,,,,
008698,ZS-CMH,Bombardier,CRJ-100ER,CRJ1,7292,L2J,ATC,,,
0086a2,ZS-CMR,Bombardier,CRJ-100ER,CRJ1,7326,L2J,,,,
00871c,ZS-CRJ,Bombardier,CRJ-100ER,CRJ1,7338,L2J,,,,
009705,ZS-ISA,Bombardier,Challenger 600S,CL60,1081,L2J,,,,
00982e,ZS-JDL,Bombardier,Challenger 350,CL35,20556,L2J,,,,
009969,ZS-JPO,Bombardier,Challenger 300,CL30,20383,L2J,,2013-03-04,,2013-01-01
009ad8,ZS-KDR,Bombardier,Global Express,GLEX,9023,L2J,,2015-07-01,,1999-01-01
009aed,ZS-KEM,Bombardier,CRJ-100ER,CRJ1,7297,L2J,,,,
00a284,ZS-NBF,Bombardier,CRJ-701ER,CRJ7,10028,L2J,EXY,,,
00a285,ZS-NBG,Bombardier,CRJ-701ER,CRJ7,10039,L2J,EXY,,,
00a39f,ZS-NMC,Bombardier,CRJ-200ER,CRJ2,7225,L2J,EXY,,,
00a3a0,ZS-NMD,Bombardier,CRJ-200ER,CRJ2,7233,L2J,EXY,,,
00a3a1,ZS-NME,Bombardier,CRJ-200ER,CRJ2,7240,L2J,EXY,,,
00a3a2,ZS-NMF,Bombardier,CRJ-200ER,CRJ2,7287,L2J,EXY,,,
00a3a3,ZS-NMG,Bombardier,CRJ-200,CRJ2,7772,L2J,EXY,2008-04-20,,2003-01-01
00a3a4,ZS-NMH,Bombardier,CRJ-200ER,CRJ2,7787,L2J,EXY,,,
00a3a5,ZS-NMI,Bombardier,CRJ-200ER,CRJ2,7153,L2J,EXY,,,
00a3a6,ZS-NMJ,Bombardier,CRJ-200BER,CRJ2,7161,L2J,,,,
00a3a7,ZS-NMK,Bombardier,CRJ-200BER,CRJ2,7198,L2J,,,,
00a3a8,ZS-NML,Bombardier,CRJ-200BER,CRJ2,7201,L2J,EXY,,,
00a3a9,ZS-NMM,Bombardier,CRJ-200BER,CRJ2,7234,L2J,EXY,,,
00a3aa,ZS-NMN,Bombardier,CRJ-200BER,CRJ2,7237,L2J,EXY,,,
00b287,ZS-TCW,Bombardier,Challenger 600S,CL60,1066,L2J,,,,
00b41e,ZS-TSN,Bombardier,Challenger 600S,CL60,1071,L2J,,,,
00bf77,ZS-YAG,Bombardier,Challenger 600S,CL60,1076,L2J,,,,
010169,SU-CBY,Bombardier,CRJ-900LR NG,CRJ9,15278,L2J,,,,
0101a4,SU-CCB,Bombardier,CRJ-900LR NG,CRJ9,15370,L2J,,,,
015a4e,EC-LNM,Bombardier,Global Express,GLEX,9403,L2J,,,,2010-01-01
01802b,5A-LAA,Bombardier,CRJ-900ER,CRJ9,15120,L2J,LAA,,,
01802d,5A-LAC,Bombardier,CRJ-900ER,CRJ9,15122,L2J,LAA,,,
01803c,5A-UAB,Bombardier,Global 5000,GL5T,9285,L2J,UVN,,,
018045,5A-LAD,Bombardier,CRJ-900ER NG,CRJ9,15214,L2J,LAA,,,
018046,5A-LAE,Bombardier,CRJ-900ER NG,CRJ9,15216,L2J,LAA,,,
01804e,5A-UAC,Bombardier,Global 5000,GL5T,9257,L2J,COO,,,
018073,5A-LAM,Bombardier,CRJ-900ER NG,CRJ9,15257,L2J,LAA,,,
018074,5A-LAN,Bombardier,CRJ-900ER NG,CRJ9,15258,L2J,LAA,,,
020106,CN-CTA,Bombardier,Challenger 300,CL30,20405,L2J,,,,
02a240,TS-ISA,Bombardier,CRJ-900,CRJ9,15091,L2J,SEN,2007-07-25,,2006-01-01
030012,OK1,Bombardier,Global Express XRS,GLEX,9259,L2J,,2009-09-01,,2007-01-01
04c093,5Y-BWR,Bombardier,CRJ-100LR,CRJ1,7004,L2J,,,,
04c0c1,5Y-JLE,Bombardier,CRJ-100LR,CRJ1,7016,L2J,,,,
04c0c7,5Y-JLG,Bombardier,CRJ-100ER,CRJ1,7126,L2J,,,,
04c143,5Y-FAN,Bombardier,CRJ-100LR,CRJ1,7113,L2J,,,,
04c171,5Y-SSR,Bombardier,CRJ-200LR,CRJ2,7386,L2J,FFV,,,
04c17b,5Y-CGF,Bombardier,CRJ-200LR,CRJ2,7373,L2J,FFV,,,
06002d,3B-PGT,Bombardier,Global 5000,GL5T,9676,L2J,,,,
06a037,A7-AAM,Bombardier,Global Express,GLEX,9126,L2J,QAF,,,
06a0d7,A7-CED,Bombardier,Global 5000,GL5T,9370,L2J,QQE,2013-11-01,,2009-01-01
06a0d8,A7-CEE,Bombardier,Global 5000,GL5T,9421,L2J,QQE,2013-11-01,,2010-01-01
06a131,A7-CEF,Bombardier,Global Express XRS,GLEX,9294,L2J,,,,
06a133,A7-CEI,Bombardier,Global 5000,GL5T,9581,L2J,,,,
06a198,A7-TAT,Bombardier,Global 5000,GL5T,9379,L2J,QQE,2013-11-01,2016-01-01,2009-01-01
06a19b,A7-CEV,Bombardier,Global 5000,GL5T,9534,L2J,,,,
06a1b5,A7-MHA,Bombardier,Challenger 604,CL60,5508,L2J,QQE,2014-10-02,2016-01-01,2001-01-01
06e007,9XR-WH,Bombardier,CRJ-900LR NG,CRJ9,15286,L2J,RWD,,,
06e008,9XR-WI,Bombardier,CRJ-900,CRJ9,15287,L2J,RWD,2012-10-31,,2012-01-01
07c03e,ST-NVC,Bombardier,CRJ-200ER,CRJ2,7686,L2J,,,,
090088,D2-ANG,Bombardier,Global Express XRS,GLEX,9232,L2J,,,,
