icao_24bit_address,registration,manufacturer,model,aircraft_type,serial_number,description,operator,registered_at,registered_until,manufactured_at
00b0df,ZS-SMO,British Aerospace,BAe 146-300,B463,E3169,L4J,,,,
00b116,ZS-SOR,British Aerospace,BAe 146-300,B463,E3155,L4J,DJU,,,
042c59,3C-AKK,British Aerospace,BAe 146-200,B462,E2069,L4J,,,,
04403c,9G-SBA,British Aerospace,BAe 146-300,B463,E3125,L4J,,,,
34414c,EC-LMR,British Aerospace,BAe 146-300QT,B463,E3151,L4J,PNR,,,
34415a,EC-LOF,British Aerospace,BAe 146-300QT,B463,E3150,L4J,PNR,,,
3445c6,EC-MCK,British Aerospace,BAe 146-300QT,B463,E3153,L4J,PNR,,,
3445c7,EC-MCL,British Aerospace,BAe 146-300QT,B463,E3154,L4J,PNR,,,
34468d,EC-MHR,British Aerospace,BAe 146-300QT,B463,E3166,L4J,PNR,,,
34468e,EC-MFT,British Aerospace,BAe 146-300QT,B463,E3182,L4J,PNR,,,
34468f,EC-MEO,British Aerospace,BAe 146-300QT,B463,E3186,L4J,PNR,,,
3450d2,EC-MID,British Aerospace,BAe 146-300QT,B463,E3168,L4J,PNR,,,
3c1297,D-AWBA,British Aerospace,BAe 146-300,B463,E3134,L4J,WDL,,,
3c1489,D-AWUE,British Aerospace,BAe 146-200,B462,E2050,L4J,WDL,,,
3c5553,D-AEJS,British Aerospace,BAe 146-300,B463,E3183,L4J,WDL,,,
3c74ec,D-AMGL,British Aerospace,BAe 146-200,B462,E2055,L4J,WDL,,,
40053f,G-FLTC,British Aerospace,BAe 146-300,B463,E3205,L4J,,2009-03-05,,1991-01-01
4007bd,G-OTIF,British Aerospace,BAe 146-200QT,B462,E2056,L4J,WTN,2016-03-07,,1986-01-01
40081a,G-LUXE,British Aerospace,BAe 146-300,B463,E3001,L4J,MET,2014-04-16,,1981-01-01
40082e,G-OFOA,British Aerospace,BAe 146-100,B461,E1006,L4J,FOR,1998-03-03,,1983-01-01
40083f,G-SMLA,British Aerospace,BAe 146-200,B462,E2047,L4J,ENZ,2014-08-06,,1985-01-01
4008ba,G-OFOM,British Aerospace,BAe 146-100,B461,E1144,L4J,FOR,2000-03-16,,1990-01-01
4008e3,G-ZAPK,British Aerospace,BAe 146-200QC,B462,E2148,L4J,,2013-11-11,,1989-01-01
405aad,G-RAJJ,British Aerospace,BAe 146-200,B462,E2108,L4J,CLJ,2009-12-08,,1988-01-01
4063b5,G-TYPH,British Aerospace,BAe 146-200,B462,E2200,L4J,WTN,2011-02-23,,1991-01-01
43c146,ZE700,British Aerospace,BAe 146 CC.2,B461,E1021,L4J,SHF,,,
43c147,ZE701,British Aerospace,BAe 146 CC.2,B461,E1029,L4J,SHF,,,
43c704,ZE707,British Aerospace,BAe 146 C.3,B462,E2188,L4J,SHF,,,
43c705,ZE708,British Aerospace,BAe 146 C.3,B462,E2211,L4J,SHF,,,
451f84,LZ-HBD,British Aerospace,BAe 146-300,B463,E3141,L4J,TBM,,,
451f88,LZ-HBZ,British Aerospace,BAe 146-200,B462,E2103,L4J,LZB,,,
46913a,SX-DIZ,British Aerospace,BAe 146-300,B463,E3206,L4J,,,,
4a06d2,YR-AVR,British Aerospace,BAe 146-300,B463,E3193,L4J,,,,
6010d2,EX-27002,British Aerospace,BAe 146-200,B462,E2172,L4J,TEZ,,,
6010f8,EX-27007,British Aerospace,BAe 146-200,B462,E2180,L4J,AVJ,,,
7335b6,EP-MMV,British Aerospace,BAe 146-200,B462,E2079,L4J,IRM,,,
7335e2,EP-MOB,British Aerospace,BAe 146-300,B463,E3212,L4J,IRM,,,
7335e3,EP-MOC,British Aerospace,BAe 146-300,B463,E3158,L4J,IRM,,,
7335e4,EP-MOD,British Aerospace,BAe 146-300,B463,E3162,L4J,IRM,,,
7335e5,EP-MOE,British Aerospace,BAe 146-300,B463,E3129,L4J,IRM,,,
