icao_24bit_address,registration,manufacturer,model,aircraft_type,serial_number,description,operator,registered_at,registered_until,manufactured_at
34340b,EC-DKX,CASA,1.131E Jungmann,BU31,2016,L1P,,,,
385efb,F-AZUL,CASA,1.131E Jungmann,BU31,2000,L1P,,,,
386432,F-AZBS,Bücker,Bü 133 Jungmeister,BU33,16,L1P,,,,
386439,F-AZBZ,CASA,1.131E Jungmann,BU31,549,L1P,,,,
386473,F-AZDT,Bucker,Bü 133E Jungmeister,BU33,3F,L1P,,,,
38648c,F-AZEM,Bücker,Bü 131D Jungmann,BU31,5,L1P,,,,
3864c6,F-AZGG,CASA,1.131E Jungmann,BU31,2156,L1P,,,,
3864c8,F-AZGI,CASA,1.131E Jungmann,BU31,2148,L1P,,,,
3864e2,F-AZHC,Bücker,Bü 133E Jungmeister,BU33,F5-2009,L1P,,,,
386565,F-AZLF,CASA,1.131E Jungmann,BU31,2036,L1P,,,,
3865e1,F-AZPB,CASA,1.131E Jungmann,BU31,1036,L1P,,,,
386673,F-AZTT,CASA,1.131E Jungmann,BU31,2241,L1P,,,,
386695,F-AZUV,CASA,1.131E Jungmann,BU31,2190,L1P,,,,
3866b2,F-AZVS,CASA,1.131E Jungmann,BU31,1035,L1P,,,,
3d06ba,D-EAUK,Bücker,Bü 131APM Jungmann,BU31,27,L1P,,,,
3d06c4,D-EAUU,Bücker,Bü 133C Jungmeister,BU33,10,L1P,,,,
3d06df,D-EAVV,Bücker,Bü 131B Jungmann,BU31,12,L1P,,,,
3d085c,D-EBKM,Heliopolis,Gomhouria Mk.6,BU81,187,L1P,,,,
3d08e1,D-EBPP,CASA,1.131E Jungmann,BU31,2091,L1P,,,,
3d0a00,D-ECAQ,Bücker,Bü 131 Jungmann,BU31,28,L1P,,,,
3d0a26,D-ECCC,CASA,1.131E Jungmann,BU31,2230,L1P,,,,
3d0a38,D-ECCU,Heliopolis,Gomhouria Mk.6,BU81,174,L1P,,,,
3d0cb6,D-EDBI,CASA,1.131E Jungmann,BU31,2085,L1P,,,,
3d0cc1,D-EDBT,CASA,1.131E Jungmann,BU31,2083,L1P,,,,
3d0ce5,D-EDDD,CASA,1.131E Jungmann,BU31,2223,L1P,,,,
3d0d01,D-EDEF,Bücker,Bü 131 Jungmann,BU31,63,L1P,,,,
3d0ed3,D-EDWD,CASA,1.131E Jungmann,BU31,2146,L1P,,,,
3d0ed9,D-EDWJ,CASA,1.131E Jungmann,BU31,2136,L1P,,,,
3d0eda,D-EDWK,CASA,1.131E Jungmann,BU31,2080,L1P,,,,
3d0ee9,D-EDWZ,CASA,1.131E Jungmann,BU31,2015,L1P,,,,
3d0faa,D-EEEK,CASA,1.131E Jungmann,BU31,2056,L1P,,,,
3d0faf,D-EEEP,Bucker,Bü 133C Jungmeister,BU33,24,L1P,,,,
3d0fe1,D-EEGN,CASA,1.131E Jungmann,BU31,2095,L1P,,,,
3d105a,D-EELE,CASA,1.131E Jungmann,BU31,2195,L1P,,,,
3d10c8,D-EEPK,CASA,1.131E Jungmann,BU31,2101,L1P,,,,
3d10e4,D-EEQM,CASA,1.131E Jungmann,BU31,2221,L1P,,,,
3d10e7,D-EEQP,CASA,1.131E Jungmann,BU31,2100,L1P,,,,
3d116f,D-EEVV,CASA,1.131E Jungmann,BU31,2218,L1P,,,,
3d1192,D-EEXE,Heliopolis,Gomhouria Mk.6,BU81,148,L1P,,,,
3d1211,D-EFCB,CASA,1.131E Jungmann,BU31,2225,L1P,,,,
3d12d7,D-EFJR,CASA,1.131E Jungmann,BU31,2072,L1P,,,,
3d131b,D-EFMH,CASA,1.131E Jungmann,BU31,2066,L1P,,,,
3d138b,D-EFQP,CASA,1.131E Jungmann,BU31,2046,L1P,,,,
3d149a,D-EGBA,Heliopolis,Gomhouria Mk.6,BU81,184,L1P,,,,
3d14a6,D-EGBM,CASA,1.131E Jungmann,BU31,2062,L1P,,,,
3d160a,D-EGPE,CASA,1.131E Jungmann,BU31,2092,L1P,,,,
3d1646,D-EGRM,CASA,1.131E Jungmann,BU31,2143,L1P,,,,
3d166c,D-EGSY,CASA,1.131E Jungmann,BU31,2149,L1P,,,,
3d171b,D-EGZR,Heliopolis,Gomhouria Mk.6,BU81,185,L1P,,,,
3d1785,D-EHDT,CASA,1.131E Jungmann,BU31,2181,L1P,,,,
3d19f6,D-EIBU,Bücker,Bü 133 Jungmeister,BU33,46,L1P,,,,
3d1aa0,D-EIII,Bücker,Bü 133C Jungmeister,BU33,1069,L1P,,,,
3d1aaa,D-EIIS,Bücker,Bü 133C Jungmeister,BU33,1013,L1P,,,,
3d1abd,D-EIJL,CASA,1.131E Jungmann,BU31,2088,L1P,,,,
3d1b1e,D-EINE,CASA,1.131E Jungmann,BU31,2202,L1P,,,,
3d1b42,D-EIOO,CASA,1.131E Jungmann,BU31,2215,L1P,,,,
3d1c1a,D-EIWW,CASA,1.131E Jungmann,BU31,2028,L1P,,,,
3d1cb3,D-EJCT,Bücker,Bü 131B Jungmann,BU31,61,L1P,,,,
3d1d5e,D-EJJI,Bücker,Bü 133C Jungmeister,BU33,1006,L1P,,,,
3d1dac,D-EJMI,CASA,1.131E Jungmann,BU31,2194,L1P,,,,
3d1dd8,D-EJOA,Bücker,Bü 133C Jungmeister,BU33,48,L1P,,,,
3d1e6b,D-EJTR,Bücker,Bü 131 Jungmann,BU31,49,L1P,,,,
3d1e81,D-EJUN,Bücker,Bü 131B Jungmann,BU31,86,L1P,,,,
3d20ce,D-EKRE,Bücker,Bü 133C Jungmeister,BU33,5,L1P,,,,
3d221d,D-ELEB,CASA,1.131E Jungmann,BU31,2145,L1P,,,,
3d246c,D-EMAU,Bücker,Bü 131B Jungmann,BU31,82,L1P,,,,
3d2511,D-EMHD,Bücker,Bü 131 Jungmann,BU31,23,L1P,,,,
3d256b,D-EMKP,Bücker,Bü 133 Jungmeister,BU33,28,L1P,,,,
3d25ad,D-EMND,CASA,1.131E Jungmann,BU31,2017,L1P,,,,
3d280c,D-ENKM,Heliopolis,Gomhouria Mk.6,BU81,177,L1P,,,,
3d2919,D-ENUV,Zlín,Z-381,BU81,174,L1P,,,,
3d29e6,D-EOCS,Aero,C-104S,BU31,213,L1P,,,,
3d2ae4,D-EOMM,CASA,1.131E Jungmann,BU31,2001,L1P,,,,
3d2c5b,D-EPAX,Bücker,Bü 133C Jungmeister,BU33,51,L1P,,,,
3d3054,D-EQOA,Bücker,Bü 133C Jungmeister,BU33,53,L1P,,,,
3d313e,D-EQXA,CASA,1.131E Jungmann,BU31,1052,L1P,,,,
3d3239,D-ERGR,CASA,1.131E Jungmann,BU31,2010,L1P,,,,
3d36c7,D-ESZN,Bücker,Bü 133D Jungmeister,BU33,2002,L1P,,,,
3d3798,D-ETHO,Bücker,Bü 131B Jungmann,BU31,60,L1P,,,,
3d3858,D-ETOY,CASA,1.131E Jungmann,BU31,2151,L1P,,,,
