icao_24bit_address,registration,manufacturer,model,aircraft_type,serial_number,description,operator,registered_at,registered_until,manufactured_at
0006ab,I-AMCH,Cessna,152,C152,15285885,L1P,,,,
008037,ZS-ABM,Cessna,208B Grand Caravan,C208,208B-1168,L1T,,,,
008038,ZS-ABN,Cessna,208B Grand Caravan,C208,208B-1289,L1T,,,,
008039,ZS-ABO,Cessna,208B Grand Caravan,C208,208B-2250,L1T,,,,
008049,ZS-ACE,Cessna,501 Citation I/SP,C501,501-0245,L2J,,,,
008095,ZS-AFC,Cessna,208B Grand Caravan,C208,208B-1041,L1T,,,,
008096,ZS-AFD,Cessna,510 Citation Mustang,C510,510-0134,L2J,,,,
00811b,ZS-AKG,Cessna,680 Citation Sovereign,C680,680-0254,L2J,,,,
0081d1,ZS-ARG,Cessna,551 Citation II/SP,C551,551-0163,L2J,,,,
0081f1,ZS-ASM,Cessna,441 Conquest II,C441,441-0698,L2T,,,,
00820e,ZS-ATP,Cessna,208B Grand Caravan,C208,208B-0351,L1T,,,,
0084e5,ZS-BVO,Cessna,550B Citation Bravo,C55B,550-0942,L2J,,,,
00856a,ZS-CAR,Cessna,550 Citation S/II,C550,S550-0078,L2J,,,,
0085a3,ZS-CCW,Cessna,560XL Citation Excel,C56X,560-5112,L2J,,,,
0085fc,ZS-CGH,Cessna,208B Grand Caravan,C208,208B-2297,L1T,COO,,,
008798,ZS-CWD,Cessna,501 Citation I/SP,C501,501-0049,L2J,,,,
00879b,ZS-CWG,Cessna,550 Citation S/II,C550,S550-0138,L2J,,,,
008877,ZS-DES,Cessna,550 Citation S/II,C550,S550-0087,L2J,,,,
008887,ZS-DFI,Cessna,510 Citation Mustang,C510,510-0093,L2J,SFE,,,
0088a0,ZS-DGH,Cessna,208B Grand Caravan,C208,208B-2154,L1T,,,,
0088e5,ZS-DIY,Cessna,525A CitationJet CJ2+,C25A,525A-0458,L2J,,,,
008992,ZS-DPP,Cessna,525B CitationJet CJ3,C25B,525B-0211,L2J,,,,
008a2a,ZS-DVL,Cessna,208B Grand Caravan,C208,208B-2243,L1T,COO,,,
008ab2,ZS-EAR,Cessna,208B Grand Caravan,C208,208B-0796,L1T,,,,
008aef,ZS-EDA,Cessna,550 Citation S/II,C550,S550-0126,L2J,,,,
008c40,ZS-EPZ,Cessna,208B Grand Caravan,C208,208B-1233,L1T,,,,
008d8f,ZS-FCW,Cessna,525 Citation M2,C25M,525-0834,L2J,,,,
008e6c,ZS-FLJ,Cessna,560 Citation V,C560,560-0536,L2J,,,,
008f97,ZS-FWW,Cessna,208B Grand Caravan,C208,208B-1094,L1T,COO,,,
0097df,ZS-JAK,Cessna,208B Grand Caravan,C208,208B-0692,L1T,COO,,,
0097ec,ZS-JAX,Cessna,208B Grand Caravan,C208,208B-0893,L1T,,,,
009849,ZS-JEM,Cessna,208B Grand Caravan,C208,208B-0912,L1T,,,,
0098af,ZS-JIK,Cessna,510 Citation Mustang,C510,510-0092,L2J,,,,
00991f,ZS-JMS,Cessna,208B Grand Caravan,C208,208B-0856,L1T,COO,,,
0099e9,ZS-JUM,Cessna,208B Grand Caravan,C208,208B-2433,L1T,,,,
009b21,ZS-KGM,Cessna,208B Grand Caravan,C208,208B-1116,L1T,,,,
009c0b,ZS-KPM,Cessna,510 Citation Mustang,C510,510-0091,L2J,,,,
009c61,ZS-KSU,Cessna,425 Conquest I,C425,425-0115,L2T,,,,
009d3a,ZS-LBD,Cessna,208B Grand Caravan,C208,208B-1082,L1T,,,,
009d80,ZS-LDV,Cessna,500 Citation I,C500,500-0418,L2J,,,,
009d86,ZS-LEB,Cessna,208B Grand Caravan,C208,208B-0605,L1T,,,,
