icao_24bit_address,registration,manufacturer,model,aircraft_type,serial_number,description,operator,registered_at,registered_until,manufactured_at
30057d,I-MELI,Czech Sport Aircraft,PS-28 Cruiser,CRUZ,C0488,L1P,,,,
3862fb,F-PATT,Czech Sport Aircraft,SportCruiser,CRUZ,700715,L1P,,,,
386fdb,F-PELA,Czech Sport Aircraft,SportCruiser,CRUZ,700921,L1P,,,,
3989f9,F-HCPZ,Czech Sport Aircraft,PS-28 Cruiser,CRUZ,C0489,L1P,,,,
399240,F-HESA,Czech Sport Aircraft,PS-28 Cruiser,CRUZ,P1102024,L1P,,,,
3994c0,F-HFGA,Czech Sport Aircraft,PS-28 Cruiser,CRUZ,C0547,L1P,,,,
3994c1,F-HFGB,Czech Sport Aircraft,PS-28 Cruiser,CRUZ,C0548,L1P,,,,
39adc2,F-HLOC,Czech Sport Aircraft,PS-28 Cruiser,CRUZ,C0485,L1P,,,,
39ade8,F-HLPI,Czech Sport Aircraft,PS-28 Cruiser,CRUZ,C0552,L1P,,,,
39b571,F-HNLR,Czech Sport Aircraft,PS-28 Cruiser,CRUZ,C0435,L1P,,,,
39c800,F-HSAA,Czech Sport Aircraft,PS-28 Cruiser,CRUZ,C0502,L1P,,,,
39c801,F-HSAB,Czech Sport Aircraft,PS-28 Cruiser,CRUZ,C0504,L1P,,,,
39c802,F-HSAC,Czech Sport Aircraft,PS-28 Cruiser,CRUZ,C0531,L1P,,,,
39c804,F-HSAE,Czech Sport Aircraft,PS-28 Cruiser,CRUZ,C0520,L1P,,,,
39c80f,F-HSAP,Czech Sport Aircraft,PS-28 Cruiser,CRUZ,C0417,L1P,,,,
39d00f,F-HUAP,Czech Sport Aircraft,PS-28 Cruiser,CRUZ,C0518,L1P,,,,
39d113,F-HUIT,Czech Sport Aircraft,PS-28 Cruiser,CRUZ,C0409,L1P,,,,
39d5f2,F-HVPS,Czech Sport Aircraft,PS-28 Cruiser,CRUZ,C0478,L1P,,,,
39dc0c,F-HXAM,Czech Sport Aircraft,PS-28 Cruiser,CRUZ,C0443,L1P,,,,
39e443,F-HZCD,Czech Sport Aircraft,PS-28 Cruiser,CRUZ,C0589,L1P,,,,
39e444,F-HZCE,Czech Sport Aircraft,PS-28 Cruiser,CRUZ,C0590,L1P,,,,
3d12be,D-EFIS,Czech Sport Aircraft,PS-28 Cruiser,CRUZ,C0412,L1P,,,,
3d12f2,D-EFKS,Czech Sport Aircraft,PS-28 Cruiser,CRUZ,C0498,L1P,,,,
3d13a4,D-EFRO,Czech Sport Aircraft,PS-28 Cruiser,CRUZ,C0452,L1P,,,,
3d1f99,D-EKFH,Czech Sport Aircraft,SportCruiser,CRUZ,P1102009,L1P,,,,
3d25aa,D-EMNA,Czech Sport Aircraft,PS-28 Cruiser,CRUZ,C0459,L1P,,,,
3d2e2d,D-EPSV,Czech Sport Aircraft,SportCruiser,CRUZ,P1001017,L1P,,,,
3d3507,D-ESIH,Czech Sport Aircraft,PS-28 Cruiser,CRUZ,C0447,L1P,,,,
3d3873,D-ETPZ,Czech Sport Aircraft,PS-28 Cruiser,CRUZ,C0322,L1P,,,,
3d46ac,D-EZAA,Czech Sport Aircraft,PS-28 Cruiser,CRUZ,C0455,L1P,,,,
405022,G-CZAW,Czech Sport Aircraft,SportCruiser,CRUZ,PFA 338-14542,L1P,,2016-01-11,,2006-01-01
405257,G-SASI,Czech Sport Aircraft,SportCruiser,CRUZ,PFA 338-14651,L1P,,2014-01-28,,2009-01-01
405281,G-CESZ,Czech Sport Aircraft,SportCruiser,CRUZ,PFA 338-14652,L1P,,2017-06-13,,2007-01-01
4052b9,G-SCRZ,Czech Sport Aircraft,SportCruiser,CRUZ,PFA 338-14684,L1P,,2016-05-25,,2008-01-01
4052cf,G-VIIZ,Czech Sport Aircraft,SportCruiser,CRUZ,PFA 338-14672,L1P,,2007-09-04,,2007-01-01
405301,G-MUTT,Czech Sport Aircraft,SportCruiser,CRUZ,PFA 338-14667,L1P,,2017-02-09,,2007-01-01
40530b,G-FELX,Czech Sport Aircraft,SportCruiser,CRUZ,PFA 338-14661,L1P,,2007-09-17,,2007-01-01
4055ec,G-CRWZ,Czech Sport Aircraft,SportCruiser,CRUZ,PFA 338-14648,L1P,,2008-04-23,,2009-01-01
4057b3,G-ZECH,Czech Sport Aircraft,SportCruiser,CRUZ,PFA 338-14685,L1P,,2016-06-24,,2009-01-01
4057df,G-OCRZ,Czech Sport Aircraft,SportCruiser,CRUZ,PFA 338-14668,L1P,,2008-03-03,,2008-01-01
405804,G-XERO,Czech Sport Aircraft,SportCruiser,CRUZ,PFA 338-14658,L1P,,2008-05-15,,2009-01-01
40582f,G-KRUZ,Czech Sport Aircraft,SportCruiser,CRUZ,LAA 338-14765,L1P,,2008-05-22,,2010-01-01
4058c0,G-ENST,Czech Sport Aircraft,SportCruiser,CRUZ,LAA 338-14769,L1P,,2012-04-04,,2009-01-01
4058c7,G-ZAAP,Czech Sport Aircraft,SportCruiser,CRUZ,PFA 338-14663,L1P,,2011-02-28,,2008-01-01
405948,G-EDDS,Czech Sport Aircraft,SportCruiser,CRUZ,PFA 338-14660,L1P,,2013-06-17,,2010-01-01
