"icao_24bit_address","registration","manufacturer","model","aircraft_type","serial_number","description","airline","registered_at","registered_until","manufactured_at"
"0081f2","ZS-ASN","Basler","BT-67","DC3T","33581","L2T",NULL,NULL,NULL,NULL
"00821a","ZS-AUB","Douglas","DC-4","DC4","42984","L4P",NULL,NULL,NULL,NULL
"0083f4","ZS-BMH","Douglas","DC-4","DC4","43157","L4P",NULL,NULL,NULL,NULL
"008510","ZS-BXF","Douglas","DC-3C","DC3","12107","L2P",NULL,NULL,NULL,NULL
"008561","ZS-CAI","Douglas","DC-3C","DC3","13541","L2P",NULL,NULL,NULL,NULL
"0088e3","ZS-DIW","Douglas","DC-3C","DC3","11991","L2P","PHB",NULL,NULL,NULL
"0089c0","ZS-DRJ","Douglas","C-47A Skytrain","DC3","12026","L2P",NULL,NULL,NULL,NULL
"00a05b","ZS-MFY","Douglas","C-47TP Turbo-Dakota","DC3T","12073","L2T",NULL,NULL,NULL,NULL
"00a457","ZS-NTE","Douglas","DC-3C","DC3","11926","L2P",NULL,NULL,NULL,NULL
"14166a","RA-05738","Douglas","DC-3","DC3","6055","L2P",NULL,NULL,NULL,NULL
"382dd9","F-BLOZ","Douglas","C-47B Skytrain","DC3","13142","L2P",NULL,NULL,NULL,NULL
"384d9b","F-AZTE","Douglas","C-47A Skytrain","DC3","9172","L2P",NULL,NULL,NULL,NULL
"38646f","F-AZDP","Douglas","AD-4N Skyraider","A1","7449","L1P",NULL,NULL,NULL,NULL
"3864ad","F-AZFN","Douglas","AD-4N Skyraider","A1","7609","L1P",NULL,NULL,NULL,NULL
"3864ea","F-AZHK","Douglas","AD-4N Skyraider","A1","7802","L1P",NULL,NULL,NULL,NULL
"39206a","F-AZOX","Douglas","C-47B Skytrain","DC3","33352","L2P",NULL,NULL,NULL,NULL
"3c8461","D-BACA","Douglas","A-26C Invader","B26","29217","L2P",NULL,NULL,NULL,NULL
"400b3c","G-APSA","Douglas","C-118A Liftmaster","DC6","45497","L4P",NULL,"2012-12-03",NULL,"1958-01-01"
"400b3e","G-AMRA","Douglas","C-47B Skytrain","DC3","15290","L2P",NULL,"2015-10-23",NULL,"1944-01-01"
"400b3f","G-ANAF","Douglas","DC-3C","DC3","33436","L2P",NULL,"2015-11-13",NULL,"1944-01-01"
"400b40","G-AMPY","Douglas","C-47B Skytrain","DC3","15124","L2P",NULL,"2015-10-19",NULL,"1943-01-01"
