"icao_24bit_address","registration","manufacturer","model","aircraft_type","serial_number","description","airline","registered_at","registered_until","manufactured_at"
"00600c","C9-EMA","Embraer","E190AR","E190","19000301","L2J","LAM",NULL,NULL,NULL
"00600d","C9-EMB","Embraer","E190AR","E190","19000309","L2J","LAM",NULL,NULL,NULL
"006012","C9-MEX","Embraer","ERJ-145 MP","E145","145266","L2J",NULL,NULL,NULL,NULL
"006014","C9-MEH","Embraer","ERJ-145 MP","E145","145294","L2J",NULL,NULL,NULL,NULL
"006019","C9-MEK","Embraer","ERJ-145 MR","E145","145197","L2J","LAM",NULL,NULL,NULL
"008016","ZS-AAF","Embraer","EMB-120 RT","E120","120262","L2T","GIE",NULL,NULL,NULL
"00811f","ZS-AKK","Embraer","ERJ-135 LR","E135","145301","L2J",NULL,NULL,NULL,NULL
"0082d1","ZS-BBC","Embraer","ERJ-145 LU","E145","145395","L2J",NULL,NULL,NULL,NULL
"0082d2","ZS-BBD","Embraer","ERJ-145 LU","E145","145242","L2J",NULL,NULL,NULL,NULL
"0082d7","ZS-BBI","Embraer","ERJ-145 LR","E145","145223","L2J",NULL,NULL,NULL,NULL
"0082d8","ZS-BBJ","Embraer","ERJ-145 LR","E145","145277","L2J",NULL,NULL,NULL,NULL
"0082d9","ZS-BBK","Embraer","ERJ-135 LR","E135","145396","L2J",NULL,NULL,NULL,NULL
"0082db","ZS-BBM","Embraer","ERJ-145 LR","E145","145597","L2J",NULL,NULL,NULL,NULL
"00834b","ZS-YAD","Embraer","E190AR","E190","19000746","L2J","FDA",NULL,NULL,NULL
"0083cc","ZS-ALF","Embraer","ERJ-140","E135","145544","L2J","LNK",NULL,NULL,NULL
"00887f","ZS-DFA","Embraer","ERJ-145 MP","E145","145165","L2J","LNK","2014-09-15",NULL,"1999-01-01"
"008881","ZS-DFC","Embraer","ERJ-145 MP","E145","145339","L2J",NULL,NULL,NULL,NULL
"008c8f","ZS-ETA","Embraer","EMB-120 ER","E120","120277","L2T","TEA",NULL,NULL,NULL
"009bbb","ZS-KMK","Embraer","ERJ-135 LR","E135","145283","L2J",NULL,NULL,NULL,NULL
"00a36d","ZS-NKE","Embraer","EMB-120 ER","E120","120296","L2T",NULL,NULL,NULL,NULL
"00a620","ZS-OKT","Embraer","EMB-120 RT","E120","120254","L2T",NULL,NULL,NULL,NULL
"00a6fa","ZS-OTD","Embraer","EMB-120 RT","E120","120230","L2T",NULL,NULL,NULL,NULL
"00a703","ZS-OTM","Embraer","ERJ-135LR","E135","145485","L2J","LNK","2001-08-28",NULL,"2001-01-01"
"00a704","ZS-OTN","Embraer","ERJ-135 LR","E135","145491","L2J",NULL,NULL,NULL,NULL
"00a726","ZS-OUV","Embraer","ERJ-135 LR","E135","145493","L2J",NULL,NULL,NULL,NULL
"00a7da","ZS-PBT","Embraer","EMB-120 ER","E120","120260","L2T",NULL,NULL,NULL,NULL
"00a91d","ZS-POE","Embraer","EMB-120 RT","E120","120137","L2T","LFI",NULL,NULL,NULL
"00a9bc","ZS-PUH","Embraer","EMB-120 ER","E120","120151","L2T","LFI",NULL,NULL,NULL
"00afae","ZS-SAV","Embraer","EMB-120 RT","E120","120286","L2T",NULL,NULL,NULL,NULL
"00b09a","ZS-SJX","Embraer","ERJ-135 LR","E135","145428","L2J",NULL,NULL,NULL,NULL
"00b100","ZS-SNV","Embraer","ERJ-135 LR","E135","145551","L2J",NULL,NULL,NULL,NULL
"00b101","ZS-SNW","Embraer","ERJ-135 LR","E135","145720","L2J",NULL,NULL,NULL,NULL
"00b102","ZS-SNX","Embraer","ERJ-135 LR","E135","145620","L2J",NULL,NULL,NULL,NULL
"00b104","ZS-SNZ","Embraer","ERJ-135 LR","E135","145725","L2J",NULL,NULL,NULL,NULL
"00b106","ZS-SOB","Embraer","EMB-120 RT","E120","120186","L2T","EXY",NULL,NULL,NULL
"00b15b","ZS-SRI","Embraer","EMB-120 ER","E120","120154","L2T",NULL,NULL,NULL,NULL
"00b198","ZS-STR","Embraer","EMB-120 ER","E120","120215","L2T","LFI",NULL,NULL,NULL
"00b1b6","ZS-SUV","Embraer","ERJ-135 LR","E135","145663","L2J",NULL,NULL,NULL,NULL
"00b1e2","ZS-SWN","Embraer","ERJ-135 LR","E135","145453","L2J",NULL,NULL,NULL,NULL
"00b1ea","ZS-SWV","Embraer","ERJ-135 LR","E135","145737","L2J",NULL,NULL,NULL,NULL
"00b20a","ZS-SYB","Embraer","ERJ-145 MP","E145","145308","L2J",NULL,NULL,NULL,NULL
"00b21c","ZS-SYT","Embraer","ERJ-135 LR","E135","145358","L2J",NULL,NULL,NULL,NULL
