icao_24bit_address,registration,manufacturer,model,aircraft_type,serial_number,description,operator,registered_at,registered_until,manufactured_at
0004fc,ZK379,Eurofighter,Typhoon T3,EUFI,BT024,L2J,SHF,,,
000e28,ZK365,Eurofighter,Typhoon FGR4,EUFI,BS126,L2J,SHF,,,
001245,ZK315,Eurofighter,Typhoon FGR4,EUFI,BS074,L2J,SHF,,,
0013ab,ZK339,Eurofighter,Typhoon FGR4,EUFI,BS100,L2J,SHF,,,
0015ec,ZK335,Eurofighter,Typhoon FGR4,EUFI,BS096,L2J,SHF,,,
3e84cd,30+69,Eurofighter,EF2000,EUFI,3069,L2J,,,,
3e8a99,30+29,Eurofighter,EF2000,EUFI,3029,L2J,,,,
3e8c08,30+79,Eurofighter,EF2000,EUFI,3079,L2J,,,,
3e8c14,31+00,Eurofighter,EF2000,EUFI,3100,L2J,,,,
3e9070,30+49,Eurofighter,EF2000,EUFI,3049,L2J,,,,
3e936c,30+35,Eurofighter,EF2000 T,EUFI,GT013,L2J,GAF,,,
3e9776,30+93,Eurofighter,EF2000,EUFI,3093,L2J,,,,
3e9ac8,30+59,Eurofighter,EF2000,EUFI,3059,L2J,,,,
3e9ae5,31+13,Eurofighter,EF2000,EUFI,3113,L2J,,,,
3e9b1f,31+30,Eurofighter,EF2000,EUFI,3130,L2J,,,,
3e9c31,30+22,Eurofighter,EF2000,EUFI,3022,L2J,,,,
3ea836,30+75,Eurofighter,EF2000,EUFI,GS056,L2J,GAF,,,
3ea914,30+95,Eurofighter,EF2000,EUFI,3095,L2J,,,,
3eae42,30+59,Eurofighter,EF2000,EUFI,3059,L2J,,,,
3eb46b,30+64,Eurofighter,EF2000,EUFI,3064,L2J,,,,
3eb4fa,30+30,Eurofighter,EF2000,EUFI,GS019,L2J,GAF,,,
3eb54f,30+70,Eurofighter,EF2000,EUFI,3070,L2J,,,,
3eb83e,30+51,Eurofighter,EF2000,EUFI,3051,L2J,,,,
3eb86e,30+92,Eurofighter,EF2000,EUFI,3092,L2J,,,,
3f4041,30+45,Eurofighter,EF2000,EUFI,3045,L2J,,,,
3f41b9,30+83,Eurofighter,EF2000,EUFI,3083,L2J,,,,
3f47dc,30+81,Eurofighter,EF2000,EUFI,3081,L2J,,,,
3f4c84,30+51,Eurofighter,EF2000,EUFI,3051,L2J,,,,
3f5a3a,30+05,Eurofighter,EF2000 T,EUFI,GT005,L2J,,,,
3f5c84,31+04,Eurofighter,EF2000,EUFI,GS080,L2J,GAF,,,
3f6679,30+29,Eurofighter,EF2000,EUFI,GS018,L2J,,,,
3f6cce,30+26,Eurofighter,EF2000,EUFI,3026,L2J,,,,
3f701e,31+13,Eurofighter,EF2000,EUFI,3113,L2J,,,,
3f72d0,31+18,Eurofighter,EF2000,EUFI,3118,L2J,,,,
3f74a2,30+70,Eurofighter,EF2000,EUFI,3070,L2J,,,,
3f7a7d,30+51,Eurofighter,EF2000,EUFI,3051,L2J,,,,
3f7ab3,30+68,Eurofighter,EF2000,EUFI,GS050,L2J,GAF,,,
3f7b86,30+63,Eurofighter,EF2000,EUFI,3063,L2J,,,,
3f89ed,30+92,Eurofighter,EF2000,EUFI,3092,L2J,,,,
3f8d6c,31+05,Eurofighter,EF2000,EUFI,GS081,L2J,GAF,,,
3f8f01,30+01,Eurofighter,EF2000 T,EUFI,GT001,L2J,,,,
3f8f02,30+02,Eurofighter,EF2000 T,EUFI,GT002,L2J,,,,
3f8f03,30+03,Eurofighter,EF2000 T,EUFI,GT003,L2J,GAF,,,
3f8f04,30+04,Eurofighter,EF2000 T,EUFI,GT004,L2J,,,,
3f8f06,30+06,Eurofighter,EF2000,EUFI,GS001,L2J,GAF,,,
3f8f07,30+07,Eurofighter,EF2000,EUFI,GS002,L2J,,,,
3f8f0a,30+10,Eurofighter,EF2000 T,EUFI,GT006,L2J,GAF,,,
3f8f0b,30+11,Eurofighter,EF2000,EUFI,GS005,L2J,GAF,,,
3f8f0c,30+12,Eurofighter,EF2000,EUFI,GS006,L2J,GAF,,,
3f8f0e,30+14,Eurofighter,EF2000 T,EUFI,GT007,L2J,GAF,,,
3f8f0f,30+15,Eurofighter,EF2000,EUFI,GS008,L2J,GAF,,,
3f8f11,30+17,Eurofighter,EF2000 T,EUFI,GT008,L2J,,,,
3f8f14,30+20,Eurofighter,EF2000 T,EUFI,GT009,L2J,GAF,,,
3f8f17,30+23,Eurofighter,EF2000,EUFI,GS014,L2J,GAF,,,
3f8f19,30+25,Eurofighter,EF2000,EUFI,GS015,L2J,GAF,,,
3f8f1b,30+27,Eurofighter,EF2000 T,EUFI,GT011,L2J,GAF,,,
3f8f1c,30+28,Eurofighter,EF2000,EUFI,GS017,L2J,GAF,,,
3f8f21,30+33,Eurofighter,EF2000,EUFI,GS021,L2J,GAF,,,
3f8f28,30+40,Eurofighter,EF2000,EUFI,GS026,L2J,GAF,,,
3f8f63,30+99,Eurofighter,EF2000,EUFI,3099,L2J,,,,
3fa1f7,30+80,Eurofighter,EF2000,EUFI,3080,L2J,,,,
3fa241,30+74,Eurofighter,EF2000,EUFI,3074,L2J,,,,
3fac62,30+56,Eurofighter,EF2000,EUFI,3056,L2J,,,,
3fb103,98+03,Eurofighter,EF2000 T,EUFI,PT003,L2J,GAF,,,
3fb107,98+07,Eurofighter,EF2000,EUFI,GS029,L2J,GAF,,,
43c33a,ZJ699,Eurofighter,Typhoon T1,EUFI,PT001,L2J,,,,
43c480,ZJ800,Eurofighter,Typhoon T3,EUFI,BT001,L2J,SHF,,,
43c481,ZJ801,Eurofighter,Typhoon T3,EUFI,BT002,L2J,SHF,,,
43c482,ZJ802,Eurofighter,Typhoon T3,EUFI,BT003,L2J,SHF,,,
43c483,ZJ803,Eurofighter,Typhoon T3,EUFI,BT004,L2J,SHF,,,
43c484,ZJ804,Eurofighter,Typhoon T3,EUFI,BT005,L2J,SHF,,,
43c485,ZJ805,Eurofighter,Typhoon T3,EUFI,BT006,L2J,SHF,,,
43c486,ZJ806,Eurofighter,Typhoon T3,EUFI,BT007,L2J,SHF,,,
43c487,ZJ807,Eurofighter,Typhoon T3,EUFI,BT008,L2J,SHF,,,
43c489,ZJ809,Eurofighter,Typhoon T3,EUFI,BT010,L2J,SHF,,,
43c48a,ZJ810,Eurofighter,Typhoon T3,EUFI,BT011,L2J,SHF,,,
43c48b,ZJ811,Eurofighter,Typhoon T3,EUFI,BT012,L2J,SHF,,,
43c48c,ZJ812,Eurofighter,Typhoon T3,EUFI,BT013,L2J,SHF,,,
43c492,ZJ912,Eurofighter,Typhoon FGR4,EUFI,BS003,L2J,SHF,,,
43c493,ZJ913,Eurofighter,Typhoon FGR4,EUFI,BS004,L2J,SHF,,,
43c494,ZJ914,Eurofighter,Typhoon FGR4,EUFI,BS005,L2J,SHF,,,
43c495,ZJ915,Eurofighter,Typhoon FGR4,EUFI,BS006,L2J,SHF,,,
43c496,ZJ916,Eurofighter,Typhoon FGR4,EUFI,BS007,L2J,SHF,,,
43c497,ZJ917,Eurofighter,Typhoon FGR4,EUFI,BS008,L2J,SHF,,,
43c498,ZJ918,Eurofighter,Typhoon FGR4,EUFI,BS009,L2J,SHF,,,
43c499,ZJ919,Eurofighter,Typhoon FGR4,EUFI,BS010,L2J,SHF,,,
43c49a,ZJ920,Eurofighter,Typhoon FGR4,EUFI,BS011,L2J,SHF,,,
43c49b,ZJ921,Eurofighter,Typhoon FGR4,EUFI,BS012,L2J,SHF,,,
43c49d,ZJ923,Eurofighter,Typhoon FGR4,EUFI,BS014,L2J,SHF,,,
43c49e,ZJ924,Eurofighter,Typhoon FGR4,EUFI,BS015,L2J,SHF,,,
43c4a0,ZJ926,Eurofighter,Typhoon FGR4,EUFI,BS017,L2J,SHF,,,
43c4a1,ZJ927,Eurofighter,Typhoon FGR4,EUFI,BS018,L2J,SHF,,,
43c4a2,ZJ928,Eurofighter,Typhoon FGR4,EUFI,BS019,L2J,SHF,,,
43c4a3,ZJ929,Eurofighter,Typhoon FGR4,EUFI,BS020,L2J,SHF,,,
43c4a4,ZJ930,Eurofighter,Typhoon FGR4,EUFI,BS021,L2J,SHF,,,
43c4a5,ZJ931,Eurofighter,Typhoon FGR4,EUFI,BS022,L2J,SHF,,,
43c4a6,ZJ932,Eurofighter,Typhoon FGR4,EUFI,BS023,L2J,SHF,,,
43c4a7,ZJ933,Eurofighter,Typhoon FGR4,EUFI,BS024,L2J,SHF,,,
43c4a8,ZJ934,Eurofighter,Typhoon FGR4,EUFI,BS025,L2J,SHF,,,
43c4a9,ZJ935,Eurofighter,Typhoon FGR4,EUFI,BS026,L2J,SHF,,,
43c4aa,ZJ936,Eurofighter,Typhoon FGR4,EUFI,BS027,L2J,SHF,,,
43c4ab,ZJ937,Eurofighter,Typhoon FGR4,EUFI,BS028,L2J,SHF,,,
43c4ac,ZJ938,Eurofighter,Typhoon FGR4,EUFI,BS031,L2J,SHF,,,
43c4ad,ZJ939,Eurofighter,Typhoon FGR4,EUFI,BS032,L2J,SHF,,,
43c4af,ZJ941,Eurofighter,Typhoon FGR4,EUFI,BS034,L2J,SHF,,,
43c4b0,ZJ942,Eurofighter,Typhoon FGR4,EUFI,BS035,L2J,SHF,,,
43c609,ZK300,Eurofighter,Typhoon FGR4,EUFI,BS052,L2J,SHF,,,
43c60a,ZK301,Eurofighter,Typhoon FGR4,EUFI,BS053,L2J,SHF,,,
43c60b,ZK302,Eurofighter,Typhoon FGR4,EUFI,BS054,L2J,SHF,,,
43c60c,ZK304,Eurofighter,Typhoon FGR4,EUFI,BS055,L2J,SHF,,,
43c60d,ZK305,Eurofighter,Typhoon FGR4,EUFI,BS056,L2J,SHF,,,
43c60e,ZK306,Eurofighter,Typhoon FGR4,EUFI,BS057,L2J,SHF,,,
43c60f,ZK307,Eurofighter,Typhoon FGR4,EUFI,BS058,L2J,SHF,,,
43c610,ZK308,Eurofighter,Typhoon FGR4,EUFI,BS059,L2J,SHF,,,
43c611,ZK303,Eurofighter,Typhoon FGR4,EUFI,BT017,L2J,SHF,,,
43c6a3,ZK312,Eurofighter,Typhoon FGR4,EUFI,BS067,L2J,SHF,,,
43c6a6,ZK313,Eurofighter,Typhoon FGR4,EUFI,BS070,L2J,SHF,,,
43c6a7,ZK314,Eurofighter,Typhoon FGR4,EUFI,BS071,L2J,SHF,,,
43c6cc,ZK316,Eurofighter,Typhoon FGR4,EUFI,BS075,L2J,SHF,,,
