icao_24bit_address,registration,manufacturer,model,aircraft_type,serial_number,description,operator,registered_at,registered_until,manufactured_at
ae18ae,78-0631,Fairchild,A-10C Thunderbolt II,A10,A10-0251,L2J,AIO,,,
ae18b3,78-0638,Fairchild,A-10C Thunderbolt II,A10,A10-0258,L2J,AIO,,,
ae18b6,78-0632,Fairchild,A-10C Thunderbolt II,A10,A10-0252,L2J,AIO,,,
ae18b7,78-0633,Fairchild,A-10C Thunderbolt II,A10,A10-0253,L2J,AIO,,,
ae18ba,78-0646,Fairchild,A-10C Thunderbolt II,A10,A10-0266,L2J,AIO,,,
ae18bb,78-0647,Fairchild,A-10C Thunderbolt II,A10,A10-0267,L2J,AIO,,,
ae18bc,78-0649,Fairchild,A-10C Thunderbolt II,A10,A10-0269,L2J,AIO,,,
ae18bd,78-0650,Fairchild,A-10C Thunderbolt II,A10,A10-0270,L2J,AIO,,,
ae18bf,78-0652,Fairchild,OA-10A Thunderbolt II,A10,A10-0272,L2J,AIO,,,
ae18c1,78-0655,Fairchild,A-10A Thunderbolt II,A10,A10-0275,L2J,AIO,,,
ae18c9,78-0657,Fairchild,A-10C Thunderbolt II,A10,A10-0277,L2J,AIO,,,
ae18ca,78-0658,Fairchild,A-10C Thunderbolt II,A10,A10-0278,L2J,AIO,,,
ae18cb,78-0659,Fairchild,A-10C Thunderbolt II,A10,A10-0279,L2J,AIO,,,
ae18cc,78-0670,Fairchild,A-10C Thunderbolt II,A10,A10-0290,L2J,AIO,,,
ae18cd,78-0671,Fairchild,A-10C Thunderbolt II,A10,A10-0291,L2J,AIO,,,
ae18ce,78-0673,Fairchild,A-10C Thunderbolt II,A10,A10-0293,L2J,AIO,,,
ae18cf,78-0674,Fairchild,A-10C Thunderbolt II,A10,A10-0294,L2J,AIO,,,
ae18d0,78-0679,Fairchild,A-10C Thunderbolt II,A10,A10-0299,L2J,AIO,,,
ae18d1,78-0682,Fairchild,A-10C Thunderbolt II,A10,A10-0302,L2J,AIO,,,
ae18d2,78-0683,Fairchild,A-10C Thunderbolt II,A10,A10-0303,L2J,AIO,,,
ae18d3,78-0685,Fairchild,A-10C Thunderbolt II,A10,A10-0305,L2J,AIO,,,
ae18d4,78-0688,Fairchild,A-10C Thunderbolt II,A10,A10-0308,L2J,AIO,,,
