icao_24bit_address,registration,manufacturer,model,aircraft_type,serial_number,description,operator,registered_at,registered_until,manufactured_at
44f022,FB-12,General Dynamics,F-16BM Fighting Falcon,F16,6J-12,L1J,,,,
44f024,FB-14,General Dynamics,F-16BM Fighting Falcon,F16,6J-14,L1J,,,,
44f025,FB-15,General Dynamics,F-16BM Fighting Falcon,F16,6J-15,L1J,,,,
44f027,FB-17,General Dynamics,F-16BM Fighting Falcon,F16,6J-17,L1J,,,,
44f028,FB-18,General Dynamics,F-16BM Fighting Falcon,F16,6J-18,L1J,,,,
44f040,FB-20,General Dynamics,F-16BM Fighting Falcon,F16,6J-20,L1J,,,,
44f041,FB-21,General Dynamics,F-16BM Fighting Falcon,F16,6J-21,L1J,,,,
44f042,FB-22,General Dynamics,F-16BM Fighting Falcon,F16,6J-22,L1J,,,,
44f043,FB-23,General Dynamics,F-16BM Fighting Falcon,F16,6J-23,L1J,,,,
44f044,FB-24,General Dynamics,F-16BM Fighting Falcon,F16,6J-24,L1J,,,,
44f0a6,FA-56,General Dynamics,F-16AM Fighting Falcon,F16,6H-56,L1J,,,,
44f0a7,FA-57,General Dynamics,F-16AM Fighting Falcon,F16,6H-57,L1J,,,,
44f0c7,FA-67,General Dynamics,F-16AM Fighting Falcon,F16,6H-67,L1J,,,,
44f0c8,FA-68,General Dynamics,F-16AM Fighting Falcon,F16,6H-68,L1J,,,,
44f0c9,FA-69,General Dynamics,F-16AM Fighting Falcon,F16,6H-69,L1J,,,,
44f0e0,FA-70,General Dynamics,F-16AM Fighting Falcon,F16,6H-70,L1J,,,,
44f0e1,FA-71,General Dynamics,F-16AM Fighting Falcon,F16,6H-71,L1J,,,,
44f0e2,FA-72,General Dynamics,F-16AM Fighting Falcon,F16,6H-72,L1J,,,,
44f0e7,FA-77,General Dynamics,F-16AM Fighting Falcon,F16,6H-77,L1J,,,,
44f101,FA-81,General Dynamics,F-16AM Fighting Falcon,F16,6H-81,L1J,,,,
44f102,FA-82,General Dynamics,F-16AM Fighting Falcon,F16,6H-82,L1J,,,,
44f103,FA-83,General Dynamics,F-16AM Fighting Falcon,F16,6H-83,L1J,,,,
44f104,FA-84,General Dynamics,F-16AM Fighting Falcon,F16,6H-84,L1J,,,,
44f106,FA-86,General Dynamics,F-16AM Fighting Falcon,F16,6H-86,L1J,,,,
44f107,FA-87,General Dynamics,F-16AM Fighting Falcon,F16,6H-87,L1J,,,,
44f109,FA-89,General Dynamics,F-16AM Fighting Falcon,F16,6H-89,L1J,,,,
44f121,FA-91,General Dynamics,F-16AM Fighting Falcon,F16,6H-91,L1J,,,,
44f122,FA-92,General Dynamics,F-16AM Fighting Falcon,F16,6H-92,L1J,,,,
44f124,FA-94,General Dynamics,F-16AM Fighting Falcon,F16,6H-94,L1J,,,,
44f125,FA-95,General Dynamics,F-16AM Fighting Falcon,F16,6H-95,L1J,,,,
44f127,FA-97,General Dynamics,F-16AM Fighting Falcon,F16,6H-97,L1J,,,,
44f141,FA-101,General Dynamics,F-16AM Fighting Falcon,F16,6H-101,L1J,,,,
44f142,FA-102,General Dynamics,F-16AM Fighting Falcon,F16,6H-102,L1J,,,,
44f143,FA-103,General Dynamics,F-16AM Fighting Falcon,F16,6H-103,L1J,,,,
44f144,FA-104,General Dynamics,F-16AM Fighting Falcon,F16,6H-104,L1J,,,,
44f146,FA-106,General Dynamics,F-16AM Fighting Falcon,F16,6H-106,L1J,,,,
44f147,FA-107,General Dynamics,F-16AM Fighting Falcon,F16,6H-107,L1J,,,,
44f149,FA-109,General Dynamics,F-16AM Fighting Falcon,F16,6H-109,L1J,,,,
44f160,FA-110,General Dynamics,F-16AM Fighting Falcon,F16,6H-110,L1J,,,,
44f164,FA-114,General Dynamics,F-16AM Fighting Falcon,F16,6H-114,L1J,,,,
44f166,FA-116,General Dynamics,F-16AM Fighting Falcon,F16,6H-116,L1J,,,,
44f167,FA-117,General Dynamics,F-16AM Fighting Falcon,F16,6H-117,L1J,,,,
44f168,FA-118,General Dynamics,F-16AM Fighting Falcon,F16,6H-118,L1J,,,,
44f169,FA-119,General Dynamics,F-16AM Fighting Falcon,F16,6H-119,L1J,,,,
44f181,FA-121,General Dynamics,F-16AM Fighting Falcon,F16,6H-121,L1J,,,,
44f183,FA-123,General Dynamics,F-16AM Fighting Falcon,F16,6H-123,L1J,,,,
44f184,FA-124,General Dynamics,F-16AM Fighting Falcon,F16,6H-124,L1J,,,,
44f185,158,General Dynamics,F-16AM Fighting Falcon,F16,6H-125,L1J,RJZ,,,
44f186,FA-126,General Dynamics,F-16AM Fighting Falcon,F16,6H-126,L1J,,,,
44f187,FA-127,General Dynamics,F-16AM Fighting Falcon,F16,6H-127,L1J,,,,
44f188,FA-128,General Dynamics,F-16AM Fighting Falcon,F16,6H-128,L1J,,,,
44f189,FA-129,General Dynamics,F-16AM Fighting Falcon,F16,6H-129,L1J,,,,
44f1a0,FA-130,General Dynamics,F-16AM Fighting Falcon,F16,6H-130,L1J,,,,
44f1a1,FA-131,General Dynamics,F-16AM Fighting Falcon,F16,6H-131,L1J,,,,
44f1a2,FA-132,General Dynamics,F-16AM Fighting Falcon,F16,6H-132,L1J,,,,
44f1a3,FA-133,General Dynamics,F-16AM Fighting Falcon,F16,6H-133,L1J,,,,
44f1a4,FA-134,General Dynamics,F-16AM Fighting Falcon,F16,6H-134,L1J,,,,
44f1a5,FA-135,General Dynamics,F-16AM Fighting Falcon,F16,6H-135,L1J,,,,
44f1a6,FA-136,General Dynamics,F-16AM Fighting Falcon,F16,6H-136,L1J,,,,
468004,004,General Dynamics,F-16C Fighting Falcon,F16,WJ-4,L1J,,,,
468007,007,General Dynamics,F-16C Fighting Falcon,F16,WJ-7,L1J,,,,
468009,009,General Dynamics,F-16C Fighting Falcon,F16,WJ-9,L1J,,,,
46800f,015,General Dynamics,F-16C Fighting Falcon,F16,WJ-15,L1J,,,,
46801c,028,General Dynamics,F-16D Fighting Falcon,F16,WK-08,L1J,,,,
4780d8,298,General Dynamics,F-16AM Fighting Falcon,F16,6K-27,L1J,NOW,,,
4780d9,299,General Dynamics,F-16AM Fighting Falcon,F16,6K-28,L1J,NOW,,,
4780e2,662,General Dynamics,F-16AM Fighting Falcon,F16,6K-34,L1J,NOW,,,
4780e4,664,General Dynamics,F-16AM Fighting Falcon,F16,6K-36,L1J,NOW,,,
