icao_24bit_address,registration,manufacturer,model,aircraft_type,serial_number,description,operator,registered_at,registered_until,manufactured_at
0088e7,ZS-DJA,Grumman,G-1159B Gulfstream IIB,GLF2,156,L2J,,,,
00a0ff,ZS-MMG,Grumman,G-1159 Gulfstream II SP,GLF2,85,L2J,,,,
02004b,CN-ANL,Grumman,G-1159 Gulfstream II TT,GLF2,182,L2J,,,,
084c00,TT-AAI,Grumman,G-1159 Gulfstream II,GLF2,240,L2J,,,,
0c40c1,HI871,Grumman,G-1159B Gulfstream IIB,GLF2,154,L2J,,,,
0d00d0,XC-PFT,Grumman,G-1159 Gulfstream II SP,GLF2,175,L2J,,,,
0d0248,XB-BBO,Grumman,G-1159 Gulfstream II SP,GLF2,164,L2J,,,,
0d031a,XA-CVS,Grumman,G-1159 Gulfstream II SP,GLF2,167,L2J,,,,
0d06b1,XA-AHC,Grumman,G-1159 Gulfstream II,GLF2,161,L2J,,,,
386520,F-AZJA,General Motors,TBM-3R Avenger,TBM,2688,L1P,,,,
390130,F-GAJQ,Grumman,G-164A Super Ag-Cat,G164,1277,L1P,,,,
391429,F-GFBJ,Grumman,G-164A Super Ag-Cat,G164,1124,L1P,,,,
391daf,F-GHNP,Grumman,G-164B Ag-Cat,G164,768B,L1P,,,,
394869,F-GSDJ,Grumman,G-164A Super Ag-Cat,G164,1295,L1P,,,,
394b01,F-GSYB,Grumman,G-164B Ag-Cat,G164,740B,L1P,,,,
3b7b5b,F-ZBET,Conair,S-2 Turbo Firecat,S2T,G703,L2T,,,,
3b7b5c,F-ZBAP,Conair,S-2 Turbo Firecat,S2T,G567,L2T,,,,
3b7b5d,F-ZBEW,Conair,S-2 Turbo Firecat,S2T,G621,L2T,,,,
3b7b5e,F-ZBEY,Conair,S-2 Turbo Firecat,S2T,G400,L2T,,,,
3b7b5f,F-ZBAZ,Conair,S-2 Turbo Firecat,S2T,DH-57,L2T,,,,
3b7b67,F-ZBMA,Conair,S-2 Turbo Firecat,S2T,G461,L2T,,,,
3b7b68,F-ZBCZ,Conair,S-2 Turbo Firecat,S2T,DH-94,L2T,,,,
3b7b69,F-ZBAA,Conair,S-2 Turbo Firecat,S2T,G456,L2T,,,,
3b7b6a,F-ZBEH,Conair,S-2 Turbo Firecat,S2T,G410,L2T,,,,
3b9bf9,3,Grumman,E-2C Hawkeye,E2,FR-3,L2T,FNY,,,
3b9bfa,2,Grumman,E-2C Hawkeye,E2,FR-2,L2T,FNY,,,
3b9bfb,1,Grumman,E-2C Hawkeye,E2,FR-1,L2T,FNY,,,
403769,G-RUMM,Grumman,F8F-2P Bearcat,BCAT,1088,L1P,,1998-03-20,,1948-01-01
4038b9,G-RUMW,Grumman,FM-2 Wildcat,WCAT,5765,L1P,,1998-04-15,,1945-01-01
406904,G-KINL,Grumman,FM-2 Wildcat,WCAT,51-235,L1P,,2016-05-11,,1942-01-01
406a68,G-WCMO,Grumman,FM-2 Wildcat,WCAT,55404,L1P,,2016-12-06,,1944-01-01
406a69,G-WCMI,Grumman,FM-2 Wildcat,WCAT,86750,L1P,,2016-12-06,,1943-01-01
47009c,HA-AGA,Grumman,G-164A Super Ag-Cat,G164,1554,L1P,,,,
49066d,CS-ASM,Grumman,G-164B Ag-Cat,G164,811B,L1P,,,,
4b2d38,HB-RDG,General Motors,TBM-3E Avenger,TBM,53319,L1P,,2006-07-31,,1945-01-01
4bce86,TC-STF,Grumman,S-2E Tracker,S2P,125C,L2P,,,,
4c0495,YU-BEV,Grumman,G-164A Super Ag-Cat,G164,499,L1P,,,,
4c0528,YU-BJI,Grumman,G-164A Super Ag-Cat,G164,1422,L1P,,,,
4c052a,YU-BJK,Grumman,G-164A Super Ag-Cat,G164,1466,L1P,,,,
4c052d,YU-BJN,Grumman,G-164A Super Ag-Cat,G164,1420,L1P,,,,
4c0533,YU-BJT,Grumman,G-164A Super Ag-Cat,G164,1484,L1P,,,,
4c0556,YU-BKW,Grumman,G-164B Ag-Cat,G164,235B,L1P,,,,
4c0557,YU-BKX,Grumman,G-164 Ag-Cat,G164,246,L1P,,,,
4c0566,YU-BLG,Grumman,G-164B Ag-Cat,G164,329B,L1P,,,,
4c0567,YU-BLH,Grumman,G-164B Ag-Cat,G164,330B,L1P,,,,
7c217f,VH-GWH,Grumman,G-21A Goose,G21,B-49,A2P,,,,1944-01-01
7c2608,VH-HSQ,Grumman,HU-16A Albatross,U16,142361,A2P,,,,1954-01-01
7c3ce4,VH-MBA,Grumman,G-21A Goose,G21,1164,A2P,,,,1944-01-01
7c3e7b,VH-MML,General Motors,TBM-3E Avenger,TBM,53857,L1P,,,,1943-01-01
7c438e,VH-NMO,Grumman,G-111 Albatross,U16,148329,A2P,,,,1961-01-01
7c4e10,VH-PPE,Grumman,G-73AT Turbo Mallard,G73T,J-22,A2T,,,,1947-01-01
7c4e14,VH-PPI,Grumman,G-73AT Turbo Mallard,G73T,J-23,A2T,,,,1947-01-01
7c4e1f,VH-PPT,Grumman,G-73AT Turbo Mallard,G73T,J-26,A2T,,,,1947-01-01
7c6cfd,VH-VTB,General Motors,TBM-3E Avenger,TBM,3399,L1P,,,,
86dcf7,JA8431,Grumman,G-1159 Gulfstream II,GLF2,141,L2J,,,,
894004,A9C-BG,Grumman,G-1159 Gulfstream II TT,GLF2,202,L2J,,,,
a00013,N1AS,Grumman,G-44 Widgeon,G44,1230,A2P,,,2022-07-31,1941-01-01
a00053,N1DF,Grumman,F8F-2 Bearcat,BCAT,121748,L1P,,,2021-10-31,1948-01-01
a001a7,N1SW,Grumman,G-44A Widgeon,G44,1452,A2P,,,,
a002fe,N10GN,Grumman,HU-16B Albatross,U16,146427,A2P,,,2022-03-31,1959-01-01
a0074e,N10016,Grumman,HU-16E Albatross,U16,G89,A2P,,,,
a00751,N10019,Grumman,HU-16B Albatross,U16,51-0019,A2P,,,2023-12-31,1951-01-01
a009b5,N101PE,Grumman,G-44 Widgeon,G44,1386,A2P,,,2023-04-30,1944-01-01
a00a4a,N101VD,Grumman,OV-1D Mohawk,V1,15D,L2T,,,,
a00b25,N10123,Grumman,G-1159 Gulfstream II,GLF2,107,L2J,,,2023-08-31,1971-01-01
a00c0b,N1019N,Grumman,G-21A Goose,G21,B-30,A2P,,,2023-02-28,1946-01-01
a0157f,N104VV,Grumman,G-1159 Gulfstream II,GLF2,53,L2J,,,2023-07-31,
a018f2,N105TB,Grumman,G-1159 Gulfstream II,GLF2,31,L2J,,,2023-06-30,1968-01-01
a0223d,N1078Z,Grumman,F6F-5 Hellcat,HCAT,27354801-66,L1P,,,2021-06-30,1963-01-01
a02704,N109K,General Motors,TBM-3 Avenger,TBM,53638,L1P,,,2022-04-30,1945-01-01
a02a5c,N11FE,Grumman,FM-2 Wildcat,WCAT,5734,L1P,,,2023-03-31,1945-01-01
a031de,N111W,Grumman,G-44A Widgeon,G44,1420,A2P,,,2023-10-31,1945-01-01
a0425b,N1159B,Grumman,G-1159B Gulfstream IIB,GLF2,257,L2J,PHA,,,
a04284,N116AG,Grumman,HU-16C Albatross,U16,17164,A2P,,,2023-02-28,
a048c6,N1171Y,Grumman,OV-1D Mohawk,V1,62-05874,L2T,,,2022-04-30,1962-01-01
a051fd,N12GP,Grumman,G-1159 Gulfstream II,GLF2,63,L2J,,,,
a05397,N12YZ,Grumman,G-73 Mallard,G73,J2,A2P,,,2023-04-30,1946-01-01
a057e8,N121FB,Grumman,G-111 Albatross,U16,51-7249,A2P,,,2022-08-31,1954-01-01
a05909,N121SR,Grumman,G-21A Goose,G21,1084,A2P,,,2021-04-30,1940-01-01
a05adc,N1218C,Grumman,G-1159 Gulfstream II,GLF2,99,L2J,,,2022-04-30,
a05e63,N12260,Grumman,F4F-3 Wildcat,WCAT,12260,L1P,,,2022-11-30,1943-01-01
a068aa,N1250N,Grumman,G-44 Widgeon,G44,1208,A2P,,,,
a08a22,N134AW,Grumman,OV-1C Mohawk,V1,68-15936,L2T,,,2022-01-31,1969-01-01
a08aa4,N134GA,Grumman,OV-1A Mohawk,V1,35A,L2T,,,,
a08c79,N1340V,Grumman,G-44 Widgeon,G44,1228,A2P,,,2021-08-31,1941-01-01
a08ede,N135MG,Grumman,G-44 Widgeon,G44,1389,A2P,,,2022-08-31,1944-01-01
a0a114,NL14HP,Grumman,F8F-1D Bearcat,BCAT,D.10,L1P,,,,
a0a24d,N14WB,Grumman,F8F-2 Bearcat,BCAT,122619,L1P,,,2022-11-30,1949-01-01
a0a7de,N141R,Grumman,G-44 Widgeon,G44,1378,A2P,,,2021-07-31,1944-01-01
a0b237,N144GW,Grumman,G-44 Widgeon,G44,1324,A2P,,,,
a0b739,N145WB,General Motors,TBM-3E Avenger,TBM,85460,L1P,,,2023-04-30,1945-01-01
a0bdd8,N147MV,Grumman,G-73T Turbo Mallard,G73T,J-50,A2T,,,2022-11-30,1950-01-01
a0ec1b,N159F,Grumman,G-21 Goose,G21,B55,A2P,,,2021-05-31,1944-01-01
a0ec45,N159GS,Grumman,G-159 Gulfstream I,G159,200,L2T,,,,
a0eeb9,N1595V,Grumman,G-44 Widgeon,G44,1319,A2P,,,,
a0f017,N16HU,Grumman,HU-16 Albatross,U16,49-097,A2P,,,2022-10-31,1951-01-01
a101d0,N164PA,Gulfstream Aerospace,G-1159 Gulfstream IIB,GLF2,257,L2T,PHA,,2021-10-31,1979-01-01
a1116b,N168WS,Grumman,G-73 Mallard,G73,J-5,A2P,,,2023-01-31,1946-01-01
a11e2a,N171PA,Grumman,G-159 Gulfstream I,G159,192,L2T,PHA,,2021-04-30,1968-01-01
a12b93,N17481,Grumman,G-44 Widgeon,G44,1360,A2P,,,2023-02-28,1944-01-01
a136fe,N178B,Gulfstream Aerospace,G-1159B Gulfstream IIB,GLF2,125,L2J,,,2021-11-30,1973-01-01
a13efe,N18GW,Grumman,SCAN 30,G44,35,A2P,,,2024-03-31,1949-01-01
a140bc,N180AR,Grumman,G-1159B Gulfstream IIB,GLF2,148,L2J,,,,
a15485,N185PA,Grumman,G-159 Gulfstream I,G159,26,L2T,PHA,,2021-04-30,1959-01-01
a15e67,N188AC,Grumman,G-73 Mallard,G73,J57,A2P,,,2021-10-31,1951-01-01
a16011,N188TD,General Motors,TBM-3E Avenger,TBM,3584,L1P,,,,
a161e6,N1888T,Grumman,G-73 Mallard,G73,J31,A2P,,,2021-08-31,1947-01-01
a16361,N189PA,Gulfstream Aerospace,G-1159 Gulfstream II,GLF2,108,L2J,,,2021-07-31,1971-01-01
a170df,N192PA,Grumman,G-159 Gulfstream I,G159,149,L2T,PHA,,2023-10-31,1964-01-01
a17496,N193PA,Grumman,G-159 Gulfstream I,G159,125,L2T,PHA,,2022-04-30,1964-01-01
a17a00,N1944W,Grumman,J4F-2,G44,1342,A2P,,,2024-01-31,
a17dba,N1954Z,Grumman,HU-16C Albatross,U16,142362,A2P,,,2022-02-28,1954-01-01
a17dcc,N1955G,Grumman,HU-16C Albatross,U16,G406,A2P,,,,
a18b43,N199T,Grumman,G-44 Widgeon,G44,1213,A2P,,,2022-10-31,1941-01-01
a1902e,N20FG,Grumman,F3F-2,F3F,1033,L1P,,,2022-01-31,1938-01-01
a19136,N20RW,Grumman,F3F-2,F3F,0972,L1P,,,2023-06-30,1993-01-01
a1945b,N2000,Grumman,G-1159 Gulfstream II SP,GLF2,56,L2J,,,,
a1c6b4,N213X,Grumman,G-1159 Gulfstream II SP,GLF2,213,L2J,,,,
a1e494,N2209,Grumman,F8F-1B Bearcat,BCAT,122095,L1P,,,2023-03-31,1945-01-01
a1e8f8,N222FM,Grumman,FM-2 Wildcat,WCAT,5975,L1P,,,2022-07-31,1953-01-01
a1f784,N226CG,Grumman,HU-16B Albatross,U16,7226,A2P,,,2023-04-30,
a1f7f1,N226GR,Grumman,HU-16E Albatross,U16,2132,A2P,,,2022-02-28,1954-01-01
a1fbfd,N227LA,Grumman,G-1159 Gulfstream II,GLF2,193,L2J,,,2023-05-31,1976-01-01
a2054c,N22932,Grumman,G-21A Goose,G21,B-139,A2P,,,2022-01-31,1946-01-01
