icao_24bit_address,registration,manufacturer,model,aircraft_type,serial_number,description,operator,registered_at,registered_until,manufactured_at
4ab479,SE-MCY,Gulfstream American,GA-7 Cougar,GA7,GA7-0047,L2P,,,,
4599a1,OY-FMA,Gulfstream American,GA-7 Cougar,GA7,GA7-0089,L2P,,,,
3d9a6f,D-GEST,Gulfstream American,GA-7 Cougar,GA7,GA7-0102,L2P,,,,
459c34,OY-GAT,Gulfstream American,GA-7 Cougar,GA7,GA7-0048,L2P,,,,
47c0d1,LN-HTM,Gulfstream American,GA-7 Cougar,GA7,GA7-0086,L2P,,,,
402cc6,G-BOXR,Gulfstream American,GA-7 Cougar,GA7,GA7-0059,L2P,,2013-06-26,,1978-01-01
403ea7,G-OOGO,Gulfstream American,GA-7 Cougar,GA7,GA7-0049,L2P,,2014-02-26,,1978-01-01
401de5,G-BGSY,Gulfstream American,GA-7 Cougar,GA7,GA7-0096,L2P,,2016-12-06,,1979-01-01
401dc9,G-BGON,Gulfstream American,GA-7 Cougar,GA7,GA7-0095,L2P,,2013-07-10,,1979-01-01
402583,G-GOTC,Gulfstream American,GA-7 Cougar,GA7,GA7-0074,L2P,,2017-03-06,,1978-01-01
401dc3,G-BGNV,Gulfstream American,GA-7 Cougar,GA7,GA7-0078,L2P,,2017-04-21,,1979-01-01
40218d,G-CYMA,Gulfstream American,GA-7 Cougar,GA7,GA7-0083,L2P,,2000-10-19,,1979-01-01
402b97,G-BOOE,Gulfstream American,GA-7 Cougar,GA7,GA7-0093,L2P,,2015-02-04,,1979-01-01
4011f5,G-HIRE,Gulfstream American,GA-7 Cougar,GA7,GA7-0091,L2P,,1982-12-30,,1979-01-01
4020ce,G-BLHR,Gulfstream American,GA-7 Cougar,GA7,GA7-0109,L2P,,2013-09-04,,1979-01-01
404e3b,G-CDND,Gulfstream American,GA-7 Cougar,GA7,GA7-0057,L2P,,2005-12-20,,1978-01-01
401da5,G-OOGS,Gulfstream American,GA-7 Cougar,GA7,GA7-0105,L2P,,2010-01-15,,1979-01-01
3dc4af,D-GUST,Gulfstream American,GA-7 Cougar,GA7,GA7-0082,L2P,,,,
