icao_24bit_address,registration,manufacturer,model,aircraft_type,serial_number,description,operator,registered_at,registered_until,manufactured_at
800286,BH1048,Hindustan Aeronautics Limited,HAL.748 203,A748,0504,L2T,IFC,,,
800284,BH1011,Hindustan Aeronautics Limited,HAL.748 203,A748,0507,L2T,IFC,,,
800282,H913,Hindustan Aeronautics Limited,HAL.748 203,A748,0510,L2T,IFC,,,
800285,BH1013,Hindustan Aeronautics Limited,HAL.748 203,A748,0509,L2T,IFC,,,
800283,BH1010,Hindustan Aeronautics Limited,HAL.748 203,A748,0505,L2T,IFC,,,
80028b,H1179,Hindustan Aeronautics Limited,HAL.748 218,A748,0535,L2T,IFC,,,
800287,H1512,Hindustan Aeronautics Limited,HAL.748 218,A748,0550,L2T,IFC,,,
800288,H915,Hindustan Aeronautics Limited,HAL.748 218,A748,0517,L2T,IFC,,,
80028a,H1178,Hindustan Aeronautics Limited,HAL.748 218,A748,0534,L2T,IFC,,,
800289,H1177,Hindustan Aeronautics Limited,HAL.748 218,A748,0533,L2T,IFC,,,
800290,H1175,Hindustan Aeronautics Limited,HAL.748 219,A748,0531,L2T,IFC,,,
80028f,H1034,Hindustan Aeronautics Limited,HAL.748 219,A748,0530,L2T,IFC,,,
800295,H1386,Hindustan Aeronautics Limited,HAL.748 220,A748,0539,L2T,IFC,,,
800293,H1181,Hindustan Aeronautics Limited,HAL.748 220,A748,0537,L2T,IFC,,,
800294,H1182,Hindustan Aeronautics Limited,HAL.748 220,A748,0538,L2T,IFC,,,
80006c,VT-EAV,Hindustan Aeronautics Limited,HAL.748 224,A748,0542,L2T,,,,
800297,H2065,Hindustan Aeronautics Limited,HAL.748 224,A748,0544,L2T,IFC,,,
800298,H2066,Hindustan Aeronautics Limited,HAL.748 224,A748,0545,L2T,IFC,,,
8002a5,H1527,Hindustan Aeronautics Limited,HAL.748 247,A748,0565,L2T,IFC,,,
8002a6,H1528,Hindustan Aeronautics Limited,HAL.748 247,A748,0566,L2T,IFC,,,
80029d,H1518,Hindustan Aeronautics Limited,HAL.748 247,A748,0556,L2T,IFC,,,
8002a4,H1526,Hindustan Aeronautics Limited,HAL.748 247,A748,0564,L2T,IFC,,,
80029b,H1516,Hindustan Aeronautics Limited,HAL.748 247,A748,0554,L2T,IFC,,,
8002b9,H2381,Hindustan Aeronautics Limited,HAL.748 2M LFD,A748,0588,L2T,IFC,,,
8002b7,H2378,Hindustan Aeronautics Limited,HAL.748 2M LFD,A748,0585,L2T,IFC,,,
8002ae,H2182,Hindustan Aeronautics Limited,HAL.748 2M LFD,A748,0576,L2T,IFC,,,
