icao_24bit_address,registration,manufacturer,model,aircraft_type,serial_number,description,operator,registered_at,registered_until,manufactured_at
0092f5,ZS-HEA,Hughes,269C,H269,11-1018,H1P,,,,
0092f6,ZS-HEB,Hughes,269C,H269,11-1019,H1P,,,,
0092f8,ZS-HED,Hughes,269C,H269,11-1020,H1P,,,,
0092f9,ZS-HEE,Hughes,269C,H269,11-1021,H1P,,,,
0092fa,ZS-HEF,Hughes,269C,H269,70-0942,H1P,,,,
0092fb,ZS-HEG,Hughes,269C,H269,80-0950,H1P,,,,
0092fc,ZS-HEH,Hughes,269C,H269,100-0982,H1P,,,,
0092fe,ZS-HEJ,Hughes,269C,H269,110-0996,H1P,,,,
009301,ZS-HEM,Hughes,269C,H269,120-1014,H1P,,,,
009306,ZS-HER,Hughes,269C,H269,114-0371,H1P,,,,
00930a,ZS-HEV,Hughes,269C,H269,120-1017,H1P,,,,
00930b,ZS-HEW,Hughes,269C,H269,50-0919,H1P,,,,
00930c,ZS-HEX,Hughes,269C,H269,11-1022,H1P,,,,
009327,ZS-HFY,Schweizer,269C-1,H269,0189,H1P,,,,
00936c,ZS-HIP,Hughes,269C,H269,30-0911,H1P,,,,
009370,ZS-HIT,Hughes,269C,H269,50-0921,H1P,,,,
009379,ZS-HJC,Hughes,269C,H269,73-0219,H1P,,,,
00937d,ZS-HJG,Hughes,269C,H269,113-0253,H1P,,,,
0093a3,ZS-HKS,Hughes,269C,H269,49-0767,H1P,,,,
0093b8,ZS-HLN,Hughes,269C,H269,103-0242,H1P,,,,
0093b9,ZS-HLO,Hughes,269C,H269,90-0961,H1P,,,,
0093cc,ZS-HMH,Hughes,269C,H269,1082,H1P,,,,
0093db,ZS-HMW,Hughes,269C,H269,110-0987,H1P,,,,
0093ec,ZS-HNN,Hughes,269C,H269,110-0061,H1P,,,,
009413,ZS-HPA,Hughes,269C,H269,70-0938,H1P,,,,
00947d,ZS-HTC,Hughes,269A,H269,62-0103,H1P,,,,
00947e,ZS-HTD,Hughes,269C,H269,63-0319,H1P,,,,
009481,ZS-HTG,Hughes,269C,H269,87-0621,H1P,,,,
009483,ZS-HTI,Hughes,269C,H269,53-0207,H1P,,,,
009484,ZS-HTJ,Hughes,269C,H269,54-0308,H1P,,,,
009491,ZS-HTW,Hughes,269C,H269,69-0782,H1P,,,,
00949f,ZS-HUK,Hughes,269C,H269,16-0464,H1P,,,,
0094aa,ZS-HUV,Hughes,269C,H269,23-0186,H1P,,,,
0094b2,ZS-HVD,Hughes,269C,H269,69-0787,H1P,,,,
0094cd,ZS-HWE,Hughes,269C,H269,105-0446,H1P,,,,
0094d3,ZS-HWK,Hughes,269C,H269,48-0689,H1P,,,,
0094e3,ZS-HXA,Schweizer,269C,H269,S1427,H1P,,,,
0094ea,ZS-HXH,Hughes,269C,H269,113-0251,H1P,,,,
0094eb,ZS-HXI,Hughes,269C,H269,46-0496,H1P,,,,
0094ed,ZS-HXK,Schweizer,269C,H269,S1407,H1P,,,,
0094f9,ZS-HXW,Schweizer,269C,H269,S1514,H1P,,,,
00aa32,ZS-PYV,Hughes,269C,H269,82-0156,H1P,,,,
00ad17,ZS-RBI,Schweizer,269C,H269,S1513,H1P,,,,
00ad18,ZS-RBJ,Schweizer,269C,H269,S1557,H1P,,,,
00ad29,ZS-RCA,Hughes,TH-55A Osage,H269,37-0683,H1P,,,,
00ad5a,ZS-RDX,Hughes,269B,H269,24-0023,H1P,,,,
00ad71,ZS-REU,Schweizer,269C-1,H269,0369,H1P,,,,
00adaa,ZS-RGZ,Schweizer,269C,H269,S1916,H1P,,,,
00adf6,ZS-RJX,Schweizer,269C,H269,S1797,H1P,,,,
00ae2a,ZS-RLX,Schweizer,269C,H269,S1805,H1P,,,,
00aec0,ZS-RRR,Schweizer,269C,H269,S1586,H1P,,,,
00aecc,ZS-RSD,Schweizer,269C-1,H269,0227,H1P,,,,
00af1a,ZS-RVD,Schweizer,269C,H269,S1849,H1P,,,,
00af2c,ZS-RVV,Schweizer,269C,H269,S1481,H1P,,,,
00af54,ZS-RXJ,Schweizer,269C,H269,S1936,H1P,,,,
00af6e,ZS-RYJ,Schweizer,269C,H269,S1379,H1P,,,,
385e00,F-BXQA,Hughes,269C,H269,72-0150,H1P,,,,
39012a,F-GAJK,Hughes,269C,H269,63-0214,H1P,,,,
39012c,F-GAJM,Hughes,269C,H269,114-0373,H1P,,,,
390573,F-GBLT,Hughes,269C,H269,19-0757,H1P,,,,
390e24,F-GDRE,Hughes,269C,H269,43-0201,H1P,,,,
3912e2,F-GEXC,Hughes,269C,H269,94-0352,H1P,,,,
3912ed,F-GEXN,Hughes,269C,H269,27-0578,H1P,,,,
391445,F-GFCF,Hughes,269C,H269,119-0853,H1P,,,,
39144a,F-GFCK,Hughes,269C,H269,104-0366,H1P,,,,
3914c8,F-GFGI,Hughes,269C,H269,117-0646,H1P,,,,
3916b0,F-GFVQ,Hughes,269C,H269,120-0073,H1P,,,,
391800,F-GGAA,Schweizer,269C,H269,S1308,H1P,,,,
391807,F-GGAH,Hughes,269C,H269,61-0122,H1P,,,,
391a31,F-GGRR,Schweizer,269C,H269,S1306,H1P,,,,
391a47,F-GGSH,Schweizer,269C,H269,S1271,H1P,,,,
391a51,F-GGSR,Hughes,269C,H269,28-0667,H1P,,,,
391c05,F-GHAF,Hughes,269C,H269,61-1060,H1P,,,,
391c2a,F-GHBK,Hughes,269C,H269,90-0970,H1P,,,,
391cd8,F-GHGY,Hughes,269C,H269,41-0109,H1P,,,,
391d12,F-GHIS,Hughes,269C,H269,74-0325,H1P,,,,
391d19,F-GHIZ,Hughes,269C,H269,49-0765,H1P,,,,
391dc7,F-GHOH,Schweizer,269C,H269,S1272,H1P,,,,
391dce,F-GHOO,Schweizer,269C,H269,S1302,H1P,,,,
391e67,F-GHTH,Hughes,269C,H269,47-0586,H1P,,,,
391f02,F-GHYC,Schweizer,269C,H269,S1532,H1P,,,,
391f0f,F-GHYP,Hughes,269C,H269,120-1012,H1P,,,,
392014,F-GIAU,Hughes,269C,H269,100-0053,H1P,,,,
392057,F-GICX,Hughes,269C,H269,95-0432,H1P,,,,
3920ed,F-GIHN,Hughes,269C,H269,65-0417,H1P,,,,
3920ef,F-GIHP,Schweizer,269C,H269,S1429,H1P,,,,
39210a,F-GIIK,Hughes,269C,H269,16-0460,H1P,,,,
39232d,F-GIZN,Hughes,269C,H269,100-0058,H1P,,,,
