icao_24bit_address,registration,manufacturer,model,aircraft_type,serial_number,description,operator,registered_at,registered_until,manufactured_at
381472,F-BFDS,Jodel,D.112,D11,485,L1P,,,,
38194b,F-BGKL,Jodel,D.112,D11,618,L1P,,,,
381c4a,F-BHCK,Jodel,D.112,D11,483,L1P,,,,
381c51,F-BHCR,Jodel,D.112,D11,206,L1P,,,,
381ccd,F-BHGN,Jodel,D.112,D11,379,L1P,,,,
381d45,F-BHKF,Jodel,D.112,D11,333,L1P,,,,
381d51,F-BHKR,Jodel,D.112,D11,347,L1P,,,,
381da9,F-BHNJ,Jodel,D.117,D11,425,L1P,,,,
381df8,F-BHPY,Jodel,D.112,D11,550,L1P,,,,
381e6e,F-BHTO,Jodel,D.112,D11,518,L1P,,,,
381e6f,F-BHTP,Jodel,D.112,D11,519,L1P,,,,
381eea,F-BHXK,Jodel,D.117,D11,512,L1P,,,,
381eeb,F-BHXL,Jodel,D.117,D11,588,L1P,,,,
381eec,F-BHXM,Jodel,D.117,D11,591,L1P,,,,
381ef5,F-BHXV,Jodel,D.119A,D11,600,L1P,,,,
381f08,F-BHYI,Jodel,D.119,D11,549,L1P,,,,
381f19,F-BHYZ,Wassmer,D.120 Paris-Nice,D11,69,L1P,,,,
382027,F-BIBH,Jodel,D.119D,D11,626,L1P,,,,
382028,F-BIBI,Jodel,D.117,D11,612,L1P,,,,
38202a,F-BIBK,Jodel,D.112,D11,628,L1P,,,,
382061,F-BIDB,Jodel,D.117,D11,691,L1P,,,,
382070,F-BIDQ,Jodel,D.117,D11,721,L1P,,,,
382097,F-BIEX,Jodel,D.112,D11,568,L1P,,,,
3820c5,F-BIGF,Jodel,D.112D,D11,850,L1P,,,,
3820c7,F-BIGH,Jodel,D.11,D11,857,L1P,,,,
382152,F-BIKS,Jodel,D.112,D11,571,L1P,,,,
3821c4,F-BIOE,Jodel,D.117,D11,755,L1P,,,,
3821f4,F-BIPU,Jodel,D.112,D11,5,L1P,,,,
382200,F-BIQA,Jodel,D.112,D11,572,L1P,,,,
38220b,F-BIQL,Jodel,D.112,D11,581,L1P,,,,
38222b,F-BIRL,Jodel,D.112,D11,654,L1P,,,,
382288,F-BIUI,Jodel,D.119,D11,955,L1P,,,,
3822e0,F-BIXA,Wassmer,D.120 Paris-Nice,D11,116,L1P,,,,
3822ec,F-BIXM,Jodel,D.112,D11,892,L1P,,,,
3822ed,F-BIXN,Jodel,D.112,D11,1001,L1P,,,,
382502,F-BJIC,Jodel,D.112A,D11,1005,L1P,,,,
382503,F-BJID,Jodel,D.112,D11,1006,L1P,,,,
38250a,F-BJIK,Jodel,D.112A,D11,1010,L1P,,,,
382537,F-BJJX,Jodel,D.127,D11,1048,L1P,,,,
3825c0,F-BJOA,Jodel,D.128,D11,974,L1P,,,,
3825e4,F-BJPE,Jodel,D.112,D11,1018,L1P,,,,
3825e8,F-BJPI,Jodel,D.112,D11,1020,L1P,,,,
3825f5,F-BJPV,Jodel,D.112,D11,1065,L1P,,,,
3825f8,F-BJPY,Jodel,D.112,D11,1066,L1P,,,,
382808,F-BKAI,Jodel,D.112,D11,1069,L1P,,,,
382814,F-BKAU,Jodel,D.112,D11,1076,L1P,,,,
382850,F-BKCQ,Jodel,D.112A,D11,1113,L1P,,,,
382918,F-BKIY,Jodel,D.112A,D11,1014,L1P,,,,
382934,F-BKJU,Wassmer,D.120 Paris-Nice,D11,214,L1P,,,,
382939,F-BKJZ,Jodel,D.112,D11,1128,L1P,,,,
3829b3,F-BKNT,Jodel,D.112,D11,1169,L1P,,,,
382b5b,F-POIF,Jodel,D.112,D11,965,L1P,,,,
382caa,F-BLFK,Jodel,D.112,D11,1177,L1P,,,,
382da0,F-BLNA,Jodel,D.112,D11,1204,L1P,,,,
382dac,F-BLNM,Jodel,D.112,D11,1207,L1P,,,,
382db2,F-BLNS,Jodel,D.112,D11,1210,L1P,,,,
383002,F-BMAC,Jodel,D.112,D11,1215,L1P,,,,
38300d,F-BMAN,Jodel,D.112,D11,1221,L1P,,,,
38310b,F-BMIL,Jodel,D.112,D11,1261,L1P,,,,
383113,F-BMIT,Jodel,D.112,D11,1267,L1P,,,,
383115,F-BMIV,Jodel,D.112,D11,1269,L1P,,,,
3831d4,F-BMOU,Jodel,D.112,D11,1300,L1P,,,,
383303,F-BMYD,Jodel,D.112,D11,1302,L1P,,,,
383449,F-BNCJ,Jodel,D.112,D11,1311,L1P,,,,
38344a,F-BNCK,Jodel,D.112A,D11,1312,L1P,,,,
38344c,F-BNCM,Jodel,D.112,D11,1313,L1P,,,,
38344e,F-BNCO,Jodel,D.112,D11,1315,L1P,,,,
3834db,F-PRBX,Jodel,D.113,D11,1654,L1P,,,,
3834ee,F-BNHO,Jodel,D.112,D11,1345,L1P,,,,
3835c5,F-BNOF,Jodel,D.112D,D11,1380,L1P,,,,
383721,F-BNZB,Jodel,D.112,D11,1348,L1P,,,,
383734,F-BNZU,Wassmer,D.120A Paris-Nice,D11,323,L1P,,,,
383837,F-BOBX,Wassmer,D.120 Paris-Nice,D11,334,L1P,,,,
383a3b,F-PSSA,Jodel,D.119,D11,1278,L1P,,,,
383fdb,F-PNUH,Jodel,D.113,D11,1325,L1P,,,,
3844bb,F-PBOV,Jodel,D.112,D11,27,L1P,,,,
384e5b,F-PYHY,Jodel,D.119 3L,D11,1504,L1P,,,,
384fbb,F-PGBJ,Jodel,D.112,D11,1610,L1P,,,,
386a1b,F-PIYZ,Jodel,D.119,D11,620,L1P,,,,
386a3b,F-PERK,Jodel,D.113,D11,196,L1P,,,,
3873bb,F-PTXP,Jodel,D.119DA,D11,1341,L1P,,,,
3873db,F-PACP,Jodel,D.113,D11,1812,L1P,,,,
387ebb,F-PEVJ,Jodel,D.112,D11,A.28,L1P,,,,
38825b,F-PPZP,Jodel,D.113,D11,1419,L1P,,,,
3882fb,F-POIC,Jodel,D.119,D11,1275,L1P,,,,
3889bb,F-PGTE,Jodel,D.112,D11,137,L1P,,,,
389a5b,F-PRPR,Jodel,D.113,D11,1792,L1P,,,,
38a73b,F-PYHV,Jodel,D.119,D11,1573,L1P,,,,
38be7b,F-PGMG,Jodel,D.119,D11,1197,L1P,,,,
38d8db,F-PHJJ,Jodel,D.113,D11,A.204,L1P,,,,
38dcbb,F-PCBN,Jodel,D.119D,D11,4,L1P,,,,
38de7b,F-PIHY,Jodel,D.119,D11,653,L1P,,,,
3916af,F-GFVP,Wassmer,D.120A Paris-Nice,D11,217,L1P,,,,
391c57,F-GHCX,Wassmer,D.120 Paris-Nice,D11,305,L1P,,,,
392d82,F-GLMC,Wassmer,D.120 Paris-Nice,D11,82,L1P,,,,
394e2b,F-GTRL,Jodel,D.112,D11,1002,L1P,,,,
395338,F-GUZY,Wassmer,D.120 Paris-Nice,D11,118,L1P,,,,
39612e,F-GYJO,Jodel,D.112,D11,350,L1P,,,,
396222,F-GYRC,Jodel,D.117A,D11,1060,L1P,,,,
396420,F-GZBA,Wassmer,D.120A Paris-Nice,D11,273,L1P,,,,
3985f5,F-HBPV,Wassmer,D.120A Paris-Nice,D11,272,L1P,,,,
3d04d6,D-EABU,Wassmer,D.120A Paris-Nice,D11,205,L1P,,,,
3d04e4,D-EACI,Jodel,D.117A,D11,830,L1P,,,,
3d07b1,D-EBDX,Jodel,D.119 0S,D11,E.95,L1P,,,,
3d07d6,D-EBFI,Wassmer,D.120 Paris-Nice,D11,83,L1P,,,,
3d08ea,D-EBPY,Wassmer,D.120 Paris-Nice,D11,242,L1P,,,,
3d0932,D-EBSS,Jodel,D.11A,D11,604,L1P,,,,
3d0935,D-EBSV,Jodel,D.11A,D11,1021,L1P,,,,
3d0ac1,D-ECIB,Wassmer,D.120 Paris-Nice,D11,186,L1P,,,,
3d0b71,D-ECOV,Jodel,D.112,D11,278,L1P,,,,
