icao_24bit_address,registration,manufacturer,model,aircraft_type,serial_number,description,operator,registered_at,registered_until,manufactured_at
02b26a,Z21121,Lockheed Martin,C-130J-30 Super Hercules,C30J,5718,L4T,,2013-01-01,,2013-01-01
02b26b,Z21122,Lockheed Martin,C-130J-30 Super Hercules,C30J,5758,L4T,,,,
06a24a,211,Lockheed Martin,C-130J-30 Super Hercules,C30J,5662,L4T,,,,
06a24b,212,Lockheed Martin,C-130J-30 Super Hercules,C30J,5663,L4T,,,,
06a24c,213,Lockheed Martin,C-130J-30 Super Hercules,C30J,5668,L4T,,,,
06a24d,214,Lockheed Martin,C-130J-30 Super Hercules,C30J,5669,L4T,,,,
33ffe0,MM62196,Lockheed Martin,C-130J Super Hercules,C30J,5550,L4T,IAM,,,
33ffe1,MM62195,Lockheed Martin,C-130J Super Hercules,C30J,5549,L4T,IAM,,,
33ffe2,MM62194,Lockheed Martin,C-130J Super Hercules,C30J,5548,L4T,IAM,,,
33ffe3,MM62193,Lockheed Martin,C-130J Super Hercules,C30J,5540,L4T,IAM,,,
33ffe4,MM62192,Lockheed Martin,C-130J Super Hercules,C30J,5539,L4T,IAM,,,
33ffe5,MM62191,Lockheed Martin,C-130J Super Hercules,C30J,5531,L4T,IAM,,,
33ffe6,MM62190,Lockheed Martin,C-130J Super Hercules,C30J,5530,L4T,IAM,,,
33ffe7,MM62189,Lockheed Martin,C-130J Super Hercules,C30J,5529,L4T,IAM,,,
33ffe8,MM62188,Lockheed Martin,C-130J Super Hercules,C30J,5523,L4T,IAM,,,
33ffe9,MM62187,Lockheed Martin,C-130J Super Hercules,C30J,5521,L4T,IAM,,,
33ffea,MM62186,Lockheed Martin,C-130J Super Hercules,C30J,5520,L4T,IAM,,,
33ffeb,MM62185,Lockheed Martin,C-130J Super Hercules,C30J,5514,L4T,IAM,,,
33ffec,MM62184,Lockheed Martin,C-130J Super Hercules,C30J,5513,L4T,IAM,,,
33ffed,MM62183,Lockheed Martin,KC-130J Tanker,C30J,5512,L4T,IAM,,,
33ffee,MM62182,Lockheed Martin,C-130J Super Hercules,C30J,5511,L4T,IAM,,,
