icao_24bit_address,registration,manufacturer,model,aircraft_type,serial_number,description,operator,registered_at,registered_until,manufactured_at
a8b5d4,N660SL,MBB,Bo 105,B105,S-739,H2T,,,,
e0c1d3,LV-LGS,MBB,Bo 105A,B105,S-54,H2T,,,,
e0c1d2,LV-LGR,MBB,Bo 105A,B105,S-53,H2T,,,,
3defae,D-HLAC,MBB,Bo 105B,B105,S-269,H2T,,,,
3df45e,D-HMUG,MBB,Bo 105C,B105,S-121,H2T,,,,
3e0526,D-HTDM,MBB,Bo 105C,B105,S-140,H2T,,,,
00ae55,ZS-RNO,MBB,Bo 105C,B105,S-735,H2T,,,,
00ae4b,ZS-RNE,MBB,Bo 105C,B105,S-322,H2T,,,,
4783a1,LN-OBV,MBB,Bo 105C,B105,S-680,H2T,,,,
499528,OK-EIH,MBB,Bo 105C,B105,S-175,H2T,,,,
3dd6b2,D-HBOC,MBB,Bo 105C,B105,S-325,H2T,,,,
e17301,LV-WLA,MBB,Bo 105C,B105,S-87,H2T,,,,
a59b44,N460T,MBB,Bo 105C,B105,S-110,H2T,,,,
e062d3,LV-FKS,MBB,Bo 105C,B105,S-455,H2T,,,,
49a42e,OK-IAN,MBB,Bo 105C,B105,S-415,H2T,,,,
3e0282,D-HSDM,MBB,Bo 105C,B105,S-126,H2T,,,,
3ddae9,D-HDDP,MBB,Bo 105C,B105,S-123,H2T,,,,
a3f2c5,N3533T,MBB,Bo 105C,B105,S-111,H2T,,,,
a3f2e8,N3534T,MBB,Bo 105C,B105,S-112,H2T,,,,
ac9a6f,N911AN,MBB,Bo 105C,B105,S-156,H2T,,,2021-07-31,1974-01-01
a70fcc,N554RP,MBB,Bo 105C,B105,S-111,H2T,,,2023-08-31,1973-01-01
abeddc,N868PH,MBB,Bo 105C,B105,S-668,H2T,,,2022-07-31,1987-01-01
ac9a6c,N911AK,MBB,Bo 105C,B105,S-63,H2T,,,2021-09-30,
a9f0ad,N74EZ,MBB,Bo 105C,B105,S-77,H2T,,,,1973-01-01
a2aac6,N271FX,MBB,Bo 105C,B105,S-718,H2T,,,2021-12-31,1988-01-01
7c81e2,VH-ZXW,MBB,Bo 105CB,B105,S-347,H2T,,,,
71ca07,HL9207,MBB,Bo 105CB-2,B105,S-390,H2T,,,,
3defad,D-HLAB,MBB,Bo 105CB-4,B105,S-264,H2T,,,,
3defac,D-HLAA,MBB,Bo 105CB-4,B105,S-266,H2T,,,,
c04a8b,C-GCFY,MBB,Bo 105CB-4,B105,S-733,H2T,CTG,,,
3defaf,D-HLAD,MBB,Bo 105CB-4,B105,S-276,H2T,,,,
0d017c,XA-NAF,MBB,Bo 105CBS,B105,S-760,H2T,,,,
00adf3,ZS-RJU,MBB,Bo 105CBS,B105,S-781,H2T,,,,
e034cd,LV-CSM,MBB,Bo 105CBS,B105,S-829,H2T,,,,
4612b2,OH-HCC,MBB,Bo 105CBS,B105,S-546,H2T,,,,
ac9a8a,N911BQ,MBB,Bo 105CBS,B105,S-784,H2T,,,,
00ade7,ZS-RJI,Padc,Bo 105CBS,B105,S9-405/P42,H2T,,,,
478499,LN-OSI,MBB,Bo 105CBS,B105,S-609,H2T,,,,
0093ce,ZS-HMJ,MBB,Bo 105CBS,B105,S-575,H2T,,,,
4612b3,OH-HCD,MBB,Bo 105CBS,B105,S-547,H2T,,,,
00ad97,ZS-RGG,MBB,Bo 105CBS,B105,S-52,H2T,,,,
a6e1da,N5421E,MBB,Bo 105CBS,B105,S-806,H2T,,,,1989-01-01
aae32a,N800PH,MBB,Bo 105CBS,B105,S-800,H2T,,,2023-02-28,1988-01-01
a01844,N105LC,MBB,Bo 105CBS,B105,S-789,H2T,,,2021-08-31,1988-01-01
a385b5,N326MH,MBB,Bo 105CBS,B105,S-803,H2T,,,2023-04-30,1988-01-01
739467,4X-BJA,MBB,Bo 105CBS-2,B105,S-600,H2T,,,,
a3ef77,N3526T,MBB,Bo 105CBS-2,B105,S-610,H2T,,,,
a2c71e,N2784F,MBB,Bo 105CBS-2,B105,S-621,H2T,,,,
a0043e,N10VH,MBB,Bo 105CBS-2,B105,S-619,H2T,,,,
c8214f,ZK-IMO,MBB,Bo 105CBS-2,B105,S-583,H2T,,,,
4059c4,G-ENVO,MBB,Bo 105CBS-4,B105,S.593,H2T,,2008-02-29,,1983-01-01
c820a4,RA-02543,MBB,Bo 105CBS-4,B105,S-797,H2T,,,,
ac9ac8,N911EB,MBB,Bo 105CBS-4,B105,S-812,H2T,,,,
ab446e,N825LF,MBB,Bo 105CBS-4,B105,S-796,H2T,,,,
c04abc,C-GCHV,MBB,Bo 105CBS-4,B105,S-641,H2T,CTG,,,
c04a88,C-GCFV,MBB,Bo 105CBS-4,B105,S-728,H2T,CTG,,,
3ddda9,D-HEER,MBB,Bo 105CBS-4,B105,S-827,H2T,,,,
a0184c,N105LL,MBB,Bo 105CBS-4,B105,S-771,H2T,,,,
c04a8a,C-GCFX,MBB,Bo 105CBS-4,B105,S-730,H2T,CTG,,,
8633be,JA6702,MBB,Bo 105CBS-4,B105,S-882,H2T,,,,
a01865,N105ML,MBB,Bo 105CBS-4,B105,S-838,H2T,,,,
46a201,SX-HPA,MBB,Bo 105CBS-4,B105,S-897,H2T,,,,
e0344f,LV-CQO,MBB,Bo 105CBS-4,B105,S-780,H2T,,,,
c04abb,C-GCHU,MBB,Bo 105CBS-4,B105,S-696,H2T,CTG,,,
c04a81,C-GCFO,MBB,Bo 105CBS-4,B105,S-715,H2T,CTG,,,
760928,AP-BIH,MBB,Bo 105CBS-4,B105,S-840,H2T,PJP,,,
c82026,ZK-HBD,MBB,Bo 105CBS-4,B105,S-851,H2T,,,,
ac9311,N90905,MBB,Bo 105CBS-4,B105,S-880,H2T,,,,
46a0b4,SX-HET,MBB,Bo 105CBS-4,B105,S-864,H2T,OLY,,,
71ce30,HL9630,MBB,Bo 105CBS-4,B105,S-891,H2T,,,,
e03585,LV-CVE,MBB,Bo 105CBS-4,B105,S-556,H2T,,,,
3dd3d9,D-HAMB,MBB,Bo 105CBS-4,B105,S-205,H2T,AMB,,,
7c6b56,VH-VHK,MBB,Bo 105CBS-4,B105,S-790,H2T,,,,
c81dab,ZK-HYT,MBB,Bo 105CBS-4,B105,S-824,H2T,,,,
863468,JA6752,MBB,Bo 105CBS-4,B105,S-901,H2T,,,,
00944d,ZS-HRG,MBB,Bo 105CBS-4,B105,S-742,H2T,,,,
ab29f0,N81832,MBB,Bo 105CBS-4,B105,S-828,H2T,,,,
a356d1,N314MS,MBB,Bo 105CBS-4,B105,S-772,H2T,,,,
46a202,SX-HPB,MBB,Bo 105CBS-4,B105,S-899,H2T,,,,
a62365,N495HL,MBB,Bo 105CBS-4,B105,S-817,H2T,,,,
c04abd,C-GCHW,MBB,Bo 105CBS-4,B105,S-681,H2T,CTG,,,
49d23d,OK-AAA,MBB,Bo 105CBS-4,B105,S-865,H2T,,,,
c820a3,ZK-IBO,MBB,Bo 105CBS-4,B105,S-801,H2T,,,,
498842,OK-BBB,MBB,Bo 105CBS-4,B105,S-878,H2T,,,,
ac9c60,N911WK,MBB,Bo 105CBS-4,B105,S-753,H2T,,,,
a086c2,N133EH,MBB,Bo 105CBS-4,B105,S-598,H2T,,,2022-10-31,1982-01-01
a0d977,N154EH,MBB,Bo 105CBS-4,B105,S-704,H2T,,,2022-10-31,1985-01-01
3de45d,D-HGSR,MBB,Bo 105CBS-5,B105,S-925,H2T,,,,
7c44d3,VH-NVP,MBB,Bo 105CBS-5,B105,S 921,H2T,,,,1996-01-01
7c44ce,VH-NVK,MBB,Bo 105CBS-5,B105,S 919,H2T,,,,1996-01-01
a96d8c,N7062X,MBB,Bo 105CBS-5,B105,S-793,H2T,,,2022-05-31,
acb244,N917SH,MBB,Bo 105CBS-5,B105,S-719,H2T,,,,
3e0229,D-HSAB,MBB,Bo 105CBS-5,B105,S-873,H2T,,,,
1409e4,RA-02532,MBB,Bo 105CBS-5,B105,S-914,H2T,,,,
71ce02,HL9602,MBB,Bo 105CBS-5,B105,S-12/905,H2T,,,,
0094ae,ZS-HUZ,MBB,Bo 105CBS-5,B105,S-767,H2T,,,,
1409e6,RA-02534,MBB,Bo 105CBS-5,B105,S-904,H2T,,,,
1409eb,RA-02539,MBB,Bo 105CBS-5,B105,S-634,H2T,,,,
e033cd,LV-COM,MBB,Bo 105CBS-5,B105,S-918,H2T,,,,
71ce12,HL9612,MBB,Bo 105CBS-5,B105,S-928,H2T,,,,
c82475,ZK-IEI,MBB,Bo 105CBS-5,B105,S-907,H2T,,,,
71ce18,HL9618,MBB,Bo 105CBS-5,B105,S-13,H2T,,,,
3e0263,D-HSCH,MBB,Bo 105CBS-5,B105,S-924,H2T,,,,
0094ad,ZS-HUY,MBB,Bo 105CBS-5,B105,S-773,H2T,,,,
3e0583,D-HTHB,MBB,Bo 105CBS-5,B105,S-866,H2T,,,,
3dd787,D-HBWH,MBB,Bo 105CBS-5,B105,S-929,H2T,,,,
3e0582,D-HTHA,MBB,Bo 105CBS-5,B105,S-858,H2T,,,,
48b44c,SP-NCM,MBB,Bo 105CBS-5,B105,S-875,H2T,,,,
71ce01,HL9601,MBB,Bo 105CBS-5,B105,S-741,H2T,,,,
3e07ca,D-HUDM,MBB,Bo 105CBS-5,B105,S-883,H2T,,,,
46a203,SX-HPC,MBB,Bo 105CBS-5,B105,S-909,H2T,,,,
3ddb22,D-HDFU,MBB,Bo 105CBS-5,B105,S-206,H2T,,,,
7c44cb,VH-NVH,MBB,Bo 105CBS-5,B105,S 923,H2T,,,,1996-01-01
7c44cc,VH-NVI,MBB,Bo 105CBS-5,B105,S927,H2T,,,,1997-01-01
4067dc,G-XBLD,MBB,Bo 105DB,B105,S-381,H2T,,2012-06-14,,1979-01-01
401156,G-BFYA,MBB,Bo 105DB,B105,S-321,H2T,,2015-06-09,,1977-01-01
401a7a,G-BATC,MBB,Bo 105DB,B105,S-45,H2T,,2010-12-09,,1972-01-01
403421,G-BTKL,MBB,Bo 105DB-4,B105,S-422,H2T,,2016-11-01,,1980-01-01
4035db,G-WAAS,MBB,Bo 105DBS-4,B105,S-138/911,H2T,,2012-12-14,,1992-01-01
40310f,G-TVAM,MBB,Bo 105DBS-4,B105,S-392,H2T,,2011-01-13,,1979-01-01
403056,G-SIVK,MBB,Bo 105DBS-4,B105,S-814,H2T,,2015-06-09,,1989-01-01
760912,AP-BHR,MBB,Bo 105DBS-4,B105,S-819,H2T,PJP,,,
c8171d,ZK-IKK,MBB,Bo 105DBS-4,B105,S-656,H2T,,,,
760927,AP-BIG,MBB,Bo 105DBS-4,B105,S4-677,H2T,PJP,,,
00ae49,ZS-RNC,MBB,Bo 105DBS-4,B105,S-421,H2T,,,,
484fec,PH-RWY,MBB,Bo 105DBS-4,B105,S-34/912,H2T,,,,
a17132,N192SJ,MBB,Bo 105DBS-4,B105,S-738,H2T,,,,
c06163,C-GKWW,MBB,Bo 105LS A3,B105,2058,H2T,,2009-02-09,,
4405a7,OE-XJJ,MBB,Bo 105LS A3,B105,2042,H2T,,,,
a5df15,N478CS,MBB,Bo 105LS A3,B105,2053,H2T,,,2021-07-31,1998-01-01
aaac01,N787RC,MBB,Bo 105LS A3,B105,2012,H2T,,,2023-04-30,1987-01-01
7c76dc,VH-XRI,MBB,Bo 105LS A3,B105,2041,H2T,,,,
00a65d,ZS-ONC,MBB,Bo 105LS A3,B105,2024,H2T,,,,
7c76da,VH-XRG,MBB,Bo 105LS A3,B105,2037,H2T,,,,
00a662,ZS-ONH,MBB,Bo 105LS A3,B105,2019,H2T,,,,
