icao_24bit_address,registration,manufacturer,model,aircraft_type,serial_number,description,operator,registered_at,registered_until,manufactured_at
0082d5,ZS-BBG,MD Helicopters,MD 530F,H500,0152FF,H1T,,,,
0093d0,ZS-HML,MD Helicopters,MD 500D,H500,1142D,H1T,,,,
00946a,ZS-HSJ,Kawasaki,369 HS,H500,84-0627S,H1T,,,,
0094bd,ZS-HVO,MD Helicopters,MD 500E,H500,0350E,H1T,,,,
00ad36,ZS-RCN,MD Helicopters,MD 500D,H500,49-0488D,H1T,,,,
00ad7e,ZS-RFH,MD Helicopters,MD 500E,H500,0520E,H1T,,,,
00ad7f,ZS-RFI,MD Helicopters,MD 500E,H500,0521E,H1T,,,,
00adb6,ZS-RHL,MD Helicopters,MD 600N,MD60,RN005,H1T,,,,
00af64,ZS-RXZ,MD Helicopters,MD 500E,H500,0107E,H1T,,,,
06a0c8,A7-HMC,MD Helicopters,MD 900 Explorer,EXPL,900-00126,H2T,,,,
0ae03c,MSP008,MD Helicopters,MD 600N,MD60,RN082,H1T,,,,
3003ce,I-ELLO,MD Helicopters,MD 500E,H500,0584E,H1T,,,,
3908d5,F-GCGV,MD Helicopters,MD 500D,H500,119-0623D,H1T,,,,
391711,F-GFYR,MD Helicopters,MD 500D,H500,39-0483D,H1T,,,,
391868,F-GGDI,MD Helicopters,MD 500D,H500,67-0149D,H1T,,,,
391873,F-GGDT,MD Helicopters,MD 500D,H500,67-0154D,H1T,,,,
391d65,F-GHLF,MD Helicopters,MD 500E,H500,0361E,H1T,,,,
3920e2,F-GIHC,MD Helicopters,MD 500E,H500,0376E,H1T,,,,
392577,F-GJLX,MD Helicopters,MD 500D,H500,91-1058D,H1T,,,,
3964cc,F-GZGM,MD Helicopters,MD 500E,H500,0309E,H1T,,,,
39892b,F-HCJL,MD Helicopters,MD 520N,MD52,LN301,H1T,,,,
39d5ec,F-HVPM,MD Helicopters,MD 500E,H500,0110E,H1T,,,,
3a0cca,F-ODGK,Kawasaki,369 HS,H500,85-0763S,H1T,,,,
3a1610,F-OFQQ,MD Helicopters,MD 500E,H500,0604E,H1T,,,,
3dd55e,D-HBBA,Kawasaki,369 HS,H500,34-0574S,H1T,,,,
3dd625,D-HBIR,MD Helicopters,MD 500D,H500,69-0538D,H1T,,,,
3dd785,D-HBWF,MD Helicopters,MD 900 Explorer,EXPL,900-00098,H2T,,,,
3de157,D-HFOX,MD Helicopters,MD 500D,H500,38-0289D,H1T,,,,
3de6b3,D-HHPR,Kawasaki,369 HS,H500,110-0270S,H1T,,,,
3de6e2,D-HHRM,MD Helicopters,MD 500E,H500,0357E,H1T,,,,
3de7ec,D-HIBS,MD Helicopters,MD 500D,H500,81-1035D,H1T,,,,
3de8f3,D-HILV,MD Helicopters,MD 500E,H500,0323E,H1T,,,,
3de9ae,D-HITA,MD Helicopters,MD 500E,H500,0281E,H1T,,,,
3def50,D-HKWM,MD Helicopters,MD 500E,H500,0051E,H1T,,,,
3df2b5,D-HMDX,MD Helicopters,MD 900 Explorer,EXPL,900-00036,H2T,AMB,,,
3df2ef,D-HMGD,MD Helicopters,MD 500E,H500,0556E,H1T,,,,
3df32a,D-HMIK,MD Helicopters,MD 500D,H500,127-0251D,H1T,,,,
3df437,D-HMST,MD Helicopters,MD 500E,H500,0282E,H1T,,,,
3df671,D-HNOR,Kawasaki,369 HS,H500,119-0213S,H1T,,,,
3df7ca,D-HOBY,MD Helicopters,MD 500D,H500,107-0215D,H1T,,,,
3df85c,D-HOHO,MD Helicopters,MD 500E,H500,0240E,H1T,,,,
3df8cf,D-HOLZ,MD Helicopters,MD 500E,H500,0146E,H1T,,,,
3df8d4,D-HOME,MD Helicopters,MD 500D,H500,129-0628D,H1T,,,,
3dfab7,D-HPET,MD Helicopters,MD 500D,H500,37-0095D,H1T,,,,
3dfb8e,D-HPNA,MD Helicopters,MD 900 Explorer,EXPL,900-00059,H2T,,,,
3dfb90,D-HPNC,MD Helicopters,MD 900 Explorer,EXPL,900-00064,H2T,,,,
3e0608,D-HTME,MD Helicopters,MD 500E,H500,0479E,H1T,,,,
3e0962,D-HUTE,MD Helicopters,MD 500E,H500,0203E,H1T,,,,
3e11c9,D-HXXX,MD Helicopters,MD 500E,H500,0322E,H1T,,,,
400a2c,G-SYPS,MD Helicopters,MD 900 Explorer,EXPL,900-00104,H2T,,2017-07-18,,2002-01-01
400d50,G-TCEE,MD Helicopters,MD 500C,H500,610326S,H1T,,2015-09-21,,1971-01-01
400e6b,G-MRRR,MD Helicopters,MD 500E,H500,0473E,H1T,,2015-01-09,,1991-01-01
400e7a,G-CMBS,MD Helicopters,MD 900 Explorer,EXPL,900-00111,H2T,,2017-07-17,,2005-01-01
400ff8,G-TRUE,MD Helicopters,MD 500E,H500,0490E,H1T,,2006-09-19,,1992-01-01
401161,G-HSOO,MD Helicopters,MD 500C,H500,1090208E,H1T,,2016-07-19,,1970-01-01
4012a6,B-HNT,MD Helicopters,MD 900 Explorer,EXPL,900-00102,H2T,,,,
4012a7,G-EHAA,MD Helicopters,MD 900 Explorer,EXPL,900-00079,H2T,,2010-05-07,,2000-01-01
4012a8,G-SASH,MD Helicopters,MD 900 Explorer,EXPL,900-00080,H2T,HLE,2017-09-25,,2000-01-01
4012a9,G-CEMS,MD Helicopters,MD 900 Explorer,EXPL,900-00089,H2T,,2017-09-25,,2001-01-01
4018b1,G-AYIA,MD Helicopters,MD 500C,H500,990120S,H1T,,1976-07-28,,1970-01-01
401f21,G-BIOA,MD Helicopters,MD 500D,H500,1200880D,H1T,,2000-03-30,,1980-01-01
40257d,G-LIBS,MD Helicopters,MD 500C,H500,430469S,H1T,,2004-08-03,,1973-01-01
4028d7,G-LINC,Kawasaki,369 HS,H500,43-0467S,H1T,,,,
402d00,G-OMDH,MD Helicopters,MD 500E,H500,0293E,H1T,,1990-04-06,,1988-01-01
402dbc,G-BPLZ,MD Helicopters,MD 500C,H500,910342S,H1T,,2006-04-25,,1972-01-01
402e83,G-HUKA,MD Helicopters,MD 500E,H500,0298E,H1T,,2002-02-12,,1988-01-01
402e84,G-BPYL,MD Helicopters,MD 500D,H500,1000796D,H1T,,1998-02-02,,1980-01-01
403007,G-SOOC,MD Helicopters,MD 500C,H500,1110354S,H1T,,2004-01-22,,1972-01-01
403074,G-BRTL,MD Helicopters,MD 500E,H500,0356E,H1T,,2010-11-10,,1989-01-01
40332b,G-SWEL,MD Helicopters,MD 500C,H500,610328S,H1T,,2001-12-07,,1971-01-01
4037c1,G-PETO,MD Helicopters,MD 500M Defender,H500,520214M,H1T,,2012-02-16,,1972-01-01
403d57,G-DIGS,MD Helicopters,MD 500C,H500,890105E,H1T,,2017-04-27,,1969-01-01
403df1,G-WPAS,MD Helicopters,MD 900 Explorer,EXPL,900-00053,H2T,,,,
403f72,G-MRAJ,MD Helicopters,MD 500E,H500,0010E,H1T,,1998-03-19,,1983-01-01
403fa9,G-SSCL,MD Helicopters,MD 500E,H500,0491E,H1T,,1998-04-25,,1991-01-01
404059,G-BXZK,MD Helicopters,MD 900 Explorer,EXPL,900-00057,H2T,,2017-07-18,,1998-01-01
40408a,G-KAAT,MD Helicopters,MD 900 Explorer,EXPL,900-00056,H2T,,2000-02-22,,1998-01-01
404168,G-HKHM,MD Helicopters,MD 500D,H500,711019D,H1T,,2014-01-15,,1981-01-01
404256,G-KSSH,MD Helicopters,MD 900 Explorer,EXPL,900-00062,H2T,,2007-09-21,,1998-01-01
404278,G-SUSX,MD Helicopters,MD 900 Explorer,EXPL,900-00065,H2T,,2017-07-17,,1999-01-01
4043ad,G-EHMS,MD Helicopters,MD 900 Explorer,EXPL,900-00068,H2T,,2000-07-12,,2000-01-01
4043f8,G-SASR,MD Helicopters,MD 900 Explorer,EXPL,900-00074,H2T,,2015-08-24,,2000-01-01
