icao_24bit_address,registration,manufacturer,model,aircraft_type,serial_number,description,operator,registered_at,registered_until,manufactured_at
3816ed,F-BFXN,Morane Saulnier,MS.885 Super Rallye,RALL,90,L1P,,,,
382644,F-BJSE,Morane Saulnier,MS.880A Rallye,RALL,02,L1P,,,,
382863,F-BKDD,Morane Saulnier,MS.880B Rallye Club,RALL,15,L1P,,,,
382875,F-BKDV,Morane Saulnier,MS.880B Rallye Club,RALL,69,L1P,,,,
382887,F-BKEH,Morane Saulnier,MS.885 Super Rallye,RALL,54,L1P,,,,
38288a,F-BKEK,Morane Saulnier,MS.885 Super Rallye,RALL,86,L1P,,,,
38288e,F-BKEO,Morane Saulnier,MS.885 Super Rallye,RALL,55,L1P,,,,
38288f,F-BKEP,Morane Saulnier,MS.885 Super Rallye,RALL,57,L1P,,,,
382890,F-BKEQ,Morane Saulnier,MS.885 Super Rallye,RALL,58,L1P,,,,
382893,F-BKET,Morane Saulnier,MS.885 Super Rallye,RALL,83,L1P,,,,
382941,F-BKKB,Morane Saulnier,MS.880B Rallye Club,RALL,78,L1P,,,,
382942,F-BKKC,Morane Saulnier,MS.880B Rallye Club,RALL,81,L1P,,,,
382943,F-BKKD,Morane Saulnier,MS.880B Rallye Club,RALL,102,L1P,,,,
382944,F-BKKE,Morane Saulnier,MS.880B Rallye Club,RALL,109,L1P,,,,
38294b,F-BKKL,Morane Saulnier,MS.880B Rallye Club,RALL,117,L1P,,,,
38294c,F-BKKM,Morane Saulnier,MS.880B Rallye Club,RALL,118,L1P,,,,
382953,F-BKKT,Morane Saulnier,MS.880B Rallye Club,RALL,104,L1P,,,,
382954,F-BKKU,Morane Saulnier,MS.886 Rallye 160,RALL,319,L1P,,,,
382960,F-BKLA,Morane Saulnier,MS.885 Super Rallye,RALL,95,L1P,,,,
382961,F-BKLB,Morane Saulnier,MS.885 Super Rallye,RALL,99,L1P,,,,
382962,F-BKLC,Morane Saulnier,MS.885 Super Rallye,RALL,84,L1P,,,,
382963,F-BKLD,Morane Saulnier,MS.885 Super Rallye,RALL,123,L1P,,,,
382964,F-BKLE,Morane Saulnier,MS.885 Super Rallye,RALL,124,L1P,,,,
38296a,F-BKLK,Morane Saulnier,MS.885 Super Rallye,RALL,131,L1P,,,,
38296d,F-BKLN,Morane Saulnier,MS.885 Super Rallye,RALL,138,L1P,,,,
382972,F-BKLS,Morane Saulnier,MS.885 Super Rallye,RALL,167,L1P,,,,
382973,F-BKLT,Morane Saulnier,MS.885 Super Rallye,RALL,156,L1P,,,,
382975,F-BKLV,Morane Saulnier,MS.885 Super Rallye,RALL,162,L1P,,,,
382979,F-BKLZ,Morane Saulnier,MS.885 Super Rallye,RALL,157,L1P,,,,
382a62,F-BKTC,Morane Saulnier,MS.880B Rallye Club,RALL,191,L1P,,,,
382a64,F-BKTE,Morane Saulnier,MS.880B Rallye Club,RALL,204,L1P,,,,
382a6a,F-BKTK,Morane Saulnier,MS.880B Rallye Club,RALL,215,L1P,,,,
382a77,F-BKTX,Morane Saulnier,MS.880B Rallye Club,RALL,288,L1P,,,,
382a79,F-BKTZ,Morane Saulnier,MS.880B Rallye Club,RALL,315,L1P,,,,
382a82,F-BKUC,Morane Saulnier,MS.885 Super Rallye,RALL,234,L1P,,,,
382a8c,F-BKUM,Morane Saulnier,MS.885 Super Rallye,RALL,239,L1P,,,,
382a94,F-BKUU,Morane Saulnier,MS.885 Super Rallye,RALL,268,L1P,,,,
382a98,F-BKUY,Morane Saulnier,MS.885 Super Rallye,RALL,354,L1P,,,,
382aea,F-BKXK,Morane Saulnier,MS.885 Super Rallye,RALL,323,L1P,,,,
382b01,F-BKYB,Morane Saulnier,MS.880B Rallye Club,RALL,308,L1P,,,,
382b07,F-BKYH,Morane Saulnier,MS.880B Rallye Club,RALL,310,L1P,,,,
382b0c,F-BKYM,Morane Saulnier,MS.880B Rallye Club,RALL,296,L1P,,,,
382b10,F-BKYQ,Morane Saulnier,MS.880B Rallye Club,RALL,299,L1P,,,,
382b11,F-BKYR,Morane Saulnier,MS.880B Rallye Club,RALL,306,L1P,,,,
382b13,F-BKYT,Morane Saulnier,MS.880B Rallye Club,RALL,297,L1P,,,,
382b14,F-BKYU,Morane Saulnier,MS.880B Rallye Club,RALL,330,L1P,,,,
382b19,F-BKYZ,Morane Saulnier,MS.880B Rallye Club,RALL,327,L1P,,,,
382b21,F-BKZB,Morane Saulnier,MS.880B Rallye Club,RALL,337,L1P,,,,
382b22,F-BKZC,Morane Saulnier,MS.880B Rallye Club,RALL,338,L1P,,,,
382b26,F-BKZG,Morane Saulnier,MS.880B Rallye Club,RALL,341,L1P,,,,
382c28,F-BLBI,Morane Saulnier,MS.885 Super Rallye,RALL,357,L1P,,,,
382c2b,F-BLBL,Morane Saulnier,MS.885 Super Rallye,RALL,370,L1P,,,,
382c2d,F-BLBN,Morane Saulnier,MS.885 Super Rallye,RALL,5352,L1P,,,,
382c35,F-BLBV,Morane Saulnier,MS.885 Super Rallye,RALL,383,L1P,,,,
382cc0,F-BLGA,Socata,MS.880B Rallye 180T Galérien,RALL,3303,L1P,,,,
382cc1,F-BLGB,Socata,MS.880B Rallye 180T Galérien,RALL,3304,L1P,,,,
382cc2,F-BLGC,Socata,MS.880B Rallye 180T Galérien,RALL,3305,L1P,,,,
382d0a,F-BLIK,Socata,MS.880B Rallye 180T Galérien,RALL,3306,L1P,,,,
382d0c,F-BLIM,Socata,MS.880B Rallye 180T Galérien,RALL,3308,L1P,,,,
382d0d,F-BLIN,Socata,MS.880B Rallye 180T Galérien,RALL,3309,L1P,,,,
382d0e,F-BLIO,Socata,MS.880B Rallye 180T Galérien,RALL,3310,L1P,,,,
382d0f,F-BLIP,Socata,MS.880B Rallye 180T Galérien,RALL,3311,L1P,,,,
382d10,F-BLIQ,Socata,MS.880B Rallye 180T Galérien,RALL,3312,L1P,,,,
382d12,F-BLIS,Socata,MS.880B Rallye 180T Galérien,RALL,3314,L1P,,,,
382d13,F-BLIT,Socata,MS.880B Rallye 180T Galérien,RALL,3315,L1P,,,,
382d15,F-BLIV,Socata,MS.880B Rallye 180T Galérien,RALL,3316,L1P,,,,
382e41,F-BLSB,Morane Saulnier,MS.885 Super Rallye,RALL,388,L1P,,,,
382e48,F-BLSI,Morane Saulnier,MS.892A Rallye Commodore 150,RALL,10453,L1P,,,,
382e4a,F-BLSK,Morane Saulnier,MS.892A Rallye Commodore 150,RALL,10450,L1P,,,,
382e4d,F-BLSN,Morane Saulnier,MS.892A Rallye Commodore 150,RALL,10476,L1P,,,,
382e4e,F-BLSO,Morane Saulnier,MS.892A Rallye Commodore 150,RALL,10485,L1P,,,,
382e50,F-BLSQ,Morane Saulnier,MS.892A Rallye Commodore 150,RALL,10454,L1P,,,,
382e51,F-BLSR,Morane Saulnier,MS.892A Rallye Commodore 150,RALL,10481,L1P,,,,
