icao_24bit_address,registration,manufacturer,model,aircraft_type,serial_number,description,operator,registered_at,registered_until,manufactured_at
a03f25,N115DV,Canadair,CF-116D Freedom Fighter,F5,116839,L2J,,,2021-08-31,1973-01-01
a0c859,N15FF,Canadair,CF-116D Freedom Fighter,F5,116833,L2J,,,2023-08-31,1974-01-01
a31b68,N3J,Northrop,F-5A Freedom Fighter,F5,N.7068,L2J,,,,
a3b533,N338TC,Northrop,T-38A Talon,T38,5301,L2J,,,2022-11-30,
a45980,N38FT,Northrop,T-38A Talon,T38,5228,L2J,BOE,,2023-08-31,1961-01-01
a45ab2,N38TZ,Northrop,T-38A Talon,T38,5881,L2J,BOE,,2023-01-31,1965-01-01
a46de3,N385AF,Northrop,T-38A Talon,T38,45678,L2J,,,2021-08-31,1964-01-01
a66557,N511BZ,Canadair,CF-116D Freedom Fighter,F5,2020,L2J,,,2022-09-30,1966-01-01
a6690e,N512BZ,Canadair,CF-116D Freedom Fighter,F5,2021,L2J,,,2022-09-30,
a70115,N550TA,Northrop,F-5E Tiger II,F5,75-0497,L2J,,,2023-08-31,
a70470,N551PJ,Northrop,F-5E Tiger II,F5,77-0333,L2J,,,2022-10-31,
a70827,N552PJ,Northrop,F-5F Tiger II,F5,77-0339,L2J,,,2022-10-31,
a78d7a,N586PC,Northrop,F-5B Freedom Fighter,F5,9006,L2J,,,2021-10-31,1966-01-01
a80e20,N618TA,Northrop,F-5E Tiger II,F5,75-0624,L2J,,,2023-08-31,
a811d7,N619TA,Northrop,F-5E Tiger II,F5,75-0625,L2J,,,2023-08-31,
a85d20,N638TC,Northrop,T-38A Talon,T38,5518,L2J,,,2022-11-30,1963-01-01
a8720a,N643TA,Northrop,F-5F Tiger II,F5,78-0803,L2J,,,2023-08-31,1978-01-01
a875c1,N644TA,Northrop,F-5F Tiger II,F5,79-1919,L2J,,,2023-08-31,
a87d2f,N646TA,Northrop,F-5E Tiger II,F5,77-1774,L2J,,,2023-08-31,1977-01-01
a880e6,N647TA,Northrop,F-5E Tiger II,F5,77-1777,L2J,,,2023-08-31,1977-01-01
a8849d,N648TA,Northrop,F-5E Tiger II,F5,78-0789,L2J,,,2023-08-31,
a89989,N653TA,Northrop,F-5E Tiger II,F5,78-0794,L2J,,,2023-08-31,
a8a4ae,N656TA,Northrop,F-5E Tiger II,F5,78-0797,L2J,,,2023-08-31,
a8eff7,N675TC,Northrop,F-5B Freedom Fighter,F5,8064,L2J,,,2021-09-30,1968-01-01
a91776,N685TC,Northrop,F-5A Freedom Fighter,F5,1009,L2J,,,2022-08-31,1968-01-01
a942aa,N696TA,Northrop,F-5E Tiger II,F5,75-0492,L2J,,,2023-08-31,1975-01-01
a94661,N697TA,Northrop,F-5E Tiger II,F5,74-1459,L2J,,,2023-08-31,1974-01-01
a94a18,N698TA,Northrop,F-5F Tiger II,F5,75-0735,L2J,,,2023-08-31,
a94dcf,N699TA,Northrop,F-5F Tiger II,F5,79-1918,L2J,,,2023-08-31,1979-01-01
a95153,N7R,Canadair,CF-116D Freedom Fighter,F5,2031,L2J,,,2022-06-30,1971-01-01
