icao_24bit_address,registration,manufacturer,model,aircraft_type,serial_number,description,operator,registered_at,registered_until,manufactured_at
110484,RA-1047K,Yakovlev,Yak-52,YK52,811212,L1P,,,,
119524,RA-1951K,Yakovlev,Yak-18T,Y18T,6201510,L1P,,,,
12dde5,RA-3446K,Yakovlev,Yak-50,YK50,853201,L1P,,,,
135004,RA-3499K,Yakovlev,Yak-12M,YK12,169655,L1P,,,,
140001,RA-00001,Yakovlev,Yak-112,Y112,0002,L1P,,,,
140003,RA-00003,Yakovlev,Yak-112,Y112,0003,L1P,,,,
1403f4,RA-01012,Yakovlev,Yak-52,YK52,888806,L1P,,,,
140448,RA-01096,Yakovlev,Yak-50,YK50,863211,L1P,,,,
1404fa,RA-01274,Yakovlev,Yak-55M,YK55,910103,L1P,,,,
14050e,RA-01294,Yakovlev,Yak-50,YK50,853104a,L1P,,,,
14078b,RA-1931K,Yakovlev,Yak-52,YK52,888901,L1P,,,,
1407d1,RA-02001,Yakovlev,Yak-54,YK54,02001,L1P,,,,
140820,RA-02080,Yakovlev,Yak-52,YK52,9010508,L1P,,,,
145401,RA-21505,Yakovlev,Yak-40K,YK40,9830159,L3J,GZP,,,
145402,RA-21506,Yakovlev,Yak-40K,YK40,9840259,L3J,BYL,,,
147fc2,RA-32706,Yakovlev,Yak-52,YK52,834010,L1P,,,,
14a556,RA-42326,Yakovlev,Yak-42D,YK42,4520424402154,L3J,SOV,,,
14a558,RA-42328,Yakovlev,Yak-42,YK42,4520421505058,L3J,SOV,,,
14a567,RA-42343,Yakovlev,Yak-42D,YK42,4520421708285,L3J,IZA,,,
14a571,RA-42353,Yakovlev,Yak-42D,YK42,4520424711396,L3J,,,,
14a574,RA-42356,Yakovlev,Yak-42D,YK42,4520422811400,L3J,SOV,,,
14a577,RA-42359,Yakovlev,Yak-42D,YK42,4520423811417,L3J,SOV,,,
14a57a,RA-42362,Yakovlev,Yak-42D,YK42,4520424811431,L3J,,,,
14a57d,RA-42365,Yakovlev,Yak-42D,YK42,4520424811447,L3J,,,,
14a580,RA-42368,Yakovlev,Yak-42D,YK42,4520422914166,L3J,,,,
14a582,RA-42370,Yakovlev,Yak-42D,YK42,4520422914203,L3J,,,,
14a585,RA-42373,Yakovlev,Yak-42D,YK42,4520423914323,L3J,,,,
14a58a,RA-42378,Yakovlev,Yak-42D,YK42,4520421014494,L3J,SOV,,,
14a58b,RA-42379,Yakovlev,Yak-42D,YK42,4520421014543,L3J,,,,
14a58c,RA-42380,Yakovlev,Yak-42D,YK42,4520422014549,L3J,IZA,,,
14a590,RA-42384,Yakovlev,Yak-42D,YK42,4520423016230,L3J,IZA,,,
14a591,RA-42385,Yakovlev,Yak-42D,YK42,4520423016309,L3J,,,,
14a594,RA-42388,Yakovlev,Yak-42D,YK42,4520424016510,L3J,KIL,,,1990-01-01
14a595,RA-42389,Yakovlev,Yak-42D,YK42,4520424016542,L3J,SOV,,,
14a5a1,RA-42401,Yakovlev,Yak-42D,YK42,4520421116567,L3J,,,,
14a5a2,RA-42402,Yakovlev,Yak-42D,YK42,4520422116583,L3J,IZA,,,
14a5a6,RA-42406,Yakovlev,Yak-42D,YK42,4520424116683,L3J,,,,
14a5a8,RA-42408,Yakovlev,Yak-42D,YK42,4520424116698,L3J,,,,
14a5ab,RA-42411,Yakovlev,Yak-42D,YK42,4520421219043,L3J,,,,
14a5ac,RA-42412,Yakovlev,Yak-42D,YK42,4520422219055,L3J,AKY,2008-01-01,,1992-01-01
14a5af,RA-42415,Yakovlev,Yak-42D,YK42,4520422219089,L3J,,,,
14a5b5,RA-42421,Yakovlev,Yak-42D,YK42,4520422303017,L3J,IZA,,,
14a5b7,RA-42423,Yakovlev,Yak-42D,YK42,4520424216606,L3J,CIG,,,
14a5b8,RA-42424,Yakovlev,Yak-42D,YK42,4520421302016,L3J,LUK,,,
14a5c0,RA-42432,Yakovlev,Yak-42D,YK42,4520424410016,L3J,SOV,,,
14a5c9,RA-42441,Yakovlev,Yak-42D,YK42,4520421402018,L3J,,,,
14a5cd,RA-42445,Yakovlev,Yak-42D,YK42,4520424116669,L3J,,,,
14a5ce,RA-42446,Yakovlev,Yak-42D,YK42,4520423308017,L3J,,,,
14a5d2,RA-42450,Yakovlev,Yak-42D,YK42,4520424601019,L3J,IZA,,,
14a5d4,RA-42452,Yakovlev,Yak-42D,YK42,4520424409016,L3J,,,,
14a5d7,RA-42455,Yakovlev,Yak-42D,YK42,4520424404018,L3J,IZA,,,
14a636,RA-42550,Yakovlev,Yak-42D,YK42,11140205,L3J,SOV,,,
14a63d,RA-42557,Yakovlev,Yak-42D,YK42,4520423302017,L3J,SOV,,,
14acda,RA-44250,Yakovlev,Yak-18T,Y18T,02-35,L1P,,,,
14acdb,RA-44251,Yakovlev,Yak-18T,Y18T,03-35,L1P,,,,
14acdc,RA-44252,Yakovlev,Yak-18T,Y18T,7200516,L1P,,,,
14acde,RA-44254,Yakovlev,Yak-18T,Y18T,8200716,L1P,,,,
14acdf,RA-44255,Yakovlev,Yak-18T,Y18T,04-35,L1P,,,,
14ace2,RA-44258,Yakovlev,Yak-18T,Y18T,6201711,L1P,,,,
14ace3,RA-44259,Yakovlev,Yak-18T,Y18T,7201713,L1P,,,,
14ace4,RA-44260,Yakovlev,Yak-18T,Y18T,04-32,L1P,,,,
14ace9,RA-44265,Yakovlev,Yak-18T,Y18T,06-35,L1P,,,,
14aceb,RA-44267,Yakovlev,Yak-18T,Y18T,20-34,L1P,,,,
14acec,RA-44268,Yakovlev,Yak-18T,Y18T,22202021923,L1P,,,,
14aced,RA-44269,Yakovlev,Yak-18T,Y18T,22202027950,L1P,,,,
14acef,RA-44271,Yakovlev,Yak-18T,Y18T,4200305,L1P,,,,
14acf0,RA-44272,Yakovlev,Yak-18T,Y18T,30-24,L1P,,,,
14acf1,RA-44273,Yakovlev,Yak-18T,Y18T,22202023023,L1P,,,,
14acf3,RA-44275,Yakovlev,Yak-18T,Y18T,22202023122,L1P,,,,
