icao_24bit_address,registration,manufacturer,model,aircraft_type,serial_number,description,operator,registered_at,registered_until,manufactured_at
00a2d6,S5-DET,Zlín,Z-50MU,Z50,0079,L1P,,,,
34360d,EC-LGS,Zlín,Z-50,Z50,0044,L1P,,,,
383210,F-BMQQ,Zlín,Z-326,Z26,890,L1P,,,,
383212,F-BMQS,Zlín,Z-326,Z26,894,L1P,,,,
383214,F-BMQU,Zlín,Z-326,Z26,900,L1P,,,,
383409,F-BNAJ,Zlín,Z-326,Z26,906,L1P,,,,
383594,F-BNMU,Zlín,Z-326,Z26,910,L1P,,,,
383598,F-BNMY,Zlín,Z-526A,Z26,1005,L1P,,,,
383631,F-BNRR,Zlín,Z-326,Z26,913,L1P,,,,
383a38,F-BORY,Zlín,Z-326,Z26,927,L1P,,,,
383dac,F-BPNM,Zlín,Z-326,Z26,928,L1P,,,,
383db1,F-BPNR,Zlín,Z-326,Z26,933,L1P,,,,
3845a0,F-BRNA,Zlín,Z-526,Z26,1063,L1P,,,,
3845a3,F-BRND,Zlín,Z-526,Z26,1080,L1P,,,,
391703,F-GFYD,Zlín,Z-526F,Z26,1176,L1P,,,,
391803,F-GGAD,Zlín,Z-526F,Z26,1177,L1P,,,,
391cf4,F-GHHU,Zlín,Z-526,Z26,1081,L1P,,,,
392915,F-AZRV,Zlín,Z-526F,Z26,1079,L1P,,,,
39396b,F-GOLL,Zlín,Z-726,Z26,1069,L1P,,,,
394e33,F-GTRT,Zlín,Z-526AFS,Z26,1227,L1P,,,,
398159,F-HAKZ,Zlín,Z-526F,Z26,1322,L1P,,,,
3d0635,D-EAPH,Zlín,Z-526F,Z26,1230,L1P,,,,
3d09a0,D-EBWY,Zlín,Z-226T,Z26,870,L1P,,,,
3d09ef,D-EBZZ,Zlín,Z-37A2,Z37P,12-21,L1P,,,,
3d0a09,D-ECAZ,Zlín,Z-526F,Z26,1128,L1P,,,,
3d0bf4,D-ECTW,Zlín,Z-143L,Z43,0024,L1P,,,,
3d0d1d,D-EDFH,Zlín,Z-142,Z42,0217,L1P,,,,
3d0df5,D-EDNP,Zlín,Z-43,Z43,0059,L1P,,,,
3d0dfd,D-EDNX,Zlín,Z-143L,Z43,0041,L1P,,,,
3d0e91,D-EDTP,Zlín,Z-526,Z26,1048,L1P,,,,
3d0f59,D-EEBH,Zlín,Z-526,Z26,1068,L1P,,,,
3d0f64,D-EEBS,Zlín,Z-526F,Z26,1151,L1P,,,,
3d0f6a,D-EEBY,Zlín,Z-526,Z26,1087,L1P,,,,
3d0fa3,D-EEED,Zlín,Z-526S,Z26,1033,L1P,,,,
3d0fe6,D-EEGS,Zlín,Z-526F,Z26,1153,L1P,,,,
3d11e4,D-EFAI,Zlín,Z-326,Z26,876,L1P,,,,
3d1520,D-EGGE,Zlín,Z-526,Z26,1062,L1P,,,,
3d1757,D-EHBZ,Zlín,Z-143L,Z43,0006,L1P,,,,
3d1928,D-EHTW,Zlín,Z-526,Z26,1055,L1P,,,,
3d1967,D-EHWH,Zlín,Z-50LS,Z50,0040,L1P,,,,
3d19e4,D-EIBC,Zlín,Z-142,Z42,0227,L1P,,,,
3d19f4,D-EIBS,Zlín,Z-42M,Z42,0081,L1P,,,,
3d1a3b,D-EIEL,Zlín,Z-526,Z26,1011,L1P,,,,
3d1aac,D-EIIU,Zlín,Z-142,Z42,0216,L1P,,,,
3d1c08,D-EIWE,Zlín,Z-143L,Z43,0007,L1P,,,,
3d1d83,D-EJKT,Zlín,Z-526F,Z26,1109,L1P,,,,
3d1d95,D-EJLL,Zlín,Z-526F,Z26,1113,L1P,,,,
3d1db0,D-EJMM,Zlín,Z-526F,Z26,1280,L1P,,,,
3d1fae,D-EKGC,Zlín,Z-43,Z43,0017,L1P,,,,
3d1fb9,D-EKGN,Zlín,Z-43,Z43,0022,L1P,,,,
3d2051,D-EKMJ,Zlín,Z-43,Z43,0027,L1P,,,,
3d2055,D-EKMN,Zlín,Z-43,Z43,0018,L1P,,,,
3d2056,D-EKMO,Zlín,Z-43,Z43,0012,L1P,,,,
3d2058,D-EKMQ,Zlín,Z-43,Z43,0026,L1P,,,,
3d205f,D-EKMX,Zlín,Z-43,Z43,0025,L1P,,,,
3d2061,D-EKMZ,Zlín,Z-43,Z43,0021,L1P,,,,
3d23bf,D-ELUD,Zlín,Z-126,Z26,841,L1P,,,,
3d24c8,D-EMEI,Zlín,Z-526L,Z26,1155,L1P,,,,
3d2840,D-ENMM,Zlín,Z-50LA,Z50,0027,L1P,,,,
3d2bb0,D-EOUI,Zlín,Z-37A2,Z37P,20-02,L1P,,,,
3d2c0e,D-EOXY,Zlín,Z-37A2,Z37P,19-03,L1P,,,,
3d2c29,D-EOYZ,Zlín,Z-37A2,Z37P,06-29,L1P,,,,
3d2db2,D-EPOC,Zlín,Z-526F,Z26,1146,L1P,,,,
3d3199,D-ERAN,Zlín,Z-143L,Z43,0014,L1P,,,,
3d326a,D-ERIO,Zlín,Z-326,Z26,902,L1P,,,,
3d329c,D-ERKM,Zlín,Z-142,Z42,0526,L1P,,,,
3d34ec,D-ESHG,Zlín,Z-50LS,Z50,0069,L1P,,,,
3d3592,D-ESNQ,Zlín,Z-142,Z42,0234,L1P,,,,
3d35d4,D-ESQE,Zlín,Z-37,Z37P,08-29,L1P,,,,
3d35e4,D-ESQU,Zlín,Z-37,Z37P,10-23,L1P,,,,
3d3614,D-ESSQ,Zlín,Z-37A,Z37P,18-07,L1P,,,,
3d361b,D-ESSX,Zlín,Z-37A,Z37P,17-26,L1P,,,,
3d3638,D-ESUA,Zlín,Z-37A,Z37P,18-17,L1P,,,,
3d363b,D-ESUD,Zlín,Z-37A,Z37P,18-22,L1P,,,,
3d363f,D-ESUH,Zlín,Z-37A,Z37P,18-26,L1P,,,,
3d3641,D-ESUJ,Zlín,Z-37A,Z37P,18-28,L1P,,,,
3d3652,D-ESVA,Zlín,Z-37A,Z37P,20-05,L1P,,,,
3d3653,D-ESVB,Zlín,Z-37A,Z37P,20-06,L1P,,,,
3d3658,D-ESVG,Zlín,Z-37A,Z37P,20-10,L1P,,,,
3d3659,D-ESVH,Zlín,Z-37A,Z37P,20-11,L1P,,,,
3d365a,D-ESVI,Zlín,Z-37A,Z37P,20-12,L1P,,,,
3d365b,D-ESVJ,Zlín,Z-37A,Z37P,20-13,L1P,,,,
3d365d,D-ESVL,Zlín,Z-37A,Z37P,20-15,L1P,,,,
3d3660,D-ESVO,Zlín,Z-37A,Z37P,20-18,L1P,,,,
3d3666,D-ESVU,Zlín,Z-37A,Z37P,20-24,L1P,,,,
3d366a,D-ESVY,Zlín,Z-37A,Z37P,20-28,L1P,,,,
3d367a,D-ESWO,Zlín,Z-37A,Z37P,17-05,L1P,,,,
3d3d20,D-EVKA,Zlín,Z-42M,Z42,0166,L1P,,,,
3d3ec2,D-EWAC,Zlín,Z-126,Z26,791,L1P,,,,
3d3eda,D-EWBA,Zlín,Z-526AFS,Z26,1301,L1P,,,,
3d3ee2,D-EWBI,Zlín,Z-142,Z42,0270,L1P,,,,
3d3f19,D-EWDL,Zlín,Z-242L,Z42,0657,L1P,,,,
3d3f31,D-EWEJ,Zlín,Z-226T,Z26,243,L1P,,,,
3d3f42,D-EWFA,Zlín,Z-43,Z43,0038,L1P,,,,
3d3f43,D-EWFB,Zlín,Z-43,Z43,0039,L1P,,,,
3d3f44,D-EWFC,Zlín,Z-43,Z43,0040,L1P,,,,
3d3f46,D-EWFE,Zlín,Z-43,Z43,0042,L1P,,,,
