"aircraft_type","name","engine_manufacturer","engine_model","certified_at"
"A19N","A319-151N","CFM International","CFM LEAP-1A24","2019-08-19"
"A19N","A319-153N","CFM International","CFM LEAP-1A26","2019-08-19"
"A19N","A319-171N","Pratt & Whitney","PW1124G1-JM","2019-08-19"
"A20N","A320-251N","CFM International","CFM LEAP-1A26","2016-05-31"
"A20N","A320-252N","CFM International","CFM LEAP-1A24","2018-01-17"
"A20N","A320-253N","CFM International","CFM LEAP-1A29","2019-08-19"
"A20N","A320-271N","Pratt & Whitney","PW1127G-JM","2015-11-24"
"A20N","A320-272N","Pratt & Whitney","PW1124G1-JM","2019-08-19"
"A20N","A320-273N","Pratt & Whitney","PW11279G-JM","2019-08-19"
"A21N","A321-251N","CFM International","CFM LEAP-1A32","2018-07-10"
"A21N","A321-252N","CFM International","CFM LEAP-1A30","2018-01-17"
"A21N","A321-253N","CFM International","CFM LEAP-1A33","2017-07-10"
"A21N","A321-271N","Pratt & Whitney","PW1133G-JM","2016-12-15"
"A21N","A321-272N","Pratt & Whitney","PW1130G-JM","2017-06-27"
"A306","A300B4-601","General Electric","CF6-80C2A1","1985-09-17"
"A306","A300B4-603","General Electric","CF6-80C2A3","1987-01-27"
"A306","A300B4-605R","General Electric","CF6-80C2A3 | CF6-80C2A5 | CF6-80C2A5F","1988-03-10"
"A306","A300B4-620","Pratt & Whitney","JT9D-7R4H1","1984-03-09"
"A306","A300B4-622","Pratt & Whitney","PW4158","1989-03-06"
"A306","A300B4-622R","Pratt & Whitney","PW4158","1988-11-25"
"A306","A300C4-605R","General Electric","CF6-80C2A5","1999-07-02"
"A306","A300C4-620","Pratt & Whitney","JT9D-7R4H1","1984-05-17"
"A306","A300F4-605R","General Electric","CF6-80C2A5 | CF6-80C2A5F","1994-04-19"
"A306","A300F4-622R","Pratt & Whitney","PW4158","2000-06-20"
"A30B","A300B1","General Electric","CF6-50A | CF6-50C","1974-12-11"
"A30B","A300B2-1A","General Electric","CF6-50A","1974-03-15"
