"aircraft_type","picture","source","author_name","author_profile","license"
"A002","aircraft_type_pictures/A002.jpg","https://commons.wikimedia.org/wiki/File:Gyroplane_Irkut_A002M.jpg","Разработчик",NULL,"CC-BY-SA-1.0"
"A1","aircraft_type_pictures/A1.jpg","https://www.flickr.com/photos/clemensv/7911148090/","Clemens Vasters","https://www.flickr.com/photos/clemensv/","CC-BY-2.0"
"A10","aircraft_type_pictures/A10.jpg","https://www.flickr.com/photos/my_public_domain_photos/35452059444/","Robert Sullivan","https://www.flickr.com/photos/my_public_domain_photos/","CC0-1.0"
"A109","aircraft_type_pictures/A109.jpg","https://www.flickr.com/photos/sjbyles/49825032637/","Steven Byles","https://www.flickr.com/photos/sjbyles/","CC-BY-SA-2.0"
"A119","aircraft_type_pictures/A119.jpg","https://www.flickr.com/photos/95512093@N05/27654732096/","James","https://www.flickr.com/photos/95512093@N05/","CC-BY-SA-2.0"
"A122","aircraft_type_pictures/A122.jpg","https://commons.wikimedia.org/wiki/File:Aerotec122_zarapa.jpg","Gabriel Toledano","https://en.wikipedia.org/wiki/pt:User:Gabriel_Toledano","CC0-1.0"
"A124","aircraft_type_pictures/A124.jpg","https://www.flickr.com/photos/fireballsg72/5623381311/","ken H","https://www.flickr.com/photos/fireballsg72/","CC-BY-SA-2.0"
"A129","aircraft_type_pictures/A129.jpg","https://www.flickr.com/photos/109661044@N07/26847417363/","Rob Schleiffert","https://www.flickr.com/photos/109661044@N07/","CC-BY-SA-2.0"
"A139","aircraft_type_pictures/A139.jpg","https://www.flickr.com/photos/wiltshirespotter/14684727542/","Pete Webber","https://www.flickr.com/photos/wiltshirespotter/","CC-BY-SA-2.0"
"A140","aircraft_type_pictures/A140.jpg","https://www.flickr.com/photos/130961247@N06/17270753820/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"A148","aircraft_type_pictures/A148.jpg","https://www.flickr.com/photos/130961247@N06/37680523701/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"A149","aircraft_type_pictures/A149.jpg","https://www.flickr.com/photos/ajw1970/11988205073/","Alan Wilson","https://www.flickr.com/photos/ajw1970/","CC-BY-SA-2.0"
"A158","aircraft_type_pictures/A158.jpg","https://www.flickr.com/photos/130961247@N06/15833810944/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"A169","aircraft_type_pictures/A169.jpg","https://www.flickr.com/photos/wiltshirespotter/14284645724/","Pete Webber","https://www.flickr.com/photos/wiltshirespotter/","CC-BY-SA-2.0"
"A178","aircraft_type_pictures/A178.jpg","https://www.flickr.com/photos/130961247@N06/43377403255/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"A189","aircraft_type_pictures/A189.jpg","https://www.flickr.com/photos/wiltshirespotter/14098501588/","Pete Webber","https://www.flickr.com/photos/wiltshirespotter/","CC-BY-SA-2.0"
