icao_code,iata_code,manufacturer,name,description,wtc,service_ceiling,absolute_ceiling,approach_speed,cruise_speed,maximum_speed,fuselage_height,fuselage_width,height,length,wing_area,wingspan,main_rotor_area,main_rotor_diameter,fuel_capacity,operating_range,mlw,mrw,mtow,mzfw,type_certificate
A002,,Irkut,A-002,G1P,L,,,,,,,,,,,,,,,,,,,,
A1,,Douglas,A-1 Skyraider,L1P,M,28500,,,172,280,,,4.78,11.84,37.19,15.25,,,1400,1144,,,,,
A10,,Fairchild,A-10 Thunderbolt II,L2J,M,,,,,,,,,,,,,,,,,,,,
A109,,AgustaWestland,A.109,H2T,L,,,,,,,,,,,,,,,,,,,,
A119,,AgustaWestland,AW119,H1T,L,,,,,,,,,,,,,,,,,,,,
A122,,Aerotec,A-122 Uirapuru,L1P,L,,,,,,,,,,,,,,,,,,,,
A124,A4F,Antonov,An-124 Ruslan,L4J,H,,,124,,,,,,,,73.15,,,,,,,,,
A129,,AgustaWestland,A.129,H2T,L,,,,,,,,,,,,,,,,,,,,
A139,,AgustaWestland,AW139,H2T,L,,,,,,,,,,,,,,,,,,,,
A140,A40,Antonov,An-140,L2T,M,,,230,,,,,,,,25.30,,,,,,,,,
A148,A81,Antonov,An-148,L2J,M,,,,,,,,,,,,,,,,,,,,
A149,,AgustaWestland,AW149,H2T,M,,,,,,,,,,,,,,,,,,,,
A158,A58,Antonov,An-158,L2J,M,,,,,,,,,,,,,,,,,,,,
A169,,AgustaWestland,AW169,H2T,L,,,,,,,,,,,,,,,,,,,,
A178,,Antonov,An-178,L2J,M,,,,,,,,,,,,,,,,,,,,
A189,,AgustaWestland,AW189,H2T,M,,,,,,,,,,,,,,,,,,,,
A19,,Aeroprakt,A-19,L1P,L,,,,,,,,,,,,,,,,,,,,
A19N,31N,Airbus,A319neo,L2J,M,,39100,,,,3.95,3.95,11.76,33.84,,34.10,,,,,62800,64400,64000,58800,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa064
A20,,Douglas,A-20 Havoc,L2P,M,23700,,,240,282,,,5.53,14.63,43.10,18.68,,,1500,821,,,,,
A20N,32N,Airbus,A320neo,L2J,M,,39100,,,,3.95,3.95,11.76,37.57,,34.10,,,,,66300,73900,73500,62800,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa064
A21,,Aeroprakt,A-21 Solo,L1P,L,,,,,,,,,,,,,,,,,,,,
A21N,32Q,Airbus,A321neo,L2J,M,,39100,,,,3.95,3.95,11.76,44.51,,34.10,,,,,73500,83400,83000,69500,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa064
A22,,Sadler,A-22 Piranha,L1P,L,,,,,,,,,,,,,,,,,,,,
A225,A25,Antonov,An-225 Mriya,L6J,H,,,,,,,,,,,,,,,,,,,,
A23,,Aeroprakt,A-23 Dragon,L1P,L,,,,,,,,,,,,,,,,,,,,
A25,,Aeroprakt,A-25 Breeze,A1P,L,,,,,,,,,,,,,,,,,,,,
A27,,Aeroprakt,A-27,L1P,L,,,,,,,,,,,,,,,,,,,,
A270,,Ibis Aerospace,Ae 270 Ibis,L1T,L,,,,,,,,,,,,,,,,,,,,
A29,,Avantage,A-29,L1P,L,10000,12000,,80,100,,,3.00,6.60,,10.10,,,,,,,800,,
A3,,Douglas,A-3 Skywarrior,L2J,M,41000,,,520,530,,,6.95,23.27,75.40,22.10,,,,1825,,,37195,,
