"airport","description","frequency","type"
"AGGH","INFO","118.1","AFIS"
"AGGH","INFO","342.5","INFO"
"AGGM","INFO","118.1","AFIS"
"AGGM","RDO","118.1","RDO"
"ANYN","FIC","118.1","A/G"
"AYBK","LAE RDO","127.1","RDO"
"AYDU","MORESBY CNTR","124.9","FSS"
"AYGA","TWR","118.7","TWR"
"AYGN","MORESBY CNTR","124.1","FSS"
"AYHK","NADZAB CNTR","127.1","FSS"
"AYKM","MORESBY","120.9","FSS"
"AYKV","LAE","127.1","FSS"
"AYMD","ATIS","127.8","ATIS"
"AYMD","MADANG CNTR","120.1","FSS"
"AYMD","TWR","118.1","TWR"
"AYMH","ATIS","128.4","ATIS"
"AYMH","HAGEN TWR","120.5","TWR"
"AYMO","AWIS","129.35","AWOS"
"AYMO","MADANG","120.1","FSS"
"AYNZ","APP","118.6","APP"
"AYNZ","ATIS","128.6","ATIS"
"AYNZ","LAE RDO","120.7","RDO"
"AYNZ","TWR","121.7","TWR"
"AYPY","ATIS","117","ATIS"
"AYPY","JACKSONS APP","125.8","APP"
"AYPY","JACKSONS GND","121.7","GND"
"AYPY","JACKSONS TWR","118.1","TWR"
"AYTK","LAE RDO","127.1","FSS"
"AYTK","MTAF","120.9","MISC"
"AYTK","TWR","118.2","TWR"
"AYVN","MADANG FIS","126.7","FSS"
"AYWK","ATIS","128.2","ATIS"
"AYWK","MADANG CNTR","126.7","FSS"
"AYWK","WEWAK TRAFFIC","121.7","CTAF"
"BGBW","AFIS","119.1","AFIS"
"BGCO","AFIS","118.1","AFIS"
"BGGH","AFIS","119.1","AFIS"
"BGQQ","AFIS","118.1","AFIS"
"BGSF","APP/DEP","126.2","A/D"
"BGSF","RDO","121.3","RDO"
"BGSF","TWR","118.3","TWR"
"BGTL","APP","134.1","APP"
"BGTL","BASE OPS","131.1","OPS"
"BGTL","CLNC DEL","119.9","CLD"
"BGTL","EMERG CW FREQUENCY","836.4","A/G"
"BGTL","GND","119.9","GND"
"BGTL","TWR","126.2","TWR"
"BGUK","AFIS","118.1","AFIS"
"BIAR","RADAR","118.7","RDR"
"BIAR","REYKJAVIK ACC","119.7","ACC"
"BIAR","TWR","118.2","TWR"
"BIBD","INFO","119.1","AFIS"
"BIBD","REYKJAVIK ACC","119.7","ACC"
"BIEG","RDO","119.4","AFIS"
"BIEG","REYKJAVIK ACC","119.7","ACC"
"BIHN","INFO","118.1","AFIS"
"BIHN","REYKJAVIK CON","119.7","ACC"
"BIHU","INFO","118.1","AFIS"
"BIHU","REYKJAVIK ACC","119.7","ACC"
"BIIS","INFO","118.8","AFIS"
"BIIS","REYKJAVIK ACC","119.7","ACC"
"BIKF","AIR GND","131.9","A/G"
"BIKF","APP","119.3","APP"
"BIKF","ATIS","128.3","ATIS"
"BIKF","BASE OPS","129","OPS"
"BIKF","DEP","119.3","DEP"
"BIKF","GND","121.9","GND"
"BIKF","PMSV  METRO","125","PMSV"
"BIKF","TWR","118.3","TWR"
"BIMS","REYKJAVIK TOWER","118","TWR"
"BIMS","TUNGUBAKKI","118.2","AFIS"
"BIRK","APP/DEP","119","A/D"
"BIRK","ATIS","128.1","ATIS"
"BIRK","GND","121.7","GND"
"BIRK","RDO","126.55","RDO"
"BIRK","TWR","118","TWR"
"BISA","TRAFIC","118.1","TRFC"
"BISS","TRAFFIC","119.9","TRFC"
"BITN","INFO","118.1","AFIS"
"BITN","REYKJAVIK ACC","119.7","ACC"
"BIVM","REYKJAVIK ACC","119.7","ACC"
"BIVM","REYKJAVIK DEP","119","DEP"
"BIVM","TWR","118.5","TWR"
"BKPR","APP","118.775","APP"
"BKPR","GND","118","GND"
"BKPR","RAMP OPR","136.8","RMP"
"BKPR","TWR","120.125","TWR"
"CYAG","ATF/UNICOM","122.8","UNIC"
"CYAG","AWOS","120","AWOS"
"CYAG","MINNEAPOLIS CNTR","120.9","CNTR"
