"airport","year","domestic_departures","international_departures","domestic_destinations","international_destinations"
"AGGA","2003","631","0","3","0"
"AGGA","2004","533","0","3","0"
"AGGA","2005","506","0","2","0"
"AGGA","2006","531","0","1","0"
"AGGA","2007","574","0","1","0"
"AGGA","2008","567","0","1","0"
"AGGA","2009","622","0","1","0"
"AGGA","2010","466","0","1","0"
"AGGA","2011","421","0","1","0"
"AGGA","2012","53","0","1","0"
"AGGA","2013","317","0","2","0"
"AGGA","2014","19","0","2","0"
"AGGA","2016","199","0","3","0"
"AGGA","2017","373","0","3","0"
"AGGA","2018","370","0","4","0"
"AGGA","2019","445","0","2","0"
"AGGB","2003","208","0","2","0"
"AGGB","2004","204","0","2","0"
"AGGB","2005","141","0","2","0"
"AGGB","2006","96","0","2","0"
"AGGB","2007","104","0","2","0"
"AGGB","2008","128","0","2","0"
"AGGB","2009","115","0","2","0"
"AGGB","2010","117","0","2","0"
"AGGB","2011","105","0","2","0"
"AGGB","2012","104","0","2","0"
"AGGB","2013","109","0","2","0"
"AGGB","2014","171","0","2","0"
"AGGB","2015","211","0","2","0"
"AGGB","2016","206","0","2","0"
"AGGB","2017","209","0","2","0"
"AGGB","2018","209","0","2","0"
"AGGB","2019","209","0","2","0"
"AGGC","2003","104","0","1","0"
"AGGC","2004","157","0","1","0"
"AGGC","2005","136","0","2","0"
"AGGC","2006","119","0","1","0"
"AGGC","2007","141","0","1","0"
"AGGC","2008","135","0","1","0"
"AGGC","2009","157","0","3","0"
"AGGC","2010","169","0","1","0"
"AGGC","2011","173","0","2","0"
"AGGC","2012","206","0","2","0"
"AGGC","2013","200","0","4","0"
"AGGC","2014","217","0","2","0"
"AGGC","2015","294","0","3","0"
"AGGC","2016","304","0","4","0"
"AGGC","2017","315","0","3","0"
"AGGC","2018","321","0","2","0"
"AGGC","2019","322","0","1","0"
"AGGE","2003","103","0","1","0"
"AGGE","2004","95","0","1","0"
"AGGE","2005","49","0","1","0"
"AGGE","2006","50","0","2","0"
"AGGE","2007","52","0","1","0"
"AGGE","2008","53","0","2","0"
"AGGE","2009","52","0","1","0"
"AGGE","2010","52","0","1","0"
"AGGE","2011","35","0","1","0"
"AGGE","2012","50","0","1","0"
"AGGE","2013","65","0","2","0"
"AGGE","2014","37","0","2","0"
"AGGE","2015","102","0","4","0"
"AGGE","2016","107","0","3","0"
"AGGE","2017","104","0","2","0"
"AGGE","2018","105","0","3","0"
"AGGE","2019","104","0","3","0"
"AGGF","2003","148","0","1","0"
"AGGF","2004","126","0","1","0"
"AGGF","2005","135","0","1","0"
"AGGF","2006","130","0","1","0"
"AGGF","2007","105","0","1","0"
"AGGF","2008","123","0","1","0"
"AGGF","2009","108","0","2","0"
"AGGF","2010","188","0","2","0"
"AGGF","2011","148","0","2","0"
"AGGF","2012","157","0","2","0"
"AGGF","2013","157","0","2","0"
"AGGF","2014","166","0","2","0"
"AGGF","2015","227","0","3","0"
"AGGF","2016","272","0","3","0"
"AGGF","2017","261","0","2","0"
"AGGF","2018","269","0","4","0"
"AGGF","2019","260","0","1","0"
"AGGH","2003","2465","255","18","4"
"AGGH","2004","2206","441","21","11"
"AGGH","2005","2213","599","18","10"
"AGGH","2006","2471","643","21","13"
"AGGH","2007","2585","814","19","11"
"AGGH","2008","2415","1141","21","12"
"AGGH","2009","2477","1012","23","12"
"AGGH","2010","2517","853","21","11"
"AGGH","2011","2867","850","20","11"
"AGGH","2012","2404","754","20","12"
"AGGH","2013","2564","700","19","10"
"AGGH","2014","2544","704","17","8"
"AGGH","2015","2956","976","17","11"
"AGGH","2016","3156","1012","17","12"
"AGGH","2017","3301","1110","17","12"
"AGGH","2018","3457","1146","19","12"
"AGGH","2019","3834","1191","18","12"
"AGGK","2003","178","0","2","0"
"AGGK","2004","196","0","3","0"
"AGGK","2005","212","0","3","0"
"AGGK","2006","267","0","4","0"
"AGGK","2007","208","0","3","0"
"AGGK","2008","238","0","4","0"
"AGGK","2009","321","0","5","0"
"AGGK","2010","262","0","5","0"
"AGGK","2011","210","0","3","0"
"AGGK","2012","207","0","3","0"
"AGGK","2013","207","0","4","0"
"AGGK","2014","222","0","5","0"
"AGGK","2015","267","0","4","0"
"AGGK","2016","310","0","4","0"
"AGGK","2017","314","0","5","0"
"AGGK","2018","314","0","4","0"
"AGGK","2019","313","0","4","0"
"AGGL","2003","52","0","1","0"
"AGGL","2004","74","0","2","0"
"AGGL","2005","56","0","2","0"
"AGGL","2006","85","0","2","0"
"AGGL","2007","103","0","2","0"
"AGGL","2008","136","0","2","0"
"AGGL","2009","148","0","2","0"
"AGGL","2010","108","0","2","0"
"AGGL","2011","105","0","1","0"
"AGGL","2012","100","0","1","0"
"AGGL","2013","106","0","2","0"
"AGGL","2014","105","0","2","0"
"AGGL","2015","105","0","1","0"
"AGGL","2016","110","0","1","0"
"AGGL","2017","109","0","1","0"
"AGGL","2018","111","0","1","0"
"AGGL","2019","112","0","2","0"
"AGGM","2003","599","0","4","0"
"AGGM","2004","703","0","5","0"
"AGGM","2005","617","0","4","0"
"AGGM","2006","518","0","5","0"
"AGGM","2007","705","0","6","0"
"AGGM","2008","776","0","5","0"
"AGGM","2009","818","0","7","0"
"AGGM","2010","618","0","4","0"
"AGGM","2011","662","0","3","0"
"AGGM","2012","650","0","3","0"
"AGGM","2013","807","0","6","0"
"AGGM","2014","799","0","5","0"
"AGGM","2015","887","0","6","0"
"AGGM","2016","884","0","5","0"
"AGGM","2017","866","0","5","0"
"AGGM","2018","906","0","5","0"
"AGGM","2019","953","0","7","0"
"AGGN","2003","846","0","6","0"
"AGGN","2004","992","16","8","2"
"AGGN","2005","856","0","7","0"
"AGGN","2006","888","0","7","0"
"AGGN","2007","990","0","6","0"
"AGGN","2008","914","0","7","0"
"AGGN","2009","954","0","11","0"
"AGGN","2010","1080","0","8","0"
"AGGN","2011","994","0","5","0"
"AGGN","2012","1159","0","7","0"
"AGGN","2013","796","0","8","0"
"AGGN","2014","1189","0","7","0"
"AGGN","2015","1420","0","7","0"
"AGGN","2016","1424","0","8","0"
"AGGN","2017","1524","0","7","0"
"AGGN","2018","1536","0","6","0"
"AGGN","2019","1567","0","7","0"
"AGGO","2003","52","0","1","0"
"AGGO","2004","60","0","2","0"
"AGGO","2005","45","0","2","0"
"AGGO","2006","51","0","1","0"
"AGGO","2007","52","0","1","0"
"AGGO","2008","10","0","1","0"
"AGGO","2012","1","0","1","0"
"AGGO","2013","3","0","2","0"
"AGGO","2014","7","0","2","0"
"AGGO","2015","10","0","2","0"
"AGGO","2016","10","0","2","0"
"AGGO","2017","4","0","1","0"
"AGGO","2018","10","0","1","0"
"AGGO","2019","5","0","2","0"
"AGGP","2003","52","0","1","0"
"AGGP","2004","9","0","1","0"
"AGGP","2010","0","34","0","1"
"AGGP","2018","72","0","4","0"
"AGGP","2019","103","0","2","0"
"AGGR","2003","104","0","1","0"
"AGGR","2004","105","0","2","0"
"AGGR","2005","104","0","2","0"
"AGGR","2006","85","0","2","0"
"AGGR","2007","104","0","2","0"
"AGGR","2008","127","0","2","0"
"AGGR","2009","114","0","2","0"
"AGGR","2010","117","0","2","0"
"AGGR","2011","105","0","2","0"
"AGGR","2012","104","0","2","0"
"AGGR","2013","118","0","2","0"
"AGGR","2014","171","0","2","0"
"AGGR","2015","241","0","2","0"
"AGGR","2016","248","0","2","0"
"AGGR","2017","298","0","2","0"
"AGGR","2018","313","0","2","0"
"AGGR","2019","315","0","2","0"
"AGGT","2003","52","0","1","0"
"AGGT","2004","52","0","1","0"
"AGGT","2005","51","0","1","0"
"AGGT","2006","52","0","1","0"
"AGGT","2007","53","0","1","0"
"AGGT","2008","56","0","2","0"
"AGGT","2009","104","0","2","0"
"AGGT","2010","94","0","3","0"
"AGGT","2011","105","0","2","0"
"AGGT","2012","104","0","2","0"
"AGGT","2013","105","0","2","0"
"AGGT","2014","105","0","2","0"
"AGGT","2015","105","0","2","0"
"AGGT","2016","107","42","2","2"
"AGGT","2017","104","0","2","0"
"AGGT","2018","104","0","3","0"
"AGGT","2019","105","0","2","0"
"AGGU","2004","8","0","1","0"
"AGGU","2006","70","0","1","0"
"AGGU","2007","96","0","1","0"
"AGGU","2008","17","0","1","0"
"AGGU","2009","61","0","2","0"
"AGGU","2010","191","0","1","0"
"AGGU","2011","156","0","1","0"
"AGGU","2012","157","0","1","0"
"AGGU","2013","155","0","2","0"
"AGGU","2014","155","0","2","0"
"AGGU","2015","160","0","2","0"
"AGGU","2016","185","0","3","0"
"AGGU","2017","196","0","5","0"
"AGGU","2018","202","0","5","0"
"AGGU","2019","207","0","2","0"
"AGGV","2003","45","0","1","0"
"AGGV","2005","5","0","1","0"
"AGGV","2006","52","0","1","0"
"AGGV","2007","53","0","2","0"
"AGGV","2008","91","0","2","0"
"AGGV","2009","104","0","2","0"
"AGGV","2010","154","0","3","0"
"AGGV","2011","192","0","1","0"
"AGGV","2012","214","0","2","0"
"AGGV","2013","304","0","2","0"
"AGGV","2014","307","0","2","0"
"AGGV","2015","361","0","3","0"
"AGGV","2016","375","0","4","0"
"AGGV","2017","344","0","4","0"
"AGGV","2018","325","0","4","0"
"AGGV","2019","410","0","5","0"
"AYBK","2003","418","0","4","0"
"AYBK","2004","427","13","5","2"
"AYBK","2005","431","0","4","0"
"AYBK","2006","472","0","4","0"
"AYBK","2007","573","0","4","0"
"AYBK","2008","471","0","4","0"
"AYBK","2009","308","0","3","0"
"AYBK","2010","292","0","3","0"
"AYBK","2011","368","0","2","0"
"AYBK","2012","481","0","4","0"
"AYBK","2013","715","0","6","0"
"AYBK","2014","765","0","6","0"
"AYBK","2015","800","0","7","0"
"AYBK","2016","612","0","5","0"
"AYBK","2017","870","0","6","0"
"AYBK","2018","904","0","6","0"
"AYBK","2019","677","0","6","0"
"AYDU","2003","958","0","5","0"
"AYDU","2004","1275","0","5","0"
"AYDU","2005","904","0","6","0"
"AYDU","2006","730","0","7","0"
"AYDU","2007","998","0","7","0"
"AYDU","2008","836","0","5","0"
"AYDU","2009","834","0","7","0"
"AYDU","2010","769","0","7","0"
"AYDU","2011","700","0","5","0"
"AYDU","2012","840","0","4","0"
"AYDU","2013","774","0","4","0"
"AYDU","2014","676","0","4","0"
"AYDU","2015","673","0","3","0"
"AYDU","2016","595","0","3","0"
"AYDU","2017","553","0","3","0"
"AYDU","2018","425","0","3","0"
"AYDU","2019","415","0","3","0"
"AYGA","2003","2694","0","8","0"
"AYGA","2004","2851","0","6","0"
"AYGA","2005","2156","0","7","0"
"AYGA","2006","2329","0","6","0"
"AYGA","2007","2313","0","4","0"
"AYGA","2008","1877","0","7","0"
"AYGA","2009","897","0","4","0"
"AYGA","2010","1078","0","4","0"
"AYGA","2011","1217","0","3","0"
"AYGA","2012","1308","0","4","0"
"AYGA","2013","1162","0","4","0"
"AYGA","2014","1934","0","5","0"
"AYGA","2015","1715","0","5","0"
"AYGA","2016","1368","0","4","0"
"AYGA","2017","1375","0","4","0"
"AYGA","2018","1445","0","2","0"
"AYGA","2019","1455","0","2","0"
"AYHK","2003","1971","0","8","0"
"AYHK","2004","1960","0","8","0"
"AYHK","2005","1977","0","8","0"
"AYHK","2006","1966","0","8","0"
"AYHK","2007","1753","0","8","0"
"AYHK","2008","1441","0","9","0"
"AYHK","2009","800","0","3","0"
"AYHK","2010","694","0","3","0"
"AYHK","2011","1105","0","5","0"
"AYHK","2012","1604","0","5","0"
"AYHK","2013","1597","0","6","0"
"AYHK","2014","2240","0","9","0"
"AYHK","2015","2024","0","9","0"
"AYHK","2016","1616","0","9","0"
"AYHK","2017","1859","0","5","0"
"AYHK","2018","1591","0","5","0"
"AYHK","2019","1757","0","7","0"
"AYKI","2003","602","0","6","0"
"AYKI","2004","736","0","7","0"
"AYKI","2005","766","0","9","0"
"AYKI","2006","481","0","6","0"
"AYKI","2007","832","0","5","0"
"AYKI","2008","675","0","5","0"
"AYKI","2009","961","0","6","0"
"AYKI","2010","932","0","7","0"
"AYKI","2011","973","0","8","0"
"AYKI","2012","1066","0","7","0"
"AYKI","2013","1059","0","5","0"
"AYKI","2014","1199","23","5","1"
"AYKI","2015","1223","0","5","0"
"AYKI","2016","831","0","4","0"
"AYKI","2017","917","0","4","0"
"AYKI","2018","792","0","4","0"
"AYKI","2019","729","0","4","0"
"AYKK","2003","443","0","3","0"
"AYKK","2004","594","0","5","0"
"AYKK","2005","609","0","7","0"
"AYKK","2006","741","0","7","0"
"AYKK","2007","738","0","6","0"
"AYKK","2008","521","0","4","0"
"AYKK","2009","828","0","8","0"
"AYKK","2010","399","0","8","0"
"AYKM","2003","780","0","5","0"
"AYKM","2004","734","0","4","0"
"AYKM","2005","660","0","4","0"
"AYKM","2006","883","0","4","0"
"AYKM","2007","884","0","3","0"
"AYKM","2008","574","0","2","0"
"AYKM","2009","789","0","4","0"
"AYKM","2010","607","0","6","0"
"AYKM","2011","417","0","3","0"
"AYKM","2012","131","0","2","0"
"AYKM","2013","56","0","3","0"
"AYKV","2003","764","0","6","0"
"AYKV","2004","741","0","6","0"
"AYKV","2005","683","0","4","0"
"AYKV","2006","664","0","4","0"
"AYKV","2007","678","0","4","0"
"AYKV","2008","759","0","6","0"
