"icao_code","iata_code","name","type","latitude","longitude","elevation","fir","continent","country","proc_runways","active","international"
"AGAF","AFT","Afutara Aerodrome","small","-9.19111","160.94917","541","AGGG","OC","SB","0","1","0"
"AGAR","RNA","Ulawa Airport","small","-9.86083","161.97972","0","AGGG","OC","SB","0","1","0"
"AGAT","ATD","Uru Harbour Airport","small","-8.87333","161.0115","138","AGGG","OC","SB","2","1","0"
"AGBA","VEV","Barakoma Airport","small","-7.91167","156.70556","0","AGGG","OC","SB","0","1","0"
"AGEV","GEF","Geva Airport","small","-7.57583","156.59722","0","AGGG","OC","SB","0","1","0"
"AGGA","AKS","Gwaunaru'u Airport","small","-8.70269","160.6817","33","AGGG","OC","SB","2","1","0"
"AGGB","BNY","Bellona/Anua Airport","small","-11.295","159.79667","0","AGGG","OC","SB","2","1","0"
"AGGC","CHY","Choiseul Bay Airport","small","-6.71203","156.39619","3","AGGG","OC","SB","2","1","0"
"AGGE","BAS","Ballalae Airport","small","-6.98333","155.885","0","AGGG","OC","SB","2","1","0"
"AGGF","FRE","Fera/Maringe Airport","small","-8.10746","159.57711","0","AGGG","OC","SB","2","1","0"
"AGGH","HIR","Honiara International Airport","medium","-9.42167","160.05167","3","AGGG","OC","SB","2","1","1"
"AGGI",NULL,"Babanakira Airport","small","-9.74776","159.83966","486","AGGG","OC","SB","2","1","0"
"AGGJ",NULL,"Avu Avu Airport","small","-9.86818","160.41039","289","AGGG","OC","SB","2","1","0"
"AGGK","IRA","Ngorangora Airport","small","-10.44167","161.89667","0","AGGG","OC","SB","2","1","0"
"AGGL","SCZ","Santa Cruz/Graciosa Bay/Luova Airport","small","-10.71333","165.79333","0","AGGG","OC","SB","2","1","0"
"AGGM","MUA","Munda Airport","medium","-8.32","157.26167","13","AGGG","OC","SB","2","1","0"
"AGGN","GZO","Nusatupe Airport","small","-8.09167","156.86333","0","AGGG","OC","SB","2","1","0"
"AGGO","MNY","Mono Airport","small","-7.415","155.56667","3","AGGG","OC","SB","2","1","0"
"AGGP","PRS","Parasi Airport","small","-9.64361","161.42822","545","AGGG","OC","SB","2","1","0"
"AGGR","RNL","Rennell/Tingoa Airport","small","-11.56","160.06167","0","AGGG","OC","SB","2","1","0"
"AGGS","EGM","Sege Airport","small","-8.57847","157.87567","3","AGGG","OC","SB","2","1","0"
"AGGT","NNB","Santa Ana Airport","small","-10.84835","162.45456","43","AGGG","OC","SB","2","1","0"
"AGGU","RUS","Marau Airport","small","-9.86425","160.82257","3","AGGG","OC","SB","2","1","0"
"AGGV","VAO","Suavanao Airport","small","-7.58333","158.73333","0","AGGG","OC","SB","2","1","0"
"AGGY","XYA","Yandina Airport","small","-9.09383","159.21833","16","AGGG","OC","SB","2","1","0"
"AGKG","KGE","Kaghau Airport","small","-7.33167","157.58667","0","AGGG","OC","SB","2","1","0"
"AGKU",NULL,"Kukudu Airport","small","-8.02722","156.94806","69","AGGG","OC","SB","0","1","0"
"AGKW","KWS","Kwailabesi Airport","small","-8.36056","160.77611","3","AGGG","OC","SB","0","1","0"
"AGRC","RIN","Ringi Cove Airport","small","-8.11833","157.14167","3","AGGG","OC","SB","2","1","0"
"AGRM","RBV","Ramata Airport","small","-8.165","157.64","0","AGGG","OC","SB","0","1","0"
"ANYN","INU","Nauru International Airport","medium","-0.54667","166.91667","10","ANAU","OC","NR","2","1","1"
"AYBK","BUA","Buka Airport","medium","-5.42077","154.6755","3","AYPM","OC","PG","2","1","0"
"AYCH","CMU","Chimbu Airport","medium","-6.02428","144.97","5003","AYPM","OC","PG","2","1","0"
"AYDU","DAU","Daru Airport","medium","-9.0866","143.20818","3","AYPM","OC","PG","2","1","0"
"AYGA","GKA","Goroka Airport","medium","-6.0826","145.39128","4980","AYPM","OC","PG","4","1","0"
"AYGN","GUR","Gurney Airport","medium","-10.31042","150.33412","292","AYPM","OC","PG","2","1","0"
"AYGR","PNP","Girua Airport","medium","-8.8045","148.30897","433","AYPM","OC","PG","2","1","0"
"AYHK","HKN","Kimbe Airport","medium","-5.46417","150.40673","676","AYPM","OC","PG","2","1","0"
"AYIX","WIU","Witu Airport","small","-4.68767","149.43593","325","AYPM","OC","PG","2","1","0"
"AYKA",NULL,"Losuia Airport","small","-8.50628","151.08093","10","AYPM","OC","PG","2","1","0"
"AYKI","UNG","Kiunga Airport","small","-6.12487","141.28532","46","AYPM","OC","PG","2","1","0"
"AYKK","KRI","Kikori Airport","small","-7.42466","144.25006","131","AYPM","OC","PG","2","1","0"
"AYKM","KMA","Kerema Airport","medium","-7.96382","145.77187","3","AYPM","OC","PG","2","1","0"
"AYKV","KVG","Kavieng Airport","medium","-2.57898","150.80743","3","AYPM","OC","PG","2","1","0"
"AYKY","LNV","Londolovit Airport","small","-3.04313","152.628","3","AYPM","OC","PG","2","1","0"
"AYMD","MAG","Madang Airport","medium","-5.2083","145.78767","10","AYPM","OC","PG","2","1","0"
"AYMH","HGU","Mount Hagen Kagamuga Airport","medium","-5.8278","144.29952","5968","AYPM","OC","PG","4","1","0"
"AYMN","MDU","Mendi Airport","medium","-6.14822","143.65717","6188","AYPM","OC","PG","2","1","0"
"AYMO","MAS","Momote Airport","medium","-2.05998","147.42412","3","AYPM","OC","PG","2","1","0"
"AYMR","MXH","Moro Airport","small","-6.36188","143.2307","2776","AYPM","OC","PG","2","1","0"
"AYMS","MIS","Misima Island Airport","small","-10.68815","152.83928","3","AYPM","OC","PG","2","1","0"
"AYNZ","LAE","Nadzab Airport","medium","-6.56922","146.72807","390","AYPM","OC","PG","2","1","0"
"AYOY","OPB","Open Bay Airport","small","-4.79873","151.69432","203","AYPM","OC","PG","2","1","0"
"AYPY","POM","Port Moresby Jacksons International Airport","large","-9.44147","147.22045","308","AYPM","OC","PG","4","1","1"
"AYRI","KMR","Karimui Airport","small","-6.4947","144.82673","3114","AYPM","OC","PG","2","1","0"
"AYSE","NIS","Simberi Airport","small","-2.6625","151.99833","10","AYPM","OC","PG","2","1","0"
"AYTA","TIZ","Tari Airport","small","-5.84372","142.94613","5499","AYPM","OC","PG","2","1","0"
"AYTI","TPI","Tapini Airport","small","-8.35817","146.99383","3238","AYPM","OC","PG","2","1","0"
"AYTK","RAB","Tokua Airport","medium","-4.34103","152.37922","3","AYPM","OC","PG","2","1","0"
"AYVN","VAI","Vanimo Airport","medium","-2.69335","141.30442","3","AYPM","OC","PG","2","1","1"
"AYWD","WBM","Wapenamanda Airport","medium","-5.63532","143.89232","5240","AYPM","OC","PG","2","1","0"
"AYWK","WWK","Wewak International Airport","medium","-3.58413","143.66878","171","AYPM","OC","PG","2","1","0"
"AYWQ","WKN","Wakunai Airport","small","-5.875","155.23333","52","AYPM","OC","PG","2","1","0"
"AYWT","WTP","Woitape Airport","small","-8.54988","147.25552","6211","AYPM","OC","PG","2","1","0"
"BGAA","JEG","Aasiaat Airport","medium","68.72185","-52.78475","3","BGGL","NA","DK","2","1","1"
"BGBW","UAK","Narsarsuaq Airport","medium","61.16072","-45.42568","52","BGGL","NA","DK","2","1","1"
"BGCO","CNP","Neerlerit Inaat Airport","small","70.74308","-22.65056","72","BGGL","NA","DK","2","1","1"
"BGGH","GOH","Godthaab / Nuuk Airport","medium","64.19092","-51.67806","233","BGGL","NA","DK","2","1","1"
"BGJN","JAV","Ilulissat Airport","small","69.24322","-51.05711","49","BGGL","NA","DK","2","1","1"
"BGKK","KUS","Kulusuk Airport","small","65.57361","-37.12361","0","BGGL","NA","DK","2","1","1"
"BGMQ","JSU","Maniitsoq Airport","small","65.41246","-52.93942","0","BGGL","NA","DK","2","1","1"
"BGMV",NULL,"Mestersvig Airport","small","72.23333","-23.91667","52","BGGL","NA","DK","2","1","0"
"BGPT","JFR","Paamiut Airport","small","62.01474","-49.67094","3","BGGL","NA","DK","2","1","0"
"BGQQ","NAQ","Qaanaaq Airport","small","77.48865","-69.38873","233","BGGL","NA","DK","2","1","1"
"BGSF","SFJ","Kangerlussuaq Airport","medium","67.01697","-50.68932","971","BGGL","NA","DK","2","1","1"
"BGSS","JHS","Sisimiut Airport","small","66.95129","-53.72932","925","BGGL","NA","DK","2","1","1"
"BGTL","THU","Thule Air Base","medium","76.53121","-68.70316","148","BGGL","NA","DK","2","1","0"
"BGUK","JUV","Upernavik Airport","small","72.79019","-56.13059","0","BGGL","NA","DK","2","1","1"
"BGUQ","JQA","Qaarsut Airport","small","70.73423","-52.6962","315","BGGL","NA","DK","2","1","1"
"BIAR","AEY","Akureyri Airport","medium","65.65667","-18.07194","0","BIRD","EU","IS","2","1","1"
"BIBA",NULL,"Bakki Airport","small","63.55611","-20.1375","0","BIRD","EU","IS","4","1","0"
"BIBD","BIU","Bildudalur Airport","small","65.64139","-23.54611","0","BIRD","EU","IS","2","1","0"
"BIBF","BGJ","Borgarfjörður eystri Airport","small","65.51722","-13.81611","10","BIRD","EU","IS","0","1","0"
"BIBL","BLO","Hjaltabakki Airport","small","65.645","-20.2875","118","BIRD","EU","IS","2","1","0"
"BIBR",NULL,"Búðardalur Airport","small","65.075","-21.80194","115","BIRD","EU","IS","0","1","0"
"BIBV","BXV","Breiðdalsvík Airport","small","64.79","-14.02278","3","BIRD","EU","IS","2","1","0"
"BIDV","DJU","Djúpivogur Airport","small","64.64417","-14.28278","0","BIRD","EU","IS","2","1","0"
"BIEG","EGS","Egilsstaðir Airport","medium","65.28333","-14.40139","79","BIRD","EU","IS","2","1","1"
"BIFL",NULL,"Flúðir Airport","small","64.14306","-20.32639","0","BIRD","EU","IS","0","1","0"
"BIFM","FAG","Fagurhólsmýri Airport","small","63.87472","-16.64111","52","BIRD","EU","IS","0","1","0"
"BIGJ","GJR","Gjögur Airport","small","65.99528","-21.32694","69","BIRD","EU","IS","2","1","0"
"BIGR","GRY","Grímsey Airport","small","66.54611","-18.01722","0","BIRD","EU","IS","2","1","0"
"BIGS",NULL,"Grímsstaðir Airport","small","65.63278","-16.14889","1224","BIRD","EU","IS","0","1","0"
"BIHE",NULL,"Herðubreiðarlindir Airport","small","65.20361","-16.24556","1631","BIRD","EU","IS","0","1","0"
"BIHI",NULL,"Hveravellir Airport","small","64.88611","-19.505","1932","BIRD","EU","IS","0","1","0"
"BIHK","HVK","Hólmavík Airport","small","65.70472","-21.69639","121","BIRD","EU","IS","2","1","0"
"BIHL",NULL,"Hella Airport","small","63.83417","-20.35583","118","BIRD","EU","IS","0","1","0"
"BIHN","HFN","Hornafjörður Airport","medium","64.29556","-15.22722","0","BIRD","EU","IS","2","1","0"
"BIHU","HZK","Húsavík Airport","medium","65.9525","-17.42583","46","BIRD","EU","IS","2","1","0"
"BIIS","IFJ","Ísafjörður Airport","medium","66.05806","-23.13528","0","BIRD","EU","IS","2","1","0"
"BIKA",NULL,"Kaldármelar Airport","small","64.77722","-22.25694","154","BIRD","EU","IS","0","1","0"
"BIKE",NULL,"Kerlingafjöll Airport","small","64.705","-19.41056","0","BIRD","EU","IS","0","1","0"
"BIKF","KEF","Keflavik International Airport","large","63.985","-22.60556","164","BIRD","EU","IS","4","1","1"
"BIKL",NULL,"Kirkjubæjarklaustur Airport","small","63.79111","-18.00167","62","BIRD","EU","IS","0","1","0"
"BIKP","OPA","Kópasker Airport","small","66.31083","-16.46667","36","BIRD","EU","IS","2","1","0"
"BIKR","SAK","Sauðárkrókur Airport","small","65.73167","-19.57278","3","BIRD","EU","IS","2","1","0"
"BIMK",NULL,"Múlakot Airport","small","63.71444","-19.87944","246","BIRD","EU","IS","0","1","0"
"BIMM",NULL,"Melgerðismelar Airport","small","65.48306","-18.16972","105","BIRD","EU","IS","0","1","0"
"BIMS",NULL,"Tungubakkar Airport","small","64.18139","-21.70639","0","BIRD","EU","IS","0","1","0"
"BIND",NULL,"Nýjidalur Airport","small","64.72056","-18.06667","0","BIRD","EU","IS","0","1","0"
"BINF","NOR","Norðfjörður Airport","small","65.13167","-13.74694","56","BIRD","EU","IS","2","1","0"
"BIRE","RHA","Reykhólar Airport","small","65.45167","-22.21083","118","BIRD","EU","IS","0","1","0"
"BIRF","OLI","Rif Airport","small","64.91139","-23.82306","0","BIRD","EU","IS","4","1","0"
"BIRG","RFN","Raufarhöfn Airport","small","66.40639","-15.91833","56","BIRD","EU","IS","2","1","0"
