icao_code,iata_code,name,type,latitude,longitude,elevation,fir,continent,country,active,international
AAXX,,Rothera Point Airport,small,-67.56694,-68.12699,,SCCZ,AN,AQ,1,0
ACFC,WAP,ACFC,small,15.25389,120.67722,100,RPHI,AS,PH,1,0
AGNA,NAZ,Nana Airport,small,-10.6758,162.2049,60,AGGG,OC,SB,1,0
AQBC,,Boulder Clay Airfield,medium,-74.74046,164.03275,672,NZZO,AN,AQ,1,0
ATUA,,Utai Airstrip,small,-3.386,141.5868,707,AYPM,OC,PG,1,0
AYAQ,KPM,Kompiam Airport,small,-5.38167,143.92472,5100,AYPM,OC,PG,1,0
AYAU,,Arou Airstrip,small,-5.4951,142.5137,4830,AYPM,OC,PG,1,0
AYBB,,Bak Airstrip,small,-5.2685,142.097,5440,AYPM,OC,PG,1,0
AYBR,BRP,Biaru Airport,small,-7.6693,146.7594,4900,AYPM,OC,PG,1,0
AYBS,,Begesin Airstrip,small,-5.3889,145.4472,980,AYPM,OC,PG,1,0
AYBT,,Batri Airstrip,small,-6.5522,143.9441,4510,AYPM,OC,PG,1,0
AYBW,,Blackwara Airport,small,-2.61821,141.09197,58,AYPM,OC,PG,1,0
AYBX,,Wowobo Airstrip,small,-7.3405,144.5477,74,AYPM,OC,PG,1,0
AYBY,,Wuyabo Airstrip,small,-6.8378,145.8732,6400,AYPM,OC,PG,1,0
AYDD,,Dobu Airstrip,small,-6.6305,144.6383,3115,AYPM,OC,PG,1,0
AYDK,MDM,Munduku Airport,small,-4.6204,143.4516,100,AYPM,OC,PG,1,0
AYDL,KPF,Kondobol Airport,small,-8.5336,142.5049,132,AYPM,OC,PG,1,0
AYDN,DNU,Dinangat Airport,small,-6.1546,146.6772,5309,AYPM,OC,PG,1,0
AYDO,DOI,Doini Airport,small,-10.7009,150.7218,31,AYPM,OC,PG,1,0
AYDP,,Tsendiap Airstrip,small,-5.3599,144.4462,1565,AYPM,OC,PG,1,0
AYDQ,,Dimisisi Airstrip,small,-8.6298,142.2162,166,AYPM,OC,PG,1,0
AYDS,,Dusin Airport,small,-5.18414,144.41197,6300,AYPM,OC,PG,1,0
AYDW,,Dewara Airstrip,small,-8.3802,142.4475,25,AYPM,OC,PG,1,0
AYDY,,Sindeni Airstrip,small,-7.0077,145.7965,5710,AYPM,OC,PG,1,0
AYEB,EMS,Embessa Airport,small,-9.447,148.7628,131,AYPM,OC,PG,1,0
AYED,XYR,Edwaki Airport,small,-3.88399,141.79223,190,AYPM,OC,PG,1,0
AYEG,,Mengina Airstrip,small,-6.4836,144.986,4224,AYPM,OC,PG,1,0
AYEI,,Milei Airstrip,small,-9.0794,147.602,2160,AYPM,OC,PG,1,0
AYEK,,Membok Airstrip,small,-6.4744,141.019,54,AYPM,OC,PG,1,0
AYEL,EPT,Eliptamin Airport,small,-5.0412,141.6779,4825,AYPM,OC,PG,1,0
AYEM,,Eleme Airstrip,small,-4.8141,143.9103,233,AYPM,OC,PG,1,0
AYEN,EGA,Engati Airstrip,small,-6.9179,146.1053,3715,AYPM,OC,PG,1,0
AYEO,EMO,Emo River Airstrip,small,-9.1234,148.0415,2240,AYPM,OC,PG,1,0
AYER,ERU,Erume Airport,small,-8.2538,146.9747,6690,AYPM,OC,PG,1,0
AYES,MFZ,Meselia Airport,small,-6.1364,149.1183,180,AYPM,OC,PG,1,0
AYEU,,Eloaua Airstrip,small,-1.5601,149.6318,25,AYPM,OC,PG,1,0
AYEY,,Mirsey Airstrip,small,-4.0621,142.6609,107,AYPM,OC,PG,1,0
AYFE,FRQ,Feramin Airport,small,-5.208,141.6988,4655,AYPM,OC,PG,1,0
AYFK,,Foroko Airstrip,small,-5.3283,144.8944,412,AYPM,OC,PG,1,0
AYFO,,Fogomaiu Airstrip,small,-6.5096,143.0794,737,AYPM,OC,PG,1,0
AYFR,FAQ,Frieda River Airport,small,-4.61047,141.96014,217,AYPM,OC,PG,1,0
AYFS,,Fas Airstrip,small,-3.1983,141.472,1219,AYPM,OC,PG,1,0
AYFU,FUM,Fuma Airport,small,-6.3933,142.4408,466,AYPM,OC,PG,1,0
AYFW,,Kwieftim Airstrip,small,-3.6005,141.7674,515,AYPM,OC,PG,1,0
AYGD,,Gimi Airstrip,small,-6.6482,145.4003,5096,AYPM,OC,PG,1,0
AYGE,,Geigorobi Airstrip,small,-4.1055,143.3056,74,AYPM,OC,PG,1,0
AYGF,GUG,Guari Airport,small,-8.1286,146.8722,6450,AYPM,OC,PG,1,0
AYGG,GRL,Garasa Airport,small,-7.98071,147.21346,2539,AYPM,OC,PG,1,0
AYGH,,Guhu Airstrip,small,-5.6957,146.1116,3,AYPM,OC,PG,1,0
AYGM,,Gema Airstrip,small,-6.8032,145.7756,1675,AYPM,OC,PG,1,0
AYGO,,Gokto Airstrip,small,-4.9136,144.49,259,AYPM,OC,PG,1,0
AYGP,GAP,Gusap Airport,small,-6.0532,145.95905,1504,AYPM,OC,PG,1,0
AYGQ,,Gawa Airstrip,small,-5.259,142.233,6500,AYPM,OC,PG,1,0
AYGS,GBC,Gasuke Airport,small,-6.1028,141.7393,157,AYPM,OC,PG,1,0
AYGW,,Guwasa Airport,small,-6.46584,145.08397,4800,AYPM,OC,PG,1,0
AYGY,,Guavi Airstrip,small,-6.87,142.7537,303,AYPM,OC,PG,1,0
AYHA,,Haia Airport,small,-6.70742,144.9974,2434,AYPM,OC,PG,1,0
AYHB,HBD,Habi Airport,small,-6.32,142.4893,993,AYPM,OC,PG,1,0
AYHE,HNI,Heiweni Airport,small,-7.4223,146.4276,3480,AYPM,OC,PG,1,0
AYHH,HNN,Honinabi Airport,small,-16.2457,142.1771,452,YBBB,OC,PG,1,0
AYHJ,,Hewa Airstrip,small,-5.1914,142.9595,5000,AYPM,OC,PG,1,0
AYHL,,Hesalibi Airstrip,small,-6.6,142.3502,305,AYPM,OC,PG,1,0
AYHN,,Habina Airstrip,small,-6.6671,146,6200,AYPM,OC,PG,1,0
AYHO,HIT,Haivaro Airport,small,-6.9406,143.059,180,AYPM,OC,PG,1,0
AYHQ,,Hauna Airstrip,small,-4.2994,142.2305,73,AYPM,OC,PG,1,0
AYHT,,Hotmin Airstrip,small,-4.5845,141.5742,196,AYPM,OC,PG,1,0
AYHW,,Haewenai Airstrip,small,-5.7219,141.3205,220,AYPM,OC,PG,1,0
AYHX,,Herowena Airstrip,small,-6.6229,145.1972,4695,AYPM,OC,PG,1,0
AYHY,,Huya Airstrip,small,-6.2734,142.7061,2611,AYPM,OC,PG,1,0
AYIB,,Ibil Airstrip,small,-4.6828,141.0316,870,AYPM,OC,PG,1,0
AYII,IMN,Imane Airport,small,-6.7524,146.1072,3860,AYPM,OC,PG,1,0
AYIM,KGM,Kungim Airport,small,-5.671,141.03,349,AYPM,OC,PG,1,0
AYIN,,Busilmin Airstrip,small,-4.9166,141.1548,5450,AYPM,OC,PG,1,0
AYIO,IMD,Imonda Airport,small,-3.328,141.1573,990,AYPM,OC,PG,1,0
AYIP,,Iropena Airstrip,small,-5.0333,143.87084,5190,AYPM,OC,PG,1,0
AYIQ,KIE,Aropa Airport,small,-6.30542,155.72814,20,AYPM,OC,PG,1,0
AYIR,,Inaru Airstrip,small,-4.6316,142.8913,178,AYPM,OC,PG,1,0
AYIS,,Isan Airstrip,small,-5.9781,146.61975,6955,AYPM,OC,PG,1,0
AYIT,,Iteri Airstrip,small,-4.2418,141.5234,242,AYPM,OC,PG,1,0
AYIU,IAL,Ialibu Airport,small,-6.2782,143.9944,6736,AYPM,OC,PG,1,0
AYJE,,Yomneri Airstrip,small,-5.237,144.6007,6100,AYPM,OC,PG,1,0
AYJO,KGH,Yongai Airport,small,-8.5289,147.4603,6500,AYPM,OC,PG,1,0
AYKG,KPA,Kopiago Airport,small,-5.3883,142.4977,4445,AYPM,OC,PG,1,0
AYKJ,KNE,Kanainj Airport,small,-5.2903,144.7072,4064,AYPM,OC,PG,1,0
AYKL,,Kafle Airstrip,small,-3.75,142.59,850,AYPM,OC,PG,1,0
AYKN,,Kubuna Airstrip,small,-8.6917,146.7566,200,AYPM,OC,PG,1,0
AYKR,KRX,Kar Kar Airport,small,-4.557,145.9404,130,AYPM,OC,PG,1,0
AYKU,KUQ,Kuri Airport,small,-7.13508,143.27611,35,AYPM,OC,PG,1,0
AYKZ,,Kairiru Airstrip,small,-3.3687,143.5546,60,AYPM,OC,PG,1,0
AYLB,LAB,Lab Lab Airport,small,-5.7204,148.0566,160,AYPM,OC,PG,1,0
AYLC,,Lake Campbell Airstrip,small,-6.7486,142.6037,585,AYPM,OC,PG,1,0
AYLE,,Lele Airstrip,small,-5.2192,151.3938,1600,AYPM,OC,PG,1,0
AYLH,,Klauhau Airstrip,small,-4.1305,142.2495,130,AYPM,OC,PG,1,0
AYLO,LWI,Lowai Airport,small,-6.3344,146.6458,2900,AYPM,OC,PG,1,0
AYLP,LPN,Leron Plains Airport,small,-6.3917,146.3434,680,AYPM,OC,PG,1,0
AYLQ,,Lagoon Airstrip,small,-8.8186,143.1317,100,AYPM,OC,PG,1,0
AYLS,LNG,Lese Airport,small,-8.2799,146.2765,40,AYPM,OC,PG,1,0
AYLX,LSJ,Long Island Airport,small,-5.3604,147.0177,116,AYPM,OC,PG,1,0
AYLZ,,Slai Airstrip,small,-4.0322,143.1831,77,AYPM,OC,PG,1,0
AYMA,MRM,Manari Airport,small,-9.1908,147.6219,2630,AYPM,OC,PG,1,0
AYMB,OBM,Morobe Airport,small,-7.74,147.59,8,AYPM,OC,PG,1,0
AYMK,,Mok Airport,small,-5.73024,149.05658,1050,AYPM,OC,PG,1,0
AYML,GUV,Mougulu Airport,small,-6.28086,142.42077,825,AYPM,OC,PG,1,0
AYMW,MWG,Marawaka Airport,small,-6.9736,145.8849,6050,AYPM,OC,PG,1,0
AYMY,,Smok Airstrip,small,-3.3158,141.2461,729,AYPM,OC,PG,1,0
AYNA,NKN,Nankina Airport,small,-5.837,146.4533,5800,AYPM,OC,PG,1,0
AYNE,GBF,Negarbo Airport,small,-6.56778,144.70306,4500,AYPM,OC,PG,1,0
AYNG,MFO,Manguna Airport,small,-5.57778,151.79233,187,AYPM,OC,PG,1,0
AYNM,KSB,Kasonombe Airport,small,-6.3819,146.9859,5800,AYPM,OC,PG,1,0
AYNO,NMN,Nomane Airport,small,-6.32183,145.07067,6032,AYPM,OC,PG,1,0
AYNT,,Kantobo Airstrip,small,-6.7227,143.5636,1385,AYPM,OC,PG,1,0
AYNY,NBA,Nambaiyufa Airport,small,-6.2412,145.2424,5550,AYPM,OC,PG,1,0
AYOA,,Kwomtari Airstrip,small,-3.598,141.3614,366,AYPM,OC,PG,1,0
AYOD,,Obura Airstrip,small,-6.5507,145.9728,5600,AYPM,OC,PG,1,0
AYOE,KGB,Konge Airport,small,-6.2239,147.2152,5900,AYPM,OC,PG,1,0
AYOH,,Okisai Airstrip,small,-4.7065,141.9006,310,AYPM,OC,PG,1,0
AYOJ,OKP,Oksapmin Airport,small,-5.2261,142.2259,5140,AYPM,OC,PG,1,0
AYOK,HOC,Komako Airport,small,-7.3984,145.8827,3960,AYPM,OC,PG,1,0
AYOQ,KCJ,Komaio Airport,small,-7.2714,143.5952,28,AYPM,OC,PG,1,0
AYOS,,Kosimbi Airstrip,small,-3.9522,143.1767,149,AYPM,OC,PG,1,0
AYOU,,Kombaku Airstrip,small,-5.3817,144.6355,5400,AYPM,OC,PG,1,0
AYOW,KDE,Koroba Airport,small,-5.6952,142.7441,5638,AYPM,OC,PG,1,0
AYOX,,Moi Airstrip,small,-4.1615,141.2478,240,AYPM,OC,PG,1,0
AYOZ,,Kora Airstrip,small,-6.4304,145.0931,5745,AYPM,OC,PG,1,0
AYPA,,Somokopa Airstrip,small,-7.0838,142.514,489,AYPM,OC,PG,1,0
AYPC,PGB,Pangoa Airport,small,-7.0226,141.5605,60,AYPM,OC,PG,1,0
AYPG,PGN,Pangia Airport,small,-6.386,144.1084,5340,AYPM,OC,PG,1,0
AYPI,,Kapi Airstrip,small,-6.371,144.6839,3408,AYPM,OC,PG,1,0
AYPO,MPF,Mapoda Airport,small,-7.979,143.1694,45,AYPM,OC,PG,1,0
AYPQ,PMN,Pumani Airport,small,-9.7469,149.4766,427,AYPM,OC,PG,1,0
AYPU,,Puri Airport,small,-6.47516,143.98722,6050,AYPM,OC,PG,1,0
AYPW,,Panakawa Airport,small,-7.67206,143.12472,42,AYPM,OC,PG,1,0
AYQB,,Simbari Airstrip,small,-6.9623,145.6448,3560,AYPM,OC,PG,1,0
AYQM,,Simogu Airstrip,small,-6.8008,145.7134,4990,AYPM,OC,PG,1,0
AYQO,SPH,Sopu Airport,small,-8.3038,147.1659,6580,AYPM,OC,PG,1,0
AYQS,SXA,Sialum Airport,small,-6.0908,147.5955,170,AYPM,OC,PG,1,0
AYQU,,Tsumba Airstrip,small,-4.6581,144.6082,89,AYPM,OC,PG,1,0
AYQV,,Sinow Airstrip,small,-3.9925,141.5537,183,AYPM,OC,PG,1,0
AYQW,,Sumwari Airstrip,small,-4.7508,142.3686,465,AYPM,OC,PG,1,0
AYRG,RMN,Rumginae Airport,small,-5.89722,141.27167,160,AYPM,OC,PG,1,0
AYRL,,Maralina Airstrip,small,-6.9015,146.3698,431,AYPM,OC,PG,1,0
AYRM,MWI,Maramuni Airport,small,-5.13,143.4829,5160,AYPM,OC,PG,1,0
AYRN,,Norambi Airstrip.,small,-6.9125,145.6731,5100,AYPM,OC,PG,1,0
AYRR,,Tiri Airstrip,small,-6.6815,144.1842,4545,AYPM,OC,PG,1,0
AYRT,,Kirinbit Airstrip,small,-4.2839,143.1512,60,AYPM,OC,PG,1,0
AYRV,MRH,May River Airstrip,small,-4.3615,141.785,107,AYPM,OC,PG,1,0
AYSA,SBE,Suabi Airport,small,-6.10444,142.27833,465,AYPM,OC,PG,1,0
AYSB,,Sirebi Airstrip,small,-7.2196,144.2352,115,AYPM,OC,PG,1,0
AYSG,SIL,Sila Airport,small,-9.07356,148.38925,2230,AYPM,OC,PG,1,0
AYSH,SBV,Sabah Airport,small,-5.5765,155.0489,10,AYPM,OC,PG,1,0
AYSI,,Seltamin Airstrip,small,-5.4122,141.8252,4285,AYPM,OC,PG,1,0
AYSJ,SIM,Simbai Airport,small,-5.27861,144.54472,5804,AYPM,OC,PG,1,0
AYSM,,Samberigi Airstrip,small,-6.7193,143.9338,3830,AYPM,OC,PG,1,0
AYSO,SBC,Selbang Airport,small,-5.315,141.752,5130,AYPM,OC,PG,1,0
AYSQ,SPV,Sepik Plains Airport,small,-3.8821,143.6734,230,AYPM,OC,PG,1,0
AYSR,,Sangera Airstrip,small,-3.9678,143.2763,127,AYPM,OC,PG,1,0
AYST,,Sturt Island Airport,small,-8.1525,142.26844,40,AYPM,OC,PG,1,0
AYSV,SXW,Sauren Airport,small,-5.9701,148.8543,46,AYPM,OC,PG,1,0
AYSX,MBV,Masa Airport,small,-6.345,147.591,5900,AYPM,OC,PG,1,0
AYSY,,Serra Airstrip,small,-2.9739,141.9297,37,AYPM,OC,PG,1,0
AYSZ,,Samanzing Airstrip,small,-6.4513,147.0673,6042,AYPM,OC,PG,1,0
AYTB,TBG,Tabubil Airport,small,-5.27861,141.226,1570,AYPM,OC,PG,1,0
AYTC,,Tapila Airstrip,small,-8.4188,142.9043,48,AYPM,OC,PG,1,0
AYTD,,Teredau Airport,small,-7.3205,144.6384,100,AYPM,OC,PG,1,0
AYTL,,Talbakul Airstrip,small,-6.3708,144.7167,3500,AYPM,OC,PG,1,0
AYTM,,Tamo Airstrip,small,-4.7246,144.1529,140,AYPM,OC,PG,1,0
AYTN,TKW,Tekin Airport,small,-5.24367,142.16519,5785,AYPM,OC,PG,1,0
AYTP,TEP,Tep Tep Airport,small,-5.9553,146.5595,7011,AYPM,OC,PG,1,0
AYTQ,,Tapen Airstrip,small,-5.8545,146.6371,5066,AYPM,OC,PG,1,0
AYTS,TSW,Tsewi Airport,small,-7.0695,146.1272,4185,AYPM,OC,PG,1,0
AYTT,TRJ,Tarakbits Airport,small,-5.614,141.0421,281,AYPM,OC,PG,1,0
AYTW,TWY,Tawa Airport,small,-7.4463,146.1067,5020,AYPM,OC,PG,1,0
AYTZ,TKB,Tekadu Airport,small,-7.6808,146.5503,1310,AYPM,OC,PG,1,0
AYUA,,Utai Airstrip,small,-3.386,141.5868,707,AYPM,OC,PG,1,0
AYUC,UMC,Umba Airport,small,-7.0214,145.966,5950,AYPM,OC,PG,1,0
AYUE,URU,Uroubi Airport,small,-9.5162,148.5591,481,AYPM,OC,PG,1,0
AYUG,,Brugam Airstrip,small,-3.6381,142.8379,595,AYPM,OC,PG,1,0
AYUL,,Musula Airstrip,small,-6.8385,142.8983,740,AYPM,OC,PG,1,0
AYUN,,Bunam Airstrip,small,-4.6564,144.2517,48,AYPM,OC,PG,1,0
AYUO,,Omaura Airstrip,small,-6.3679,145.9902,4860,AYPM,OC,PG,1,0
AYUQ,,Kumbwareta Airstrip,small,-5.5078,144.1171,4067,AYPM,OC,PG,1,0
AYUR,UPR,Upiara Airport,small,-8.5411,142.6503,52,AYPM,OC,PG,1,0
AYUS,,Suame Airstrip,small,-8.3684,142.5862,71,AYPM,OC,PG,1,0
AYUT,,Bunguwat Airstrip,small,-6.005,146.7205,5740,AYPM,OC,PG,1,0
AYUV,,Tuvau Airstrip,small,-6.6025,145.8372,5300,AYPM,OC,PG,1,0
AYUX,,Usarumpia Airstrip,small,-6.9858,145.8102,5820,AYPM,OC,PG,1,0
AYUZ,UVO,Uvol Airport,small,-6.0178,150.9557,15,AYPM,OC,PG,1,0
AYVA,,Vailala Airstrip,small,-7.7677,145.4857,85,AYPM,OC,PG,1,0
AYVB,,Tobou Airstrip,small,-6.4026,147.4223,4732,AYPM,OC,PG,1,0
AYVL,TLW,Talasea Airport,small,-5.2726,150.0089,44,AYPM,OC,PG,1,0
AYVM,TCJ,Torembi Airport,small,-4.0165,143.1329,90,AYPM,OC,PG,1,0
AYVO,TON,Tonu Airport,small,-6.6552,155.4326,300,AYPM,OC,PG,1,0
AYVP,,Woposali Airstrip,small,-6.6577,144.2974,2009,AYPM,OC,PG,1,0
AYWB,WAO,Wabo Airport,small,-6.98944,145.07511,132,AYPM,OC,PG,1,0
AYWF,WAJ,Wawoi Falls Airport,small,-6.9523,142.6557,370,AYPM,OC,PG,1,0
AYWN,,Nugwaia Airstrip,small,-3.8183,142.835,279,AYPM,OC,PG,1,0
AYWO,WOA,Wonenara Airport,small,-6.79686,145.89194,5028,AYPM,OC,PG,1,0
AYWS,WSU,Wasu Airport,small,-5.96171,147.19823,34,AYPM,OC,PG,1,0
AYWU,WUG,Wau Airport,small,-7.34556,146.71861,3600,AYPM,OC,PG,1,0
AYWV,,Warasai Airstrip,small,-4.012,142.51,150,AYPM,OC,PG,1,0
AYXB,,Buluwo Airstrip,small,-3.6753,142.0151,600,AYPM,OC,PG,1,0
AYXE,YVD,Yeva Airport,small,-7.548,146.188,4510,AYPM,OC,PG,1,0
AYXG,,Sugu Airstrip,small,-6.3907,143.5565,4105,AYPM,OC,PG,1,0
AYXI,SMJ,Sim Airport,small,-7.75,146.9273,5460,AYPM,OC,PG,1,0
AYXS,,Sisamin Airstrip,small,-5.1363,142.284,1675,AYPM,OC,PG,1,0
AYXW,WEP,Weam Airport,small,-8.6184,141.1381,50,AYPM,OC,PG,1,0
AYXY,,Yebil Airstrip,small,-3.4625,141.9559,1400,AYPM,OC,PG,1,0
AYYD,,Yatoam Airstrip,small,-5.0949,142.3846,2060,AYPM,OC,PG,1,0
AYYE,KYX,Yalumet Airport,small,-6.09,147.0117,2600,AYPM,OC,PG,1,0
AYYG,,Yemin Airstrip,small,-3.967,142.2912,230,AYPM,OC,PG,1,0
AYYI,,Yili Airstrip,small,-3.5322,142.1645,1500,AYPM,OC,PG,1,0
AYYJ,,Yanungen Airstrip,small,-3.4574,142.54,1880,AYPM,OC,PG,1,0
AYYN,,Yimnalem Airstrip,small,-5.1441,144.5956,4800,AYPM,OC,PG,1,0
AYYQ,,Yagrombok Airstrip,small,-3.585,142.6285,1509,AYPM,OC,PG,1,0
AYYR,KSX,Yasuru Airport,small,-6.6015,146.1813,1520,AYPM,OC,PG,1,0
AYYT,,Mount Tauwa Airstrip,small,-6.7293,144.303,3700,AYPM,OC,PG,1,0
AYYU,,Mui Airstrip,small,-4.7912,144.3113,132,AYPM,OC,PG,1,0
AYYV,,Yawa Airstrip,small,-4.1003,142.1351,120,AYPM,OC,PG,1,0
AYYW,,Yawan Airstrip,small,-6.1339,146.8438,4870,AYPM,OC,PG,1,0
AYZB,,Sibilanga Airstrip,small,-3.4458,142.501,2330,AYPM,OC,PG,1,0
AYZM,WUM,Wasum Airport,small,-6.0491,149.337,175,AYPM,OC,PG,1,0
AYZQ,,Sopise Airstrip,small,-6.7887,144.1593,3450,AYPM,OC,PG,1,0
AYZU,,Oum Airstrip,small,-4.2684,142.1273,80,AYPM,OC,PG,1,0
AYZW,,Siawi Airstrip,small,-4.061,141.4197,230,AYPM,OC,PG,1,0
AYZY,,Yilui Airstrip,small,-3.9292,142.2045,265,AYPM,OC,PG,1,0
AYZZ,,Zuebak Airstrip,small,-6.3088,146.5568,3560,AYPM,OC,PG,1,0
BGDH,,Danmarkshavn Landing Strip,small,76.76667,-18.66667,,BGGL,NA,GL,1,0
BGMI,,Station Nord Landing Strip,small,81.6,-16.66667,35,BGGL,NA,GL,1,0
BIAE,,Arngerðareyri Airport,small,65.9047,-22.3633,20,BIRD,EU,IS,1,0
