airport,description,frequency,type
AGGH,INFO,118100,AFIS
AGGH,INFO,342500,INFO
AGGM,INFO,118100,AFIS
AGGM,RDO,118100,RDO
ANYN,FIC,118100,A/G
AYBK,LAE RDO,127100,RDO
AYDU,MORESBY CNTR,124900,FSS
AYGA,TWR,118700,TWR
AYGN,MORESBY CNTR,124100,FSS
AYHK,NADZAB CNTR,127100,FSS
AYKM,MORESBY,120900,FSS
AYKV,LAE,127100,FSS
AYMD,ATIS,127800,ATIS
AYMD,MADANG CNTR,120100,FSS
AYMD,TWR,118100,TWR
AYMH,ATIS,128400,ATIS
AYMH,HAGEN TWR,120500,TWR
AYMO,AWIS,129350,AWOS
AYMO,MADANG,120100,FSS
AYNZ,APP,118600,APP
AYNZ,ATIS,128600,ATIS
AYNZ,LAE RDO,120700,RDO
AYNZ,TWR,121700,TWR
AYPY,ATIS,117000,ATIS
AYPY,JACKSONS APP,125800,APP
AYPY,JACKSONS GND,121700,GND
AYPY,JACKSONS TWR,118100,TWR
AYTK,LAE RDO,127100,FSS
AYTK,MTAF,120900,MISC
AYTK,TWR,118200,TWR
AYVN,MADANG FIS,126700,FSS
AYWK,ATIS,128200,ATIS
AYWK,MADANG CNTR,126700,FSS
AYWK,WEWAK TRAFFIC,121700,CTAF
BGBW,AFIS,119100,AFIS
BGCO,AFIS,118100,AFIS
BGGH,AFIS,119100,AFIS
BGQQ,AFIS,118100,AFIS
BGSF,APP/DEP,126200,A/D
BGSF,RDO,121300,RDO
BGSF,TWR,118300,TWR
BGTL,APP,134100,APP
BGTL,BASE OPS,131100,OPS
BGTL,CLNC DEL,119900,CLD
BGTL,EMERG CW FREQUENCY,836400,A/G
BGTL,GND,119900,GND
BGTL,TWR,126200,TWR
BGUK,AFIS,118100,AFIS
BIAR,RADAR,118700,RDR
BIAR,REYKJAVIK ACC,119700,ACC
BIAR,TWR,118200,TWR
BIBD,INFO,119100,AFIS
BIBD,REYKJAVIK ACC,119700,ACC
BIEG,RDO,119400,AFIS
BIEG,REYKJAVIK ACC,119700,ACC
BIHN,INFO,118100,AFIS
BIHN,REYKJAVIK CON,119700,ACC
BIHU,INFO,118100,AFIS
BIHU,REYKJAVIK ACC,119700,ACC
BIIS,INFO,118800,AFIS
BIIS,REYKJAVIK ACC,119700,ACC
BIKF,AIR GND,131900,A/G
BIKF,APP,119300,APP
BIKF,ATIS,128300,ATIS
BIKF,BASE OPS,129000,OPS
BIKF,DEP,119300,DEP
BIKF,GND,121900,GND
BIKF,PMSV  METRO,125000,PMSV
BIKF,TWR,118300,TWR
BIMS,REYKJAVIK TOWER,118000,TWR
BIMS,TUNGUBAKKI,118200,AFIS
BIRK,APP/DEP,119000,A/D
BIRK,ATIS,128100,ATIS
BIRK,GND,121700,GND
BIRK,RDO,126550,RDO
BIRK,TWR,118000,TWR
BISA,TRAFIC,118100,TRFC
BISS,TRAFFIC,119900,TRFC
BITN,INFO,118100,AFIS
BITN,REYKJAVIK ACC,119700,ACC
BIVM,REYKJAVIK ACC,119700,ACC
BIVM,REYKJAVIK DEP,119000,DEP
BIVM,TWR,118500,TWR
BKPR,APP,118775,APP
BKPR,GND,118000,GND
BKPR,RAMP OPR,136800,RMP
BKPR,TWR,120125,TWR
CYAG,ATF/UNICOM,122800,UNIC
CYAG,AWOS,120000,AWOS
CYAG,MINNEAPOLIS CNTR,120900,CNTR
CYAM,ATIS,133050,ATIS
CYAM,GND,121700,GND
CYAM,LONDON RDO,122500,RCO
CYAM,MF,118800,A/G
CYAM,TORONTO CNTR,132650,CNTR
CYAM,TWR,118800,TWR
CYAU,ATF/UNICOM,122800,UNIC
CYAU,MONCTON CNTR,123900,CNTR
CYAV,ATF,118500,ATF
CYAV,ATIS,125800,ATIS
CYAV,GND,121800,GND
CYAV,TWR,118500,TWR
CYAX,ATF/UNICOM,122800,UNIC
CYAY,ATF,122300,ATF
CYAY,AWOS1,118650,AWOS
CYAY,GANDER CNTR,133000,CNTR
CYAY,HALIFAX RDO,123275,RCO
CYAY,MF,122300,RDO
CYAY,RDO,122300,FSS
CYAZ,PACIFIC RDO,123250,RCO
CYAZ,VANCOUVER CNTR,132900,CNTR
CYBA,BANFF TRAFFIC,123300,ATF
CYBA,EDMONTON CENTRE,133750,PAL
CYBA,EDMONTON RADIO,123550,RDO
CYBB,ARPT RDO,122100,RDO
CYBB,MANDATORY FREQ,122100,ATF
CYBC,MF MONT JOLI RDO,118300,RDO
CYBC,MONT JOLI RDO,118300,RCO
CYBC,MONTREAL CNTR,134650,A/D
CYBD,ATF,122800,ATF
CYBD,PACIFIC RDO,126700,RCO
CYBE,ATF,123200,ATF
CYBF,ATF,123200,ATF
CYBG,ATIS,124200,ATIS
CYBG,CLNC DEL,119000,CLD
CYBG,GND,121700,GND
CYBG,PMSV,34460,PMSV
CYBG,TRML,127200,A/D
CYBG,TWR,126200,TWR
CYBG,VFR ADVSY,121200,AAS
CYBG,WING OPS,26460,OPS
CYBK,ARCTIC RDO,568000,FSS
CYBK,ARPT RDO,122100,UNIC
CYBL,ATF,122000,ATF
CYBL,ATIS,128550,ATIS
CYBL,COMOX TRML ARR/DEP,123700,A/D
CYBL,MF CAMPBELL RDO,122000,A/G
CYBL,PACIFIC RDO,126700,RCO
CYBL,RDO,122000,FSS
CYBR,MF,122100,A/G
CYBR,RDO,122100,RDO
CYBR,WINNIPEG CNTR,132250,CNTR
CYBR,WINNIPEG RDO,126700,RCO
CYBW,ATIS,127900,ATIS
CYBW,EDMONTON RDO,123375,RCO
CYBW,GND,121800,GND
CYBW,MF CALGARY  RDO,118200,A/G
CYBW,TOWER INNER,120700,TWR
CYBW,TWR,118200,TWR
CYBX,MF,122000,RDO
CYBX,QUEBEC RDO,122000,RCO
CYCB,ARPT RDO,122100,RDO
CYCB,ARTIC RDO,126700,ACC
CYCB,ARTIC RDO,126700,ARTC
CYCB,MANDATORY FREQ,122100,ATF
CYCB,OPS,22890,OPS
CYCC,ATF/UNICOM,122775,UNIC
CYCC,BOSTON CNTR,135250,A/D
CYCD,ATF,122100,ATF
CYCD,NANAIMO ATIS,128425,ATIS
CYCD,PACIFIC RDO,126700,RCO
CYCD,RDO,122100,FSS
CYCD,VICTORIA TRML,133950,APP
CYCE,ATF/UNICOM,122800,UNIC
CYCG,ATF,122100,ATF
CYCG,KAMLOOPS RDO,126700,RCO
CYCG,RDO,122100,RDO
CYCG,VANCOUVER CNTR,134200,CNTR
CYCH,ATF/UNICOM,122700,UNIC
CYCH,MONCTON CNTR,123700,CNTR
CYCK,ATF/UNICOM,123200,UNIC
CYCK,CLEVELAND CNTR,132250,CNTR
CYCL,ATF,122200,ATF
CYCL,MF,122200,A/G
CYCL,MONCTON CNTR,134250,CNTR
CYCL,QUEBEC RDO,126700,RCO
CYCN,ATF,122800,ATF
CYCO,ARPT RDO,122100,RDO
CYCO,MANDATORY FREQ,122100,ATF
CYCP,ATF,123200,ATF
CYCQ,ATF,123200,ATF
CYCQ,EDMONTON RDO,126700,RCO
CYCT,ATF,122800,ATF
CYCW,ATF/UNICOM,122700,UNIC
CYCY,ARPT RDO,122100,RDO
CYCY,AWOS,124600,AWOS
CYCY,MANDATORY FREQ,122100,ATF
CYCZ,ATF,123200,ATF
CYCZ,PACIFIC RDO,126700,RCO
CYDA,ARPT RDO,122100,RDO
CYDA,MANDATORY FREQ,122100,ATF
CYDA,WHITEHORSE RDO,126700,RCO
CYDB,ARPT RDO,122100,RDO
CYDB,AWOS,128700,AWOS
CYDB,MANDTORY FREQUENCY,122100,ATF
CYDB,WHITEHORSE RDO,126700,RCO
CYDC,ATF,123200,ATF
CYDC,PACIFIC RDO,125850,RCO
CYDC,VANCOUVER,135000,CNTR
CYDF,GANDER CNTR,134600,CNTR
CYDF,HALIFAX RDO,126700,RCO
CYDF,MF,122200,RDO
CYDF,RDO,122200,FSS
CYDL,ATF,123200,ATF
CYDL,EDMONTON CNTR,134050,CNTR
CYDL,WHITEHORSE RDO,126700,RCO
CYDN,AWOS,128600,AWOS
CYDN,MF WINNIPEG RDO,122300,A/G
CYDN,WINNIPEG RDO,122300,RCO
CYDO,ATF/UNICOM,122700,UNIC
CYDO,ROBERVAL RDO,126700,A/D
CYDQ,MF PEACE RIVER RDO,122200,A/G
CYDQ,RCO,122200,RDO
CYEE,ATF/UNICOM,122850,UNIC
CYEE,TORONTO CNTR,124025,CNTR
CYEG,APP,118300,APP
CYEG,ARR,120500,ARR
CYEG,ATIS,128000,ATIS
CYEG,CLNC DEL,124100,CLD
CYEG,DEP,133650,DEP
CYEG,EXEC FLT CTR,122950,INFO
CYEG,FLT TECH AVN INC,123000,INFO
CYEG,GND,121700,GND
CYEG,RDO,122500,FSS
CYEG,TWR VFR ADVSY SVC,118300,AAS
CYEG,TWR,118300,TWR
CYEK,ARPT RDO,122100,RDO
CYEK,AWOS,128700,AWOS
CYEL,ATF/UNICOM,123000,UNIC
CYEL,TORONTO CNTR,135400,CNTR
CYEM,ATF/UNICOM,122800,UNIC
CYEM,TORONTO CNTR,135400,CNTR
CYEN,ATF,123000,ATF
CYES,ATF/UNICOM,122800,UNIC
CYET,ATF,123200,ATF
CYEU,ATF/UNICOM,122800,UNIC
CYEV,ARTIC RADIO (FISE),123375,RCO
CYEV,EDMONTON CONTROL,132400,PAL
CYEV,"INUVIK RADIO, 5NM BELOW 3200",122300,MF
CYEV,LIGHTED HRS,128500,ATIS
CYEY,ATF/UNICOM,122800,UNIC
CYEY,MONTREAL CNTR,125900,CNTR
CYEY,QUEBEC RDO,126700,RDO
CYFB,"ARTIC RADIO, (FISW)",123275,RCO
CYFB,GANDER RADIO,126900,INTL AIR
CYFB,"IQALLUIT RADIO, 5NM BELOW 3100ASL",122200,MF
CYFB,MONTREAL CONTROL,134550,PAL
CYFB,RDO,122200,FSS
CYFC,MF,119000,A/G
CYFC,MONCTON CNTR,124300,CNTR
CYFC,RDO,119000,RDO
CYFD,ATF/UNICOM,122825,UNIC
CYFD,TORONTO TRML,128270,A/D
CYFE,ATF,123200,ATF
CYFJ,ATF/UNICOM,122700,ATF
CYFJ,MONTREAL CENTER,133900,PAL
CYFO,WINNIPEG RDO MF,122000,A/G
CYFO,WINNIPEG RDO,122000,RCO
CYFR,ARPT RDO,122100,RDO
CYFR,MANDATORY FREQ,122100,ATF
CYFS,EDMONTON CNTR,135400,CNTR
CYFS,FT SIMPSON RDO,122200,MF
CYFS,YELLOWKNIFE RDO,126700,RCO
CYGB,ATF,122700,ATF
CYGD,ATF/UNICOM,122700,UNIC
CYGD,TORONTO CNTR,135300,CNTR
CYGE,ATF/UNICOM,122800,UNIC
CYGE,PACIFIC RDO,126700,RCO
CYGH,AIRPORT RDO,122100,RDO
CYGH,MANDATORY FREQ,122100,ATF
CYGH,NORMAN WELLS RDO,126700,FSS
CYGK,"KINGSTON RADIO, 0615-2300 LOCAL",122500,MF
CYGK,KINGSTON RADIO,122500,RADIO
CYGK,KINGSTON RADIO,122500,VDF
CYGK,KINGSTON TRAFFIC,122500,ATF
CYGK,LONDON RADIO,123550,RCO
CYGL,MF,122300,A/G
CYGL,MONTREAL CNTR,132100,CNTR
CYGL,QUEBEC RDO,126700,RCO
CYGL,RDO,122300,RDO
CYGM,MF,122150,A/G
CYGM,UNICOM,122150,UNIC
CYGP,MF QUEBEC RDO,122300,RDO
CYGP,QUEBEC RDO,122300,RCO
CYGQ,ATF/UNICOM,122800,UNIC
CYGQ,LONDON RDO,126700,RCO
CYGR,MADELEINE RDO,123150,FSS
CYGR,MF,123150,RDO
CYGR,MONCTON CNTR,134350,CNTR
CYGR,QUEBEC RDO,126700,RCO
CYGV,AWOS,125950,AWOS
CYGV,MF,122000,RDO
CYGV,QUEBEC RDO,122000,RCO
CYHB,ATF,122800,ATF
CYHD,MF,122100,RDO
CYHD,MIN NATL RESOURCES,122900,A/G
CYHD,WINNIPEG CNTR,132200,CNTR
CYHD,WINNIPEG RDO,122100,RCO
CYHF,ATF/UNICOM,122800,UNIC
CYHI,ARPT RDO,122100,RDO
CYHI,MANDATORY FREQ,122100,ATF
