airport,length,width,le_name,le_latitude,le_longitude,le_elevation,le_heading,le_displaced_threshold,he_name,he_latitude,he_longitude,he_elevation,he_heading,he_displaced_threshold,surface,lighted,active
AGGH,7218,148,06,-9.43174,160.045,28,68,,24,-9.42426,160.064,14,248,,ASP,1,1
AGGM,4593,98,07,-8.32918,157.257,7,78.9,,25,-8.32676,157.269,9,258.9,,ASP,0,1
ANYN,7054,148,12,-0.54118,166.912,22,130.3,165,30,-0.55374,166.926,20,310.3,380,ASP,1,1
AYBK,5125,98,04,-5.42701,154.667,11,48,,22,-5.41751,154.678,9,228,,ASP,1,1
AYCH,3330,89,03,-6.02755,144.968,4974,35.6,,21,-6.02021,144.974,4974,215.6,,ASP,1,1
AYDU,4593,98,14,-9.08229,143.203,13,135,,32,-9.09122,143.212,19,315,,ASP,0,1
AYGA,3983,59,17L,-6.07496,145.392,5199,176,,35R,-6.08625,145.393,5199,356,,ASP,0,1
AYGA,5400,98,17R,-6.07532,145.391,5199,176,,35L,-6.09023,145.392,5199,356,,ASP,1,1
AYGN,5546,98,09,-10.31,150.326,65,101.3,,27,-10.313,150.341,65,281.3,,ASP,1,1
AYGR,5485,98,03,-8.81049,148.304,310,38.1,,21,-8.7986,148.314,252,218.1,,ASP,0,1
AYHK,5212,98,12,-5.4573,150.4,7,133,,30,-5.46704,150.41,66,313,,ASP,1,1
AYKM,3044,60,14,-7.96,145.769,8,146,,32,-7.96694,145.774,9,326,,ASP,0,1
AYKV,5592,98,12,-2.57498,150.802,13,124.9,,30,-2.58381,150.814,7,304.9,,ASP,1,1
AYMD,5174,105,07,-5.20893,145.782,20,75,205,25,-5.20524,145.796,7,255,,ASP,1,1
AYMH,3599,59,08,-5.82708,144.293,5363,85,197,26,-5.82615,144.303,5363,265,197,ASP,0,1
AYMH,7185,98,12,-5.82376,144.291,5363,121,,30,-5.83398,144.308,5363,301,,ASP,1,1
AYMN,4411,98,17,-6.14171,143.656,5695,172.8,,35,-6.15377,143.658,5665,352.8,,ASP,0,1
AYMO,6136,148,16,-2.05393,147.421,4,161,,34,-2.06988,147.427,8,341,197,ASP,1,1
AYNZ,8004,98,09,-6.56887,146.715,239,95,,27,-6.57078,146.737,216,275,,ASP,1,1
AYPY,9022,148,14L,-9.43087,147.214,103,148.4,,32R,-9.4521,147.227,128,328.4,,ASP,1,1
AYPY,6777,148,14R,-9.43471,147.213,104,148.5,,32L,-9.45063,147.223,146,328.5,,ASP,1,1
AYTK,5643,92,10,-4.33822,152.372,15,106.4,,28,-4.34262,152.387,50,286.4,,ASP,1,1
AYVN,5775,85,12,-2.68762,141.297,11,130,460,30,-2.69776,141.309,22,310,,ASP,1,1
AYWD,5052,75,14,-5.63807,143.891,5889,139,,32,-5.64853,143.9,5889,319,239,ASP,0,1
AYWK,5234,98,10,-3.5821,143.662,16,103.9,,28,-3.58556,143.676,19,283.9,,ASP,1,1
BGBW,6004,148,07,61.1544,-45.4369,11,41,,25,61.1667,-45.415,112,221,,CON,1,1
BGGH,3117,98,05,64.189,-51.6796,271,19,,23,64.1971,-51.6734,281,199,,ASP,1,1
BGSF,9219,197,09,67.0056,-50.7431,100,61.6,,27,67.0176,-50.6864,165,241.6,,ASP,1,1
BGTL,9997,140,08T,76.53,-68.7615,167,84.9,,26T,76.5324,-68.6448,251,264.9,,ASP,1,1
BIAR,6365,148,01,65.65,-18.0707,7,355,,19,65.6673,-18.074,5,175,,ASP,1,1
BIBD,3084,98,05,65.6374,-23.5512,11,28,,23,65.6453,-23.5411,26,208,,BIT,1,1
BIEG,6562,148,04,65.2746,-14.4112,76,25,502,22,65.2908,-14.3928,76,205,,ASP,1,1
BIHN,4921,148,18,64.3022,-15.2308,24,168,,36,64.2891,-15.2239,7,348,,BIT,1,1
BIHU,5266,157,02,65.9453,-17.4295,48,12,,20,65.9593,-17.4224,45,192,,BIT,1,1
BIIS,4593,148,08,66.0551,-23.1486,8,62,,26,66.061,-23.1216,8,242,,BIT,1,1
BIKF,10020,197,01,63.9645,-22.6055,135,,,19,63.9919,-22.6054,161,180,,ASP,1,1
BIKF,10056,197,10,63.985,-22.655,109,90,43,28,63.985,-22.5924,168,270,43,ASP,1,1
BIKR,6191,90,01,65.7233,-19.5696,8,351,,19,65.74,-19.5761,8,171,,ASP,1,1
BIRK,5141,148,01,64.122,-21.9362,23,355,263,19,64.136,-21.9389,29,175,,ASP,1,1
BIRK,3150,98,06,64.1272,-21.9468,27,46,342,24,64.1331,-21.9326,39,226,66,ASP,0,1
BIRK,4035,148,13,64.1325,-21.9554,17,117,,31,64.1276,-21.9327,38,297,213,ASP,1,1
BISS,2578,59,15,64.0617,-21.5743,,,,33,64.0584,-21.561,,,,ASP,0,1
BITN,3934,98,02,66.2131,-15.3363,51,2.7,,20,66.2238,-15.335,64,182.7,,BIT,1,1
BIVM,3806,148,03,63.4201,-20.282,291,19,,21,63.4298,-20.2748,299,199,,BIT,1,1
BIVM,3953,148,12,63.4256,-20.287,298,110,,30,63.422,-20.2645,326,290,,BIT,1,1
BKPR,8165,148,17,42.5853,21.0346,1789,176,,35,42.5629,21.0369,1786,356,,ASP,1,1
CYAG,2600,75,03,48.6528,-93.4453,1120,34.8,,21,48.6586,-93.4392,1125,214.8,,ASP,1,1
CYAG,4500,100,12,48.658,-93.4481,1123,126,,30,48.6508,-93.433,1119,306,,ASP,1,1
CYAM,6000,200,04,46.4778,-84.5153,612,33.5,,22,46.4917,-84.5019,630,213.5,,ASP,1,1
CYAM,6000,200,12,46.486,-84.5209,612,107.8,,30,46.481,-84.4982,612,287.8,,ASP,1,1
CYAU,3937,75,07,44.2271,-64.8622,317,53.9,,25,44.2335,-64.85,314,233.9,,ASP,1,1
CYAV,2850,75,04,50.0508,-97.0356,758,46,,22,50.0561,-97.0269,760,226,,ASP,1,1
CYAV,3000,75,13,50.0614,-97.0356,757,132,,31,50.0558,-97.0261,760,312,,ASP,1,1
CYAV,3000,75,18,50.0614,-97.0368,755,190,,36,50.0535,-97.0389,758,10,,ASP,1,1
CYAX,3600,75,18,50.2992,-96.0092,,185,,36,50.2892,-96.0103,,5,,ASP,1,1
CYAY,4000,100,10,51.3909,-56.0918,108,80,,28,51.3929,-56.0745,88,260,,ASP,1,1
CYAZ,4999,150,07,49.0759,-125.781,75,90,720,25,49.0759,-125.76,79,270,350,CON,0,1
CYAZ,4997,100,11,49.0825,-125.783,79,126,500,29,49.0744,-125.766,76,306,,CON,0,1
CYAZ,5000,100,16,49.0894,-125.781,80,175,200,34,49.0758,-125.779,79,355,870,CON,0,1
CYBB,5000,100,05,68.53,-89.8222,56,49,,23,68.5389,-89.7939,25,229,,GVL,1,1
CYBC,6000,150,10,49.1309,-68.2196,70,80.5,,28,49.1336,-68.1948,66,260.5,,ASP,1,1
