icao_code,name
AGGG,HONIARA
ANAU,NAURU
AYPM,PORT MORESBY
BGGL,SONDRESTROM
BIRD,REYKJAVIK
CZEG,EDMONTON
CZQM,MONCTON
CZQX,GANDER OCEANIC
CZUL,MONTREAL
CZVR,VANCOUVER
CZWG,WINNIPEG
CZYZ,TORONTO
DAAA,ALGER
DGAC,ACCRA
DNKK,KANO
DRRR,NIAMEY
DTTC,TUNIS
EBBU,BRUXELLES
EDGG,LANGEN
EDMM,MUNICH
EDWW,BREMEN
EETT,TALLINN
EFIN,FINLAND
EGGX,SHANWICK OCEANIC
EGPX,SCOTTISH
EGTT,LONDON
EHAA,AMSTERDAM
EISN,SHANNON
EKDK,KOBENHAVN
ENOB,BODO OCEANIC
ENOR,NORWAY
EPWW,WARSZAWA
ESAA,SWEDEN
EVRR,RIGA
EYVL,VILNIUS
FACA,CAPETOWN
FAJA,JOHANNESBURG
FAJO,JOHANNESBURG OCEANIC
FBGR,GABORONE
FCCC,BRAZZAVILLE
FIMM,MAURITIUS
FLFI,LUSAKA
FMMM,ANTANANARIVO
FNAN,LUANDA
FQBE,BEIRA
FSSS,SEYCHELLES
FTTT,N DJAMENA
FVHF,HARARE
FWLL,LILONGWE
FYWH,WINDHOEK
FZZA,KINSHASA
GCCC,CANARIAS
GLRB,ROBERTS
GMMM,CASABLANCA
GOOO,DAKAR
GVSC,SAL OCEANIC
HAAA,ADDIS ABABA
HBBA,BUJUMBURA
HCSM,MOGADISHU
HECC,CAIRO
HHAA,ASMARA
HKNA,NAIROBI
HLLL,TRIPOLI
HRYR,KIGALI
HSSS,KHARTOUM
HTDC,DAR ES SALAAM
HUEC,ENTEBBE
KZAB,ALBUQUERQUE
KZAK,OAKLAND OCEANIC EAST
KZAU,CHICAGO
KZBW,BOSTON
KZDC,WASHINGTON
KZDV,DENVER
KZFW,FT WORTH
KZHU,HOUSTON
KZID,INDIANAPOLIS
KZJX,JACKSONVILLE
KZKC,KANSAS CITY
KZLA,LOS ANGELES
KZLC,SALT LAKE
KZMA,MIAMI
KZME,MEMPHIS
KZMP,MINNEAPOLIS
KZNY,NEW YORK
KZOA,OAKLAND
KZOB,CLEVELAND
KZSE,SEATTLE
KZTL,ATLANTA
KZWY,NEW YORK OCEANIC WEST
LAAA,TIRANA
LBSR,SOFIA
LCCC,NICOSIA
LDZO,ZAGREB
LECB,BARCELONA
LECM,MADRID
LFBB,BORDEAUX
LFEE,REIMS
LFFF,PARIS
LFMM,MARSEILLE
LFRR,BREST
LGGG,ATHINAI
LHCC,BUDAPEST
LIBB,BRINDISI
LIMM,MILANO
LIRR,ROMA
LJLA,LJUBLJANA
LKAA,PRAHA
LLTA,TEL AVIV
LMMM,MALTA
LOVV,WIEN
LPPC,LISBOA
LPPO,SANTA MARIA OCEANIC
LQSB,SARAJEVO
LRBB,BUCURESTI
LSAS,SWITZERLAND
LTAA,ANKARA
LTBB,ISTANBUL
LUUU,CHISINAU
LWSS,SKOPJE
LYBA,BEOGRAD
LZBB,BRATISLAVA
MDCS,SANTO DOMINGO
MHTG,CENTRAL AMERICAN
MKJK,KINGSTON
MMFO,MAZATLAN OCEANIC
MMFR,MEXICO
MPZL,PANAMA
MTEG,PORT AU PRINCE
MUFH,HABANA
MYNA,NASSAU
NFFF,NADI EAST
NTTT,TAHITI
NZZC,NEW ZEALAND
NZZO,AUCKLAND OCEANIC EAST
OAKX,KABUL
OBBB,BAHRAIN
OEJD,JEDDAH
OIIX,TEHRAN
OJAC,AMMAN
OKAC,KUWAIT
OLBB,BEIRUT
OMAE,EMIRATES
OOMM,MUSCAT
OPKR,KARACHI
OPLR,LAHORE
ORBB,BAGHDAD
OSTT,DAMASCUS
OYSC,SANA A
PAZA,ANCHORAGE ARCTIC
RCAA,TAIPEI
RJJJ,FUKUOKA
RKRR,INCHEON
RPHI,MANILA
SACF,CORDOBA
SAEF,EZEIZA
SAMF,MENDOZA
SARR,RESISTENCIA
SAVF,COMODORO RIVADAVIA
SBAO,ATLANTICO
SBAZ,AMAZONICA
SBBS,BRASILIA
SBCW,CURITIBA
SBRE,RECIFE
SCCZ,PUNTA ARENAS
SCEZ,SANTIAGO
SCFZ,ANTOFAGASTA
SCIZ,ISLA DE PASCUA
SCTZ,PUERTO MONTT
SEFG,GUAYAQUIL
SGFA,ASUNCION
SKEC,BARRANQUILLA
SKED,BOGOTA
SLLF,LA PAZ
SMPM,PARAMARIBO
SOOO,CAYENNE
SPIM,LIMA
SUEO,MONTEVIDEO
SVZM,MAIQUETIA
SYGC,GEORGETOWN
TJZS,SAN JUAN
TNCF,CURACAO
TTZP,PIARCO
UAAA,ALMATY
UACC,ASTANA
UAII,SHYMKENT
UATT,AKTAU
UBBA,BAKU
UCFM,BISHKEK
UCFO,OSH
UDDD,YEREVAN ZVARTNOTS
UEEE,YAKUTSK
UELL,CHULMAN
UEMO,OLEKMINSK
UERP,POLIARNY
UERR,MIRNY
UGGG,TBILISI
UHHH,KHABAROVSK
UHMM,MAGADAN OCEANIC EAST
UHPP,MAGADAN WEST
UIII,IRKUTSK
UKBV,KYIV
UKDV,DNIPROPETROVS'K
UKFV,SIMFEROPOL
UKLV,L VIV
UKOV,ODESA
ULAA,ARKHANGELSK
ULAM,NARYAN-MAR
ULKK,KOTLAS
ULLL,SANKT-PETERBURG
ULMM,MURMANSK OCEANIC EAST
ULWW,VOLOGDA
UMKK,KALININGRAD
UMMV,MINSK
UNKL,KRASNOYARSK
UNNT,NOVOSIBIRSK
URRV,ROSTOV-NA-DONU
USCC,CHELYABINSK
USCM,MAGNITOGORSK
USDD,SALEKHARD
USDK,KAMENNY
USDS,TARKO-SALE
USKK,KIROV
USPP,PERM
USSS,YEKATERINBURG
USTR,TYUMEN ROSCHINO
UTAA,ASHGABAT
UTAK,TURKMENBASHI
UTAT,DASHOGUZ
UTAV,TURKMENABAT
UTDD,DUSHANBE
UTNR,NUKUS
UTSD,SAMARKAND
UTTR,TASHKENT
UUWV,MOSCOW
UUYY,SYKTYVKAR
UWKD,KAZAN
UWWW,SAMARA
VABF,MUMBAI
VCCF,COLOMBO
VDPP,PHNOM PENH
VECF,KOLKATA
VGFR,DHAKA
VHHK,HONG KONG
VIDF,DELHI
VLVT,VIENTIANE
VNSM,KATHMANDU
VOMF,CHENNAI
VRMF,MALE
VTBB,BANGKOK
VVTS,HO-CHI-MINH
VVVV,HANOI
VYYF,YANGON
WAAF,UJUNG PANDANG
WBFC,KOTA KINABALU
WIIF,JAKARTA
WMFC,KUALA LUMPUR
WSJC,SINGAPORE
YBBB,BRISBANE
YMMM,MELBOURNE
ZBPE,BEIJING
ZGZU,GUANGZHOU
ZHWH,WUHAN
ZJSA,SANYA
ZKKP,PYONGYANG
ZLHW,LANZHOU
ZMUB,ULAN BATOR
ZPKM,KUNMING
ZSHA,SHANGHAI
ZWUQ,URUMQI
ZYSH,SHENYANG
