slug,identifier,name,type,usage,frequency,dme_channel,dme_rx_frequency,dme_tx_frequency,dme_bias,vor_slaved_variation,localizer_heading,glide_slope_angle,reception_range,latitude,longitude,elevation,region,airport,airport_runway,country
1b-ndb-cy,1B,SABLE ISLAND NDB,NDB,ENROUTE,277,,,,,,,,50,43.930555556,-60.022777778,,CY,,,CA
1d-ndb-cy,1D,CHARLOTTETOWN NDB,NDB,ENROUTE,346,,,,,,,,25,52.775411111,-56.125961111,,CY,,,CA
1e-ndb-cy,1E,BLACK TICKLE NDB,NDB,ENROUTE,349,,,,,,,,50,53.467127778,-55.788663889,,CY,,,CA
1f-ndb-cy,1F,BATHURST NDB,NDB,ENROUTE,363,,,,,,,,50,47.630583333,-65.744591667,,CY,,,CA
1l-ndb-cy-cyfi,1L,FORT MACKAY/FIREBAG NDB,NDB,TERMINAL,400,,,,,,,,25,57.280661111,-110.972233333,,CY,CYFI,,CA
2b-ndb-cy,2B,SPRINGDALE NDB,NDB,ENROUTE,364,,,,,,,,25,49.490000000,-56.184722222,,CY,,,CA
2h-ndb-cy-csh4,2H,LEBEL-SUR-QUEVILLON NDB,NDB,TERMINAL,261,,,,,,,,25,49.035855556,-77.020044444,,CY,CSH4,,CA
2k-ndb-cy,2K,CAMROSE NDB,NDB,ENROUTE,405,,,,,,,,25,53.032222222,-112.813333333,,CY,,,CA
2q-ndb-cy,2Q,MONT-LAURIER NDB,NDB,ENROUTE,373,,,,,,,,25,46.602508333,-75.470680556,,CY,,,CA
2z-ndb-cy,2Z,DIAVIK NDB,NDB,ENROUTE,382,,,,,,,,25,64.509583333,-110.309861111,,CY,,,CA
3h-ndb-cy,3H,CONSORT NDB,NDB,ENROUTE,276,,,,,,,,50,52.022777778,-110.745555556,,CY,,,CA
3m-ndb-cy,3M,DRAYTON VALLEY NDB,NDB,ENROUTE,385,,,,,,,,25,53.267430556,-114.957027778,,CY,,,CA
3r-ndb-cy,3R,POSTVILLE NDB,NDB,ENROUTE,366,,,,,,,,25,54.907475000,-59.795263889,,CY,,,CA
3z-ndb-cy-cjw5,3Z,RUSSELL NDB,NDB,TERMINAL,263,,,,,,,,25,50.764166667,-101.296388889,,CY,CJW5,,CA
4a-ndb-cy,4A,KOALA NDB,NDB,ENROUTE,350,,,,,,,,50,64.698055556,-110.609166667,,CY,,,CA
4j-ndb-cy,4J,KNEE LAKE NDB,NDB,ENROUTE,314,,,,,,,,25,54.883333333,-94.800000000,,CY,,,CA
4o-ndb-cy,4O,SWAN HILLS NDB,NDB,ENROUTE,251,,,,,,,,50,54.675000000,-115.424444444,,CY,,,CA
4w-ndb-cy,4W,KELSEY NDB,NDB,ENROUTE,391,,,,,,,,50,56.037500000,-96.512777778,,CY,,,CA
5b-ndb-cy,5B,SUMMERSIDE NDB,NDB,ENROUTE,254,,,,,,,,25,46.396944444,-63.881666667,,CY,,,CA
5f-dme-cy,5F,FOX CREEK DME,DME,ENROUTE,110000,37X,1061000,998000,0,,,,125,54.378611111,-116.751944444,2800,CY,,,CA
5f-ndb-cy,5F,FOX CREEK NDB,NDB,ENROUTE,353,,,,,,,,25,54.378611111,-116.751666667,,CY,,,CA
5j-ndb-cy,5J,CORONATION NDB,NDB,ENROUTE,328,,,,,,,,75,52.074444444,-111.448333333,,CY,,,CA
5q-ndb-cy,5Q,FONTANGES NDB,NDB,ENROUTE,239,,,,,,,,50,54.560127778,-71.171027778,,CY,,,CA
5w-ndb-cy,5W,LEAF RAPIDS NDB,NDB,ENROUTE,226,,,,,,,,50,56.511666667,-99.983888889,,CY,,,CA
6f-ndb-cy,6F,PORT HOPE SIMPSON NDB,NDB,ENROUTE,367,,,,,,,,25,52.520030556,-56.295702778,,CY,,,CA
6g-dme-cy,6G,RED DEER DME,DME,ENROUTE,113800,85X,1109000,1172000,0,,,,125,52.181186111,-113.882658333,2974,CY,,,CA
